,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,entrytime,exittime,direction,startup_flag
34,339154,1000.0,1026.1462,3.0,BTCUSDT,0.057,52222.9,53963.66333333334,51706.3,69766.7596491228,26.14619999999986,0,SHORT_EXIT,0,0,2024-02-20 12:00:00,2024-02-20 15:00:00,upper,0
35,339155,1000.0,1031.8109000000002,3.0,BTCUSDT,0.059,51280.1,49570.76333333333,51875.2,34330.94745762712,31.810900000000128,1,LONG_EXIT,0,0,2024-02-21 10:00:00,2024-02-21 23:00:00,lower,0
36,339156,1000.0,1017.5104000000003,3.0,BTCUSDT,0.058,51663.5,53385.61666666667,51304.7,68904.87931034483,17.5104000000003,0,SHORT_EXIT,0,0,2024-02-22 21:00:00,2024-02-22 23:00:00,upper,0
37,339157,1000.0,978.6872999999998,3.0,BTCUSDT,0.059,50774.1,52466.57,51079.4,67723.25254237288,-21.312700000000223,0,SHORT_EXIT,0,0,2024-02-23 23:00:00,2024-02-24 05:00:00,lower,0
38,339158,1000.0,1001.3342,3.0,BTCUSDT,0.058,51472.9,53188.66333333334,51393.0,68714.27931034483,1.334199999999964,0,SHORT_EXIT,0,0,2024-02-24 18:00:00,2024-02-25 16:00:00,upper,0
39,339159,1000.0,1011.1883999999998,3.0,BTCUSDT,0.058,51732.2,53456.60666666667,51482.4,68973.57931034482,11.188399999999728,0,SHORT_EXIT,0,0,2024-02-25 22:00:00,2024-02-26 01:00:00,upper,0
40,339160,1000.0,1022.9962999999996,3.0,BTCUSDT,0.059,51280.0,49570.666666666664,51725.7,34330.84745762712,22.99629999999952,1,LONG_EXIT,0,0,2024-02-26 08:00:00,2024-02-26 14:00:00,lower,0
41,339161,1000.0,1423.9464,3.0,BTCUSDT,0.056,53442.6,51661.18,61072.0,35585.45714285714,423.9464,1,LONG_EXIT,0,0,2024-02-26 16:00:00,2024-02-29 17:00:00,upper,0
42,339162,1000.0,1035.5176,3.0,BTCUSDT,0.048,62558.0,64643.26666666667,61749.3,83391.33333333333,35.51759999999986,0,SHORT_EXIT,0,0,2024-03-01 21:00:00,2024-03-02 22:00:00,upper,0
43,339163,1000.0,1026.2078000000004,3.0,BTCUSDT,0.049,61655.2,59600.026666666665,62257.4,41247.03673469387,26.207800000000315,1,LONG_EXIT,0,0,2024-03-03 08:00:00,2024-03-03 12:00:00,lower,0
44,339164,1000.0,897.25584,3.0,BTCUSDT,0.048,62152.6,64224.35333333333,64224.35333333333,82985.93333333333,-102.74416000000001,0,SHORT_EXIT,0,losscut,2024-03-03 14:00:00,2024-03-04 00:00:00,upper,0
45,339165,1000.0,896.4397799999999,3.0,BTCUSDT,0.046,65387.1,67566.67,67566.67,87126.2304347826,-103.56022000000011,0,SHORT_EXIT,0,losscut,2024-03-04 09:00:00,2024-03-04 17:00:00,upper,0
46,339166,1000.0,1052.3559999999995,3.0,BTCUSDT,0.045,66843.9,69072.03,65607.1,89066.12222222221,52.3559999999995,0,SHORT_EXIT,0,0,2024-03-05 15:00:00,2024-03-05 16:00:00,upper,0
47,339167,1000.0,1285.9372,3.0,BTCUSDT,0.049,61482.4,59432.98666666667,67385.2,41074.236734693885,285.9372,1,LONG_EXIT,0,0,2024-03-05 19:00:00,2024-03-06 11:00:00,lower,0
48,339168,1000.0,895.7222500000005,3.0,BTCUSDT,0.045,67318.5,69562.45,69562.45,89540.72222222222,-104.27774999999956,0,SHORT_EXIT,0,losscut,2024-03-08 07:00:00,2024-03-08 15:00:00,upper,0
49,339169,1000.0,1004.2767999999999,3.0,BTCUSDT,0.044,68646.2,70934.40666666666,68474.0,91373.47272727272,4.27679999999982,0,SHORT_EXIT,0,0,2024-03-08 18:00:00,2024-03-10 22:00:00,upper,0
50,339170,1000.0,1042.2356000000002,3.0,BTCUSDT,0.044,68374.9,66095.73666666666,69409.8,45647.627272727266,42.23560000000016,1,LONG_EXIT,0,0,2024-03-11 01:00:00,2024-03-11 06:00:00,lower,0
51,339171,1000.0,1012.6683999999998,3.0,BTCUSDT,0.042,71299.6,68922.94666666667,71679.8,47490.0761904762,12.668399999999746,1,LONG_EXIT,0,0,2024-03-11 08:00:00,2024-03-12 03:00:00,upper,0
52,339172,1000.0,1035.4702,3.0,BTCUSDT,0.042,71161.6,68789.54666666668,72084.7,47352.0761904762,35.470199999999934,1,LONG_EXIT,0,0,2024-03-12 17:00:00,2024-03-13 01:00:00,lower,0
