,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,entrytime,exittime,direction,startup_flag
24,29631,936.3780874935351,931.4736398048062,3.0,ETHUSDT,1.26,2237.82,2260.1982000000003,2239.26,2980.9772122964564,-4.9044476887288715,0,SHORT_EXIT,0,0,2024-01-07 09:30:00,2024-01-07 11:00:00,upper,0
25,29632,931.4736398048062,927.6557767934506,3.0,ETHUSDT,1.24,2246.96,2224.4904,2246.36,1495.7715808025755,-3.817863011355548,1,LONG_EXIT,0,0,2024-01-07 13:30:00,2024-01-07 14:00:00,upper,0
26,29633,927.6557767934506,927.6557767934506,3.0,ETHUSDT,1.24,2237.14,2259.5114,0.0,2985.2494974140727,0.0,0,SHORT_CANCEL,0,0,2024-01-07 15:30:00,2024-01-07 16:00:00,upper,0
27,29634,927.6557767934506,927.6557767934506,3.0,ETHUSDT,1.26,2208.22,2230.3021999999996,0.0,2944.4547434868655,0.0,0,SHORT_CANCEL,0,0,2024-01-08 06:30:00,2024-01-08 07:00:00,upper,0
28,29635,927.6557767934506,927.6557767934506,3.0,ETHUSDT,1.24,2237.83,2215.4517,0.0,1489.7205025859269,0.0,1,LONG_CANCEL,0,0,2024-01-08 12:00:00,2024-01-08 12:30:00,upper,0
29,29636,927.6557767934506,927.6557767934506,3.0,ETHUSDT,1.23,2257.61,2235.0339,0.0,1503.4183115500402,0.0,1,LONG_CANCEL,0,0,2024-01-08 13:00:00,2024-01-08 13:30:00,upper,0
30,29637,927.6557767934506,927.6557767934506,3.0,ETHUSDT,1.21,2298.5,2275.515,0.0,1531.8423332285533,0.0,1,LONG_CANCEL,0,0,2024-01-08 18:00:00,2024-01-08 18:30:00,upper,0
31,29638,927.6557767934506,927.6557767934506,3.0,ETHUSDT,1.19,2337.65,2314.2735000000002,0.0,1558.1073304256718,0.0,1,LONG_CANCEL,0,0,2024-01-08 19:30:00,2024-01-08 20:00:00,upper,0
32,29639,927.6557767934506,927.6557767934506,3.0,ETHUSDT,1.19,2337.55,2314.1745,0.0,1558.0073304256719,0.0,1,LONG_CANCEL,0,0,2024-01-08 22:30:00,2024-01-08 23:00:00,upper,0
33,29640,927.6557767934506,922.9745127300318,3.0,ETHUSDT,1.2,2311.49,2334.6049,2312.84,3084.5364806612088,-4.681264063418733,0,SHORT_EXIT,0,0,2024-01-09 01:30:00,2024-01-09 02:00:00,upper,0
34,29641,922.9745127300318,915.5726968380229,3.0,ETHUSDT,1.2,2304.82,2327.8682000000003,2308.45,3073.9654272750267,-7.401815892008872,0,SHORT_EXIT,0,0,2024-01-09 06:30:00,2024-01-09 07:00:00,upper,0
35,29642,915.5726968380229,915.5726968380229,3.0,ETHUSDT,1.2,2297.28,2320.2528,0.0,3060.2572473650193,0.0,0,SHORT_CANCEL,0,0,2024-01-09 09:00:00,2024-01-09 09:30:00,upper,0
36,29643,915.5726968380229,915.5726968380229,3.0,ETHUSDT,1.19,2314.51,2291.3649,0.0,1545.121179127712,0.0,1,LONG_CANCEL,0,0,2024-01-09 22:00:00,2024-01-09 22:30:00,upper,0
37,29644,915.5726968380229,907.1689069384574,3.0,ETHUSDT,1.16,2374.35,2350.6065,2369.71,1585.0631923810147,-8.403789899565437,1,LONG_EXIT,0,0,2024-01-10 00:30:00,2024-01-10 02:00:00,upper,0
38,29645,907.1689069384574,902.8527495455608,3.0,ETHUSDT,1.15,2361.51,2385.1251,2362.66,3150.352527772572,-4.316157392896673,0,SHORT_EXIT,0,0,2024-01-10 03:00:00,2024-01-10 03:30:00,upper,0
39,29646,902.8527495455608,897.6161354720604,3.0,ETHUSDT,1.14,2380.2,2356.3979999999997,2378.22,1588.2239039074025,-5.236614073500363,1,LONG_EXIT,0,0,2024-01-10 05:30:00,2024-01-10 06:00:00,upper,0
40,29647,897.6161354720604,897.6161354720604,3.0,ETHUSDT,1.12,2405.01,2380.9599000000003,0.0,1603.5670218999464,0.0,1,LONG_CANCEL,0,0,2024-01-10 09:30:00,2024-01-10 10:00:00,upper,0
41,29648,897.6161354720604,874.0746022250025,3.0,ETHUSDT,1.11,2426.62,2402.3538,2408.08,1617.9568148900357,-23.541533247057878,1,LONG_EXIT,0,0,2024-01-10 16:00:00,2024-01-10 16:30:00,upper,0
42,29649,874.0746022250025,874.0746022250025,3.0,ETHUSDT,1.02,2565.74,2540.0825999999997,0.0,1708.8041154656835,0.0,1,LONG_CANCEL,0,0,2024-01-10 23:30:00,2024-01-11 00:00:00,upper,0
43,29650,874.0746022250025,851.0810560376599,3.0,ETHUSDT,1.01,2588.27,2562.3873,2568.36,1722.8496017574232,-22.993546187342634,1,LONG_EXIT,0,0,2024-01-11 01:00:00,2024-01-11 01:30:00,upper,0
44,29651,851.0810560376599,851.0810560376599,3.0,ETHUSDT,0.98,2603.0,2576.97,0.0,1734.5499428187145,0.0,1,LONG_CANCEL,0,0,2024-01-11 04:00:00,2024-01-11 04:30:00,upper,0
45,29652,851.0810560376599,885.1988885527359,3.0,ETHUSDT,0.98,2607.1,2581.029,2644.78,1738.6499428187144,34.11783251507601,1,LONG_EXIT,0,0,2024-01-11 09:00:00,2024-01-11 12:00:00,upper,0
46,29653,885.1988885527359,882.3797322205118,3.0,ETHUSDT,1.02,2604.96,2631.0096,2604.86,3472.8020476007214,-2.819156332224167,0,SHORT_EXIT,0,0,2024-01-11 16:30:00,2024-01-11 17:30:00,upper,0
47,29654,882.3797322205118,853.0018391041838,3.0,ETHUSDT,1.01,2620.4,2594.196,2594.196,1746.7567007717707,-29.377893116327936,1,LONG_EXIT,0,losscut,2024-01-11 20:00:00,2024-01-11 20:30:00,upper,0
48,29655,853.0018391041838,835.0263330351398,3.0,ETHUSDT,0.98,2612.78,2586.6522,2597.31,1742.3699600977718,-17.975506069043966,1,LONG_EXIT,0,0,2024-01-12 06:30:00,2024-01-12 07:30:00,upper,0
49,29656,835.0263330351398,830.3411461361235,3.0,ETHUSDT,0.96,2601.62,2627.6362,2603.63,3471.439096911604,-4.685186899016353,0,SHORT_EXIT,0,0,2024-01-12 08:00:00,2024-01-12 08:30:00,upper,0
50,29657,830.3411461361235,830.3411461361235,3.0,ETHUSDT,0.95,2610.21,2584.1079,0.0,1736.1666882777647,0.0,1,LONG_CANCEL,0,0,2024-01-12 10:00:00,2024-01-12 10:30:00,upper,0
