,serial,date,cash_in,cash_out,amount,startup_flag
177,8477,2024-05-08 17:00:00,996.2632000000001,0.0,1696.6608458546548,0
178,8478,2024-05-08 21:00:00,0.0,1000.0,696.6608458546548,0
179,8479,2024-05-09 14:00:00,998.9295,0.0,1695.5903458546547,0
180,8480,2024-05-09 16:00:00,0.0,1000.0,695.5903458546547,0
181,8481,2024-05-10 14:00:00,957.6960000000001,0.0,1653.2863458546549,0
182,8482,2024-05-10 16:00:00,0.0,1000.0,653.2863458546549,0
183,8483,2024-05-11 15:00:00,1001.4579000000001,0.0,1654.744245854655,0
184,8484,2024-05-12 16:00:00,0.0,1000.0,654.744245854655,0
185,8485,2024-05-13 02:00:00,981.4266999999998,0.0,1636.1709458546547,0
186,8486,2024-05-13 08:00:00,0.0,1000.0,636.1709458546547,0
187,8487,2024-05-14 02:00:00,986.1928,0.0,1622.3637458546548,0
