close,volume,turnover,rsi,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,exit_price,up_ratio,dw_ratio,rsi_up_ratio
36925,8476.597,312177473,42.5,2482.2292142857164,415.82,-28.97,-98.54,-21.11,-238,37163,0.24,0.76,0.375
36947.3,5109.907,189192319.5,40.4,2586.0036428571448,158.5,-5.55,11.37,-0.96,117.30000000000291,36830,0.27,0.73,0.375
36508.4,18327.05,669554860.5,32.14,5356.636714285717,1100.93,-72.81,7.29,-6.68,-169.1,36677.5,0.44,0.56,0.3469
36173.6,25400.687,918475419.2,36.51,5889.5537142857165,1621.24,-64.93,-156.09,-8.23,673.5999999999985,35500,0.27,0.73,0.3469
37031.6,5253.397,194969469.1,38.62,2951.474000000002,106.75,-64.84,68.75,-8.41,910.4000000000015,36121.2,0.24,0.76,0.3469
36393.1,9589.571,350751982.9,32.24,12157.204214285715,540.26,-131.28,137.88,-1.25,-309.2,36702.3,0.44,0.56,0.3469
37649.6,11770.868,441810764.1,40.13,1585.6935000000028,764.18,-20.13,23.27,-29.65,37.900000000001455,37611.7,0.43,0.5700000000000001,0.375
37112.5,8299.393,308273980.8,33.6,3480.546928571431,90.74,-61.12,-154.1,-13.44,71.80000000000291,37040.7,0.44,0.56,0.3469
43392,30428.949,1316871739,37.98,4973.953785714288,1971.25,-65.12,200.93,-28.9,-314.6,43706.6,0.43,0.5700000000000001,0.3469
43637.6,3950.78,172784715.3,38.28,2512.4345714285746,190.04,-31.8,-0.58,-1.25,-287.2,43924.8,0.43,0.5700000000000001,0.3469
43264.4,13619.15,591259220.2,29,3314.9730714285747,879.64,-86.62,275.77,-18.53,1019.3000000000029,42245.1,0.27,0.73,0.3667
40803.2,26306.547,1068627574,15.29,10788.233642857145,813.02,-432.44,-893.46,-6.55,-1089,41892.2,0.44,0.56,0.5714
40716.9,14125.681,578681478.5,30.84,7211.148714285718,840.11,-193.7,-197.39,-14.5,-809.1,41526,0.27,0.73,0.3469
42307.6,10420.598,441929030,37.9,3688.238428571432,543.21,-64.2,-95.22,-10.14,363,41944.6,0.43,0.5700000000000001,0.3469
41890.3,3393.337,142639198.3,31.27,2904.1410714285744,-34.45,-100.88,90.52,-12.84,6.100000000005821,41884.2,0.44,0.56,0.3469
41735.2,4969.03,207565398.3,38.39,3906.2394285714317,38.03,-22.72,-95.55,-2.47,657.2999999999956,41077.9,0.44,0.56,0.3469
41880.6,15434.016,649021166.5,37.41,6138.944000000003,899.2,-149.33,-757.58,-29.81,-668.5,42549.1,0.24,0.76,0.3469
43535,5574.639,243016178.4,39.23,1672.648285714289,255.98,7.51,19.48,-6.74,-258,43793,0.43,0.5700000000000001,0.3469
43003.4,20998.688,902448866,23.37,3146.3280000000036,1430.04,-102.33,317.14,-38.95,-144.5,43147.9,0.27,0.73,0.3667
42807.5,18451.36,793453485.7,29.77,3493.5789285714313,1122.73,-71.86,66.32,-20.83,440.90000000000146,42366.6,0.27,0.73,0.3667
42309.8,7370.292,312516453,36.94,3720.1617857142887,317.89,-47.49,-522.16,-6.04,-383.3,42693.1,0.24,0.76,0.3469
42293.9,14100.782,599607568.7,39.85,4288.122571428575,317.32,24.51,262.79,-3.05,348.3000000000029,41945.6,0.27,0.73,0.3469
