close,volume,turnover,rsi,upper,middle,lower,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,up_ratio,dw_ratio,rsi_up_ratio
29312.6,14205.37,414049336.1,65.98,29247.45,28916.82,28586.18,41.62,33.03,8.58,31.26,15.22,18.73,27.46,6222.2059285714295,656.99,29.72,76.47,15.84,-377.8,0.48,0.52,0.3898
29578.9,19175.455,566426102.2,68.68,29524.42,29142.45,28760.49,106.21,73.35,32.86,29.11,14.72,20.9,21.31,7490.734357142858,434,102.7,77.62,11.55,-220.3,0.44,0.56,0.3898
29029.4,5916.674,171540723.2,57.39,29013.8,28897.78,28781.76,-28.8,-60,31.2,23.17,24.24,17.72,22.73,3320.2656428571436,163.86,12.48,-243.62,2.59,-135.7,0.45,0.55,0.3714
28156.9,31596.849,882288524.9429998,70.47,27927.07,27669.63,27412.19,23.25,-16.66,39.91,38.29,14.08,17.69,21.21,4359.189857142858,2139.92,46.06,174.59,24.57,-674.7,0.3,0.7,0.4048
26824.2,4896.594,131423845.5,57.06,26822.82,26762.06,26701.3,37.25,37.14,0.1,23.49,12.26,19.19,25.98,2512.1406428571436,88.75,19.12,-413.2,8.49,-57.1,0.3,0.7,0.3714
26946.9,2784.571,74898034.13,63.94,26938.34,26831.34,26724.33,31.69,24.3,7.38,20.87,17.19,11.59,15.97,1804.1880714285724,-311.78,24.34,53.81,-0.75,-76.8,0.44,0.56,0.3898
27195.7,13116.062,355252906.6,67.27,27087.18,26904.34,26721.49,42.76,33.79,8.96,30.61,17.07,15.68,14.12,4302.080857142858,845.95,25.67,92.09,2.64,187.70000000000073,0.44,0.56,0.3898
27375.9,15452.264,422315980.1,68.24,27332.93,26952.63,26572.33,6.76,-52.89,59.65,30.59,14.77,23.98,20.03,7494.5130714285715,932.64,84.92,131.34,26.78,-180.9,0.3,0.7,0.3898
26929.7,2895.83,77982306.62899998,57.15,26928.19,26875.15,26822.1,5.41,-4.41,9.82,26.5,11.29,20.52,18.31,1699.9602857142868,168.68,12.84,13.98,9.97,232.39999999999782,0.45,0.55,0.3714
27233.6,8425.621,229088667.1,70.05,27202.51,26989.46,26776.42,64.06,38.17,25.89,38.03,10.41,33.28,24.66,3401.7473571428577,560.04,57.96,273.99,13.1,-190.9,0.48,0.52,0.4048
