,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
2818,2818,2950,1651586400000.0,38358.0,38470.0,38175.0,38288.0,4450.915,170503089.2505,2022-05-03 14:00:00,0.0001,26500.103,42.68,38553.85,38382.55,38468.2,38639.49,38296.91,38725.14,38211.26,-34.63,-14.88,-19.74,13.77,23.01,12.84,14.01,2251.800285714286,216.52,-18.97,-50.74,-0.68,38449.38,38352.18,PositionState,lower,38288.0,38070.5,0.0,217.5,575.0,-41.5,343.0625,334.6200000000026
2866,2866,2998,1651759200000.0,39005.5,39057.0,38105.0,38207.5,24239.235,934786708.503,2022-05-05 14:00:00,0.0001,28571.361,25.07,39641.67,38938.39,39290.03,39993.3,38586.76,40344.94,38235.12,5.2,169.12,-163.91,13.71,40.86,37.1,40.41,3516.5776428571435,1604.72,-113.95,651.76,-22.53,39310.05,38730.13,PositionState,lower,38207.5,36067.0,0.0,2140.5,2480.0,0.0,2002.9777777777776,2724.6100000000006
2922,2922,3054,1651960800000.0,34986.5,35319.0,34744.0,35032.5,10603.425,371648160.241,2022-05-07 22:00:00,8.675e-05,27611.504,22.83,36055.41,35490.07,35772.74,36338.08,35207.39,36620.76,34924.72,-207.14,-138.4,-68.74,8.3,41.64,36.2,40.4,2623.2387142857147,612.25,-77.92,427.58,-3.71,35696.88,35220.59,PositionState,lower,35032.5,31819.0,0.0,3213.5,4969.0,-429.5,1711.4017857142858,3813.449999999997
2993,2993,3125,1652216400000.0,30997.5,31149.0,30212.0,30223.0,8885.722,272213967.8915,2022-05-10 21:00:00,0.0001,24764.232,35.81,31821.84,30915.0,31368.42,32275.26,30461.58,32728.68,30008.16,-283.2,-251.68,-31.52,15.23,26.26,20.39,29.7,9398.33607142857,-19.48,-120.57,185.45,-7.89,31246.72,30718.88,PositionState,lower,30223.0,31463.0,0.0,-1240.0,0.0,-1240.0,-656.25,-443.0499999999993
3228,3228,3360,1653062400000.0,29130.0,29130.0,28709.0,28888.5,14672.007,424463363.4815,2022-05-20 16:00:00,0.0001,28197.51,30.96,30317.19,29488.29,29902.74,30731.63,29073.85,31146.08,28659.4,-89.02,81.73,-170.75,14.12,34.3,28.76,30.76,6953.561928571428,791.34,-106.75,531.5,-6.73,29932.33,29204.06,PositionState,lower,28888.5,29407.5,0.0,-519.0,0.0,-519.0,-287.6875,-144.9399999999987
3302,3302,3434,1653328800000.0,30093.5,30154.5,29778.0,29850.0,5908.347,177143766.244,2022-05-23 18:00:00,7.361e-05,30473.13,38.55,30344.56,30045.15,30194.86,30494.27,29895.45,30643.97,29745.74,48.82,117.91,-69.08,14.94,25.79,20.7,21.26,6226.808857142857,284.39,-36.29,109.27,-6.76,30258.72,30020.05,PositionState,lower,29850.0,29373.0,0.0,477.0,902.5,0.0,585.4318181818181,789.619999999999
3365,3365,3497,1653555600000.0,29000.0,29245.5,28861.5,29179.5,9233.375,268483367.6215,2022-05-26 09:00:00,0.0001,27810.308,39.06,29809.23,29389.78,29599.5,30018.96,29180.05,30228.68,28970.33,-71.52,-3.72,-67.79,10.8,29.55,15.53,15.06,4460.030571428571,326.62,-44.22,220.77,-1.94,29591.0,29266.05,PositionState,lower,29179.5,29567.5,0.0,-388.0,385.0,-388.0,27.5625,-126.95999999999913
3397,3397,3529,1653670800000.0,28732.5,28855.0,28311.5,28374.0,14742.176,419890738.918,2022-05-27 17:00:00,0.0001,29448.231,34.08,29197.48,28737.33,28967.41,29427.56,28507.25,29657.64,28277.17,-160.12,-126.07,-34.04,11.21,30.56,34.19,32.74,11794.263714285717,609.81,-62.45,-19.44,-6.35,28890.94,28597.31,PositionState,lower,28374.0,28811.0,0.0,-437.0,0.0,-489.0,-310.875,-176.4399999999987
3515,3515,3647,1654095600000.0,31166.0,31215.0,30706.5,30747.5,15557.295,481046455.832,2022-06-01 15:00:00,0.0001,29197.822,30.76,31785.12,31266.3,31525.71,32044.53,31006.89,32303.94,30747.48,-72.57,23.42,-95.99,13.7,33.85,25.33,32.69,5337.039857142858,949.36,-81.92,419.79,-6.71,31472.11,31086.9,PositionState,lower,30747.5,30151.5,0.0,596.0,1181.5,0.0,806.7619047619048,1031.2800000000025
3559,3559,3691,1654254000000.0,29814.5,29949.0,29666.0,29750.0,8083.282,240663324.796,2022-06-03 11:00:00,1.431e-05,29733.346,33.55,30459.86,30026.96,30243.41,30676.31,29810.5,30892.76,29594.05,-55.5,8.04,-63.55,13.12,33.65,20.2,24.26,4197.973071428572,459.48,-51.93,166.34,-2.88,30270.5,29910.93,PositionState,lower,29750.0,29725.5,0.0,24.5,280.0,-36.5,128.1590909090909,209.6700000000019
3646,3646,3778,1654567200000.0,29565.0,29565.5,29119.5,29385.0,15512.995,455418464.033,2022-06-07 02:00:00,1.18e-05,29772.286,20.56,31457.74,30210.77,30834.25,32081.22,29587.29,32704.71,28963.8,-125.67,149.36,-275.03,12.65,45.8,46.31,50.59,10275.166,890.5,-152.56,848.73,-4.82,30847.5,29783.05,PositionState,lower,29385.0,30170.0,0.0,-785.0,0.0,-785.0,-265.0882352941176,-246.15999999999983
3729,3729,3861,1654866000000.0,29630.0,29696.0,29240.0,29386.0,20191.982,594613502.666,2022-06-10 13:00:00,0.0001,30289.814,29.66,30149.96,29770.93,29960.44,30339.48,29581.41,30529.0,29391.89,-134.12,-88.36,-45.75,12.58,35.6,20.72,18.74,7152.586142857143,1277.45,-60.47,151.31,-7.67,29902.27,29597.82,PositionState,lower,29386.0,28071.5,0.0,1314.5,2131.5,-156.5,853.9901960784314,1770.6399999999994
3786,3786,3918,1655071200000.0,27363.0,27444.0,26894.5,26989.0,15770.969,428378386.467,2022-06-12 22:00:00,5.064e-05,32366.227,33.32,27944.52,27393.63,27669.08,28219.97,27118.18,28495.41,26842.74,-245.87,-240.38,-5.49,14.52,32.34,36.87,45.88,8380.527285714286,821.4,-71.57,5.4,-8.38,27657.72,27216.66,PositionState,lower,26989.0,22675.5,0.0,4313.5,6160.5,0.0,3492.4523809523807,4681.360000000001
3833,3833,3965,1655240400000.0,21973.5,22089.5,21316.5,21466.0,14625.274,316228750.3675,2022-06-14 21:00:00,-0.00014081,30960.727,33.34,22737.56,22011.07,22374.31,23100.8,21647.82,23464.05,21284.57,-396.15,-432.59,36.43,11.62,28.17,30.17,34.36,12959.853428571429,-352.3,-95.6,-420.19,-5.84,22255.61,21792.67,PositionState,lower,21466.0,21541.5,0.0,-75.5,1236.5,-680.5,182.5,520.5099999999984
3915,3915,4047,1655535600000.0,19422.5,19608.0,18988.0,19241.5,32736.458,631657400.2715,2022-06-18 07:00:00,0.0001,31843.302,22.76,20720.03,19970.93,20345.48,21094.58,19596.38,21469.13,19221.83,-271.35,-167.51,-103.84,10.25,36.42,16.26,14.96,8740.48207142857,1919.26,-116.2,469.95,-1.43,20210.05,19587.29,PositionState,lower,19241.5,19184.5,0.0,57.0,1436.0,-140.0,391.75,857.1599999999999
4123,4123,4255,1656284400000.0,21134.5,21228.0,20976.5,21032.0,6653.644,140375059.941,2022-06-26 23:00:00,7.86e-05,34903.015,38.25,21441.02,21169.02,21305.02,21577.02,21033.02,21713.02,20897.02,-35.74,3.6,-39.34,16.33,24.79,16.54,16.96,7694.063428571429,244.11,-28.73,96.94,-2.48,21254.72,21137.6,PositionState,lower,21032.0,21248.5,0.0,-216.5,0.0,-216.5,-103.25,-72.4900000000016
4138,4138,4270,1656338400000.0,20726.5,20832.5,20581.5,20805.5,22638.584,468520594.5675,2022-06-27 14:00:00,8.947e-05,37548.417,34.83,21391.27,21001.61,21196.44,21586.11,20806.78,21780.94,20611.94,-67.48,-23.47,-44.0,15.75,36.02,17.78,17.62,8383.793642857143,1255.84,-41.15,120.1,-7.66,21224.0,20908.41,PositionState,lower,20805.5,20856.0,0.0,-50.5,190.5,-96.0,43.61764705882353,118.18999999999868
4166,4166,4298,1656439200000.0,20625.0,20630.0,20238.0,20344.0,18991.683,386839135.1265,2022-06-28 18:00:00,-9.09e-05,40316.444,32.26,20985.36,20611.26,20798.31,21172.41,20424.2,21359.47,20237.15,-92.04,-52.78,-39.26,11.2,32.74,25.45,29.69,10391.563,1110.43,-47.81,115.01,-10.62,20790.16,20511.61,PositionState,lower,20344.0,20219.0,0.0,125.0,402.5,-50.0,174.40384615384616,377.58000000000175
4203,4203,4335,1656572400000.0,19409.5,19460.0,19292.0,19425.5,11486.018,222777116.5155,2022-06-30 07:00:00,9.593e-05,39399.651,23.61,20202.45,19769.76,19986.1,20418.79,19553.42,20635.14,19337.07,-156.34,-103.26,-53.08,9.31,38.77,33.5,38.67,7593.273571428572,376.98,-59.02,306.36,-2.68,19904.27,19570.72,PositionState,lower,19425.5,19925.5,0.0,-500.0,677.0,-500.0,324.1764705882353,177.78000000000247
4276,4276,4408,1656835200000.0,19126.0,19145.0,18926.0,19012.0,7592.317,144564497.0885,2022-07-03 08:00:00,5.585e-05,35825.194,37.79,19283.37,19112.08,19197.73,19369.01,19026.44,19454.66,18940.79,-47.86,-27.31,-20.55,13.54,29.57,16.38,14.24,6050.931214285715,188.98,-19.54,49.53,-5.8,19166.0,19072.15,PositionState,lower,19012.0,19154.5,0.0,-142.5,40.0,-142.5,-40.22222222222222,-23.989999999997963
4450,4450,4582,1657461600000.0,21072.0,21072.0,20801.5,20863.5,15793.221,330529293.663,2022-07-10 14:00:00,0.0001,42649.6,26.84,21518.08,21124.12,21321.1,21715.06,20927.14,21912.03,20730.16,-124.95,-85.84,-39.1,11.39,35.87,25.03,21.42,6279.115571428572,580.39,-48.17,27.34,-5.53,21231.0,21024.29,PositionState,lower,20863.5,20600.5,0.0,263.0,496.0,-167.0,217.55357142857144,515.5200000000004
