start_at,open,high,low,close,volume,turnover,date,upper,midle,lower,macd,macdsignal,macdhist,bb_diff,bb_flag,prev_macd,prev_macdsignal,macdhist_positive,macd_rising,macdsignal_rising,macd_positive,macdsignal_positive
1685836800000.0,27059.1,27059.1,26991.9,26998.2,959.11,25925645.0339,2023-06-04 00:00:00,27242.96,27104.92,26966.88,-20.83,0.62,-21.46,0.0,,-13.47,5.99,False,False,False,False,True
1685840400000.0,26998.2,27072.0,26946.4,27033.0,1761.271,47576664.8387,2023-06-04 01:00:00,27241.74,27098.07,26954.39,-23.59,-4.21,-19.37,0.0,,-20.83,0.62,False,False,False,False,False
1685844000000.0,27033.0,27095.2,27023.0,27085.0,1404.96,38022357.3858,2023-06-04 02:00:00,27239.89,27096.82,26953.75,-21.33,-7.64,-13.69,0.0,,-23.59,-4.21,False,True,False,False,False
1685847600000.0,27085.0,27085.1,27036.0,27052.0,783.754,21205025.5965,2023-06-04 03:00:00,27237.14,27092.55,26947.97,-21.96,-10.5,-11.45,0.0,,-21.33,-7.64,False,False,False,False,False
1685851200000.0,27052.0,27084.1,27034.1,27049.1,1443.284,39051491.8934,2023-06-04 04:00:00,27235.21,27088.42,26941.62,-22.42,-12.89,-9.53,0.0,,-21.96,-10.5,False,False,False,False,False
1685854800000.0,27049.1,27049.3,27017.8,27030.5,629.216,17007451.0549,2023-06-04 05:00:00,27232.38,27082.9,26933.42,-24.02,-15.11,-8.9,0.0,,-22.42,-12.89,False,False,False,False,False
1685858400000.0,27030.5,27131.3,27030.4,27119.4,1968.891,53342594.0146,2023-06-04 06:00:00,27235.51,27086.37,26937.24,-17.9,-15.67,-2.23,0.0,,-24.02,-15.11,False,True,False,False,False
1685862000000.0,27119.4,27154.8,27117.9,27139.8,2036.721,55266879.0159,2023-06-04 07:00:00,27241.15,27091.46,26941.77,-11.28,-14.79,3.51,0.0,,-17.9,-15.67,True,True,True,False,False
1685865600000.0,27139.8,27149.9,27110.6,27142.7,1071.973,29084729.6795,2023-06-04 08:00:00,27245.13,27096.34,26947.56,-5.73,-12.98,7.24,0.0,,-11.28,-14.79,True,True,True,False,False
1685869200000.0,27142.7,27241.8,27142.6,27203.6,3539.794,96267036.0708,2023-06-04 09:00:00,27259.62,27106.56,26953.5,3.53,-9.68,13.21,0.0,,-5.73,-12.98,True,True,True,True,False
1685872800000.0,27203.6,27217.7,27185.3,27210.9,1102.303,29982686.7931,2023-06-04 10:00:00,27274.69,27116.49,26958.3,11.34,-5.47,16.81,0.0,,3.53,-9.68,True,True,True,True,False
1685876400000.0,27210.9,27222.8,27161.4,27189.9,1271.298,34576007.1181,2023-06-04 11:00:00,27264.32,27123.48,26982.65,15.65,-1.25,16.9,0.0,,11.34,-5.47,True,True,True,True,False
1685880000000.0,27189.9,27205.5,27151.0,27199.9,1067.431,29010992.429,2023-06-04 12:00:00,27264.66,27130.76,26996.86,19.64,2.92,16.71,0.0,,15.65,-1.25,True,True,True,True,True
1685883600000.0,27199.9,27285.0,27199.9,27235.0,2547.247,69398704.0844,2023-06-04 13:00:00,27285.6,27140.69,26995.78,25.35,7.41,17.94,0.0,,19.64,2.92,True,True,True,True,True
