,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi
188,1643673600000.0,38440,38631,38111,38548,5937.505,227853984.6270000041,2022-02-01 00:00:00,-0.0001987,20552.78200000
189,1643688000000.0,38548,38628,38253,38421.5,5019.906,192801386.6660000086,2022-02-01 04:00:00,-0.0001987,20825.02400000
190,1643702400000.0,38421.5,39097,37969.5,38421,17522.894,674236261.0785000324,2022-02-01 08:00:00,-0.00059476,20359.92199999
191,1643716800000.0,38421,39000,38155.5,38607,18591.766,717328966.3014999628,2022-02-01 12:00:00,-0.00059476,19590.99000000
192,1643731200000.0,38607,39250,38325,38356,14113.62,547735664.9739999771,2022-02-01 16:00:00,-0.00001712,19509.04499999
193,1643745600000.0,38356,38857.5,38352.5,38680.5,5194.432,200728364.9555000067,2022-02-01 20:00:00,-0.00001712,19040.36799999
194,1643760000000.0,38680.5,38814,38349,38550.5,5956.97,229609401.5180000067,2022-02-02 00:00:00,0.00001556,18816.17300000
195,1643774400000.0,38550.5,38550.5,38205.5,38261.5,6762.875,259430433.5694999993,2022-02-02 04:00:00,0.00001556,19070.00800000
196,1643788800000.0,38261.5,38575,38230,38481.5,5279.717,202970962.5934999883,2022-02-02 08:00:00,-0.00002667,19702.38599999
197,1643803200000.0,38481.5,38707.5,37368,37432,22756.502,864310429.7690000534,2022-02-02 12:00:00,-0.00002667,19557.36500000
198,1643817600000.0,37432,37641,37080,37564.5,12908.762,482029689.4685000181,2022-02-02 16:00:00,0.0001,19655.68500000
199,1643832000000.0,37564.5,37627.5,36500,36887,13727.867,508129879.550999999,2022-02-02 20:00:00,0.0001,19173.79100000
200,1643846400000.0,36887,37026,36634.5,36810,5928.321,218538696.7524999976,2022-02-03 00:00:00,0.00006713,18536.68200000
201,1643860800000.0,36810,37040,36784,36978.5,5003.546,184752585.275000006,2022-02-03 04:00:00,0.00006713,19384.67900000
202,1643875200000.0,36978.5,37066,36200.5,36750,14792.869,541190131.9025000334,2022-02-03 08:00:00,0.0001,19995.83299999
203,1643889600000.0,36750,36950,36220,36867,17411.103,637242409.5670000315,2022-02-03 12:00:00,0.0001,19365.66000000
204,1643904000000.0,36867,37190,36435,36539.5,8981.915,330186863.9934999943,2022-02-03 16:00:00,0.00000025,19918.87400000
205,1643918400000.0,36539.5,37425,36276,37291.5,10271.524,378225691.0159999728,2022-02-03 20:00:00,0.00000025,19253.21500000
206,1643932800000.0,37291.5,37400,37015,37267.5,5734.308,213434711.4544999897,2022-02-04 00:00:00,-0.00016891,18727.36600000
207,1643947200000.0,37267.5,38160,37223.5,37819.5,13749.684,518901590.0034999847,2022-02-04 04:00:00,-0.00016891,19662.26300000
208,1643961600000.0,37819.5,38338,37769,37820.5,9444.849,358478472.3600000143,2022-02-04 08:00:00,0.0001,21106.90299999
