,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi
5953,1695153600.0,27171.9,27214.3,26973,27193,11466.754,311027170.5561,2023-09-19 20:00:00,0.00008455,-0.00054535,62526.47500000
5954,1695168000.0,27193,27383.1,27076,27110.6,14420.661,392476103.3023,2023-09-20 00:00:00,0.00005883,-0.00021194,61375.92300000
5955,1695182400.0,27110.6,27148.1,26925.1,27090,14856.365,401802722.0003,2023-09-20 04:00:00,0.00005883,-0.00052594,61104.49700000
5956,1695196800.0,27090,27186.2,26930.5,27080.4,17156.325,464116790.8139,2023-09-20 08:00:00,0.00003112,-0.00049697,61296.17500000
5957,1695211200.0,27080.4,27232,26976,27169.9,19024.548,515711192.7431,2023-09-20 12:00:00,0.00003112,-0.00039039,61241.87500000
5958,1695225600.0,27169.9,27294.1,26710.5,26911.9,44258.981,1197820759.157,2023-09-20 16:00:00,0.00002605,-0.00075550,61383.38000000
5959,1695240000.0,26911.9,27244.1,26902,27110.6,20142.358,545458398.2188,2023-09-20 20:00:00,0.00002605,-0.00035536,60505.83300000
5960,1695254400.0,27110.6,27149.9,26920,27024.7,12132.059,327767522.1079,2023-09-21 00:00:00,0.00003228,-0.00030772,60863.67400000
5961,1695268800.0,27024.7,27086.9,26963.7,26976.8,8536.525,230724263.9448,2023-09-21 04:00:00,0.00003228,-0.00049123,60763.89800000
5962,1695283200.0,26976.8,27010.8,26606.5,26717.3,48186.834,1289659525.554,2023-09-21 08:00:00,0.00005862,-0.00046078,61572.16900000
5963,1695297600.0,26717.3,26767.9,26363,26570.1,44431.395,1178539286.3652,2023-09-21 12:00:00,0.00005862,-0.00041439,61980.84100000
5964,1695312000.0,26570.1,26690.7,26538.4,26582.9,12373.39,329203830.7886,2023-09-21 16:00:00,0.00002769,-0.00062431,61985.49300000
5965,1695326400.0,26582.9,26609.4,26476.5,26554.5,7256.03,192660013.0187,2023-09-21 20:00:00,0.00002769,-0.00050365,60858.87100000
5966,1695340800.0,26554.5,26654,26455.3,26614,10027.618,266540274.646,2023-09-22 00:00:00,-0.00002319,-0.00053132,60558.32100000
5967,1695355200.0,26614,26692.7,26558.9,26656.2,8711.548,231961416.1776,2023-09-22 04:00:00,-0.00002319,-0.00062934,60659.39100000
5968,1695369600.0,26656.2,26732.9,26572.8,26629.8,10697.932,285080113.1604,2023-09-22 08:00:00,0.00000166,-0.00052854,60122.90500000
5969,1695384000.0,26629.8,26687.1,26541.2,26618.8,11882.116,316260113.4927,2023-09-22 12:00:00,0.00000166,-0.00062613,60325.85800000
5970,1695398400.0,26618.8,26631.7,26512.3,26524,8729.801,231960202.4427,2023-09-22 16:00:00,0.00002708,-0.00043722,60967.76800000
