start_at,open,high,low,close,volume,turnover,date
1625760000000.0,32866.5,33163,32633,32970.5,9816.922,323668826.800999999,2021-07-08 16:00:00
1625774400000.0,32970.5,33034.5,32532,32854,6682.809,219557006.8860000074,2021-07-08 20:00:00
1625788800000.0,32854,33051,32280.5,32913,13308.698,438029177.273999989,2021-07-09 00:00:00
1625803200000.0,32913,33267.5,32751,32891,8770.99,288486632.0899999738,2021-07-09 04:00:00
1625817600000.0,32891,33038,32613,32750.5,9374.589,307022477.0444999933,2021-07-09 08:00:00
1625832000000.0,32750.5,33648.5,32644,33530,16043.215,537928998.9500000477,2021-07-09 12:00:00
1625846400000.0,33530,33658,33288,33434,5784.146,193387137.3639999926,2021-07-09 16:00:00
1625860800000.0,33434,34084,33393,33820,8875.333,300163762.0600000024,2021-07-09 20:00:00
1625875200000.0,33820,34230.5,33655,33791,8941.389,302138475.699000001,2021-07-10 00:00:00
1625889600000.0,33791,33891.5,33478,33749.5,7321.695,247103545.4025000036,2021-07-10 04:00:00
1625904000000.0,33749.5,33910.5,33573.5,33776.5,8067.66,272497317.9900000095,2021-07-10 08:00:00
1625918400000.0,33776.5,33917.5,33642.5,33848.5,7273.411,246194052.2335000038,2021-07-10 12:00:00
1625932800000.0,33848.5,34150.5,33246,33378.5,14675.051,489831189.8034999967,2021-07-10 16:00:00
1625947200000.0,33378.5,33662,33010,33500.5,6622.454,221855520.2269999981,2021-07-10 20:00:00
1625961600000.0,33500.5,33785,33413.5,33443,6720.876,224766256.0679999888,2021-07-11 00:00:00
1625976000000.0,33443,33619,33339,33492.5,7002.973,234547073.2024999857,2021-07-11 04:00:00
1625990400000.0,33492.5,33832,33433,33777,9168.216,309674831.8320000172,2021-07-11 08:00:00
1626004800000.0,33777,33961,33664.5,33896.5,8283.895,280795046.8675000072,2021-07-11 12:00:00
1626019200000.0,33896.5,34059.5,33746.5,33855,6023.339,203920141.8449999988,2021-07-11 16:00:00
1626033600000.0,33855,34540,33711.5,34234,9968.62,341265737.0799999833,2021-07-11 20:00:00
1626048000000.0,34234,34491.5,34050,34412.5,6424.683,221089403.7375000119,2021-07-12 00:00:00
1626062400000.0,34412.5,34620,34165,34273.5,7892.907,270517548.0644999743,2021-07-12 04:00:00
1626076800000.0,34273.5,34440,33555,33556,14697.306,493182800.1359999776,2021-07-12 08:00:00
1626091200000.0,33556,33636,33354.5,33392,10722.787,358055303.5040000081,2021-07-12 12:00:00
1626105600000.0,33392,33461,32780.5,32846.5,14131.502,464170380.4430000186,2021-07-12 16:00:00
1626120000000.0,32846.5,33283,32700,33112.5,6854.365,226965161.0625,2021-07-12 20:00:00
1626134400000.0,33112.5,33203,32857.5,33086,6173.775,204265519.650000006,2021-07-13 00:00:00
1626148800000.0,33086,33306,32772,33157.5,9389.445,311330522.5874999762,2021-07-13 04:00:00
1626163200000.0,33157.5,33312,32925,33039,7440.371,245822417.4690000117,2021-07-13 08:00:00
1626177600000.0,33039,33039,32310,32772.5,18411.386,603387147.6849999428,2021-07-13 12:00:00
1626192000000.0,32772.5,32925.5,32250,32316,9645.065,311689920.5400000215,2021-07-13 16:00:00
1626206400000.0,32316,32746,32213.5,32720,6039.882,197624939.0399999917,2021-07-13 20:00:00
1626220800000.0,32720,32797,31675,31859.5,14478.959,461292394.2605000138,2021-07-14 00:00:00
1626235200000.0,31859.5,32004,31654,31898,10605.191,338284382.5180000067,2021-07-14 04:00:00
1626249600000.0,31898,32676,31594,32428.5,16813.927,545250431.7194999456,2021-07-14 08:00:00
1626264000000.0,32428.5,32925,32293,32780.5,11304.817,370577553.6685000062,2021-07-14 12:00:00
1626278400000.0,32780.5,33082.5,32583,32713.5,8147.113,266520581.1254999936,2021-07-14 16:00:00
1626292800000.0,32713.5,33013,32680,32800,4590.991,150584504.8000000119,2021-07-14 20:00:00
1626307200000.0,32800,33145.5,32650,32650,9123.763,297890861.9499999881,2021-07-15 00:00:00
1626321600000.0,32650,32687.5,32399,32488,10249.969,333000992.871999979,2021-07-15 04:00:00
1626336000000.0,32488,32605,31823,31920,14560.942,464785268.6399999857,2021-07-15 08:00:00
1626350400000.0,31920,32163,31480,31703,17601.818,558030436.05400002,2021-07-15 12:00:00
1626364800000.0,31703,31777,31160,31544,13581.271,428407612.4240000248,2021-07-15 16:00:00
1626379200000.0,31544,31876.5,31515.5,31855.5,6286.284,200252719.9620000124,2021-07-15 20:00:00
1626393600000.0,31855.5,32028,31571,31904,7307.682,233144286.5279999971,2021-07-16 00:00:00
1626408000000.0,31904,31979,31555,31783.5,7681.092,244131987.5819999874,2021-07-16 04:00:00
1626422400000.0,31783.5,31783.5,31056,31113.5,12372.864,384963104.0640000105,2021-07-16 08:00:00
1626436800000.0,31113.5,32150,31102,32085,17665.489,566797214.5650000572,2021-07-16 12:00:00
1626451200000.0,32085,32200,31796,31899.5,8378.629,267274075.78549999,2021-07-16 16:00:00
1626465600000.0,31899.5,31955,31335,31384,5634.907,176845921.2879999876,2021-07-16 20:00:00
