,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
2029,15731,15931,1701176400000.0,37211.5,37260.0,37142.3,37260.0,1683.068,62586496.3464,2023-11-28 13:00:00,0.0001,0.00025569,60096.414,58.51,37232.76,37027.23,37130.0,37335.53,36924.46,37438.3,36821.7,36.5,11.68,24.82,21.2,15.68,14.43,16.19,1485.651,-15.47,13.69,34.22,-4.07,37161.92,37236.21,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,15732,15932,1701178200000.0,37260.0,37458.2,37260.0,37416.1,4851.184,181268857.9175,2023-11-28 13:30:00,0.0001,0.00017098,60112.458,65.14,37282.29,37032.2,37157.24,37407.34,36907.15,37532.39,36782.1,54.43,20.23,34.2,30.12,13.91,16.03,16.56,1740.3492142857144,254.69,27.23,113.86,9.08,37202.02,37326.15,EnterPreparationState,upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,15733,15933,1701180000000.0,37416.1,37455.1,37354.7,37428.0,2299.285,85989831.399,2023-11-28 14:00:00,0.0001,0.00012697,60455.334,65.59,37327.06,37039.0,37183.03,37471.09,36894.97,37615.12,36750.94,68.81,29.95,38.86,28.37,13.1,17.52,16.76,1820.3295,79.98,25.79,147.73,7.98,37239.33,37377.07,PositionState,upper,37428.0,37820.0,0.0,392.0,807.1999999999971,-54.900000000001455,461.0400000000001,485.34999999999854
2032,15760,15960,1701228600000.0,37959.6,37980.8,37895.4,37951.0,795.685,30184060.9096,2023-11-29 03:30:00,0.0001,0.00023288,60457.559,56.26,38000.89,37776.53,37888.71,38113.08,37664.34,38225.26,37552.16,89.52,120.59,-31.07,24.08,17.62,29.12,36.46,2414.675428571429,-143.93,6.55,-45.31,-1.28,37911.87,37946.86,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,15761,15961,1701230400000.0,37951.0,37964.6,37876.8,37890.0,515.296,19536778.2932,2023-11-29 04:00:00,0.0001,0.00024997,60524.591,52.84,37997.51,37780.15,37888.83,38106.19,37671.47,38214.87,37562.79,79.64,112.4,-32.76,23.13,17.76,27.98,35.8,2317.742142857143,-96.93,0.12,-32.61,-2.01,37919.65,37918.43,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,15762,15962,1701232200000.0,37890.0,37960.0,37876.0,37943.4,581.483,22048744.5202,2023-11-29 04:30:00,0.0001,1.69e-05,60709.727,55.4,38002.74,37785.32,37894.03,38111.45,37676.61,38220.16,37567.89,75.25,104.97,-29.72,22.23,17.1,26.91,35.11,2134.387928571429,-183.35,5.19,-6.77,-1.18,37939.07,37930.91,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,15763,15963,1701234000000.0,37943.4,37991.6,37919.6,37944.3,796.408,30235154.9554,2023-11-29 05:00:00,0.0001,4.13e-06,60734.474,55.44,38004.6,37793.03,37898.82,38110.39,37687.25,38216.17,37581.46,71.02,98.18,-27.16,22.98,16.51,26.16,34.1,2035.572642857143,-98.81,4.79,-6.44,0.44,37942.31,37937.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,15764,15964,1701235800000.0,37944.3,38043.7,37895.1,38035.8,1112.123,42234725.1035,2023-11-29 05:30:00,0.0001,2.953e-05,60828.139,59.77,38011.48,37812.24,37911.86,38111.1,37712.62,38210.72,37613.01,74.2,93.38,-19.18,23.85,15.32,25.84,33.36,1969.127142857143,-66.44,13.04,-25.72,2.81,37942.88,37986.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,15765,15965,1701237600000.0,38035.8,38044.8,37978.0,38005.3,743.458,28260396.8143,2023-11-29 06:00:00,0.0001,5.534e-05,60913.453,57.75,38015.18,37826.34,37920.76,38109.6,37731.92,38204.02,37637.5,73.41,89.39,-15.97,23.1,14.81,25.56,31.93,1921.1402142857144,-47.98,8.9,-20.08,0.63,37951.6,37996.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,15766,15966,1701239400000.0,38005.3,38251.0,37993.3,38179.9,3958.899,150988469.0799,2023-11-29 06:30:00,0.0001,0.0,61118.112,65.02,38035.78,37855.1,37945.44,38126.12,37764.76,38216.46,37674.42,85.89,88.69,-2.8,30.06,13.0,26.56,31.23,1742.3519285714283,-178.78,24.68,-17.81,8.01,37982.25,38087.95,EnterPreparationState,upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
