,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction
2412,2544,1650124800000.0,40058.5,40220.0,40002.5,40195.5,1951.259,78284188.38249998,2022-04-16 16:00:00,1.418e-05,25489.11,43.14,40461.39,40235.36,40348.37,40574.41,40122.34,40687.42,40009.32,-17.92,14.26,-32.18,16.45,24.83,25.32,27.42,1651.5384285714292,77.82,152.87000000000262,77.44,-4.37,40334.27,40220.91,378.9100000000035,-73.16000000000349,25.410000000003492,138.7699999999968,-26.86,13.14,-8.379999999999999,-32.18,PositionState,lower,40195.5,40464.5,0.0,-269.0,62.5,-269.0,-44.166666666666664,0
2438,2570,1650218400000.0,40079.0,40136.5,39772.5,40097.0,4459.738,178312364.838,2022-04-17 18:00:00,5.107e-05,25298.657,39.42,40391.72,40184.15,40287.93,40495.51,40080.36,40599.29,39976.57,-32.88,-5.65,-27.23,12.06,30.24,15.74,16.08,1776.6177857142864,264.35,190.9300000000003,40.33,-9.27,40298.33,40140.42,398.51000000000204,-16.639999999999418,43.419999999998254,201.33000000000175,-30.58,9.420000000000002,-18.18,-27.230000000000004,PositionState,lower,40097.0,40343.5,0.0,-246.5,0.0,-246.5,-123.25,0
2443,2575,1650236400000.0,39987.0,39988.5,39520.5,39662.0,6723.437,267061490.7185,2022-04-17 23:00:00,5.107e-05,24641.028,30.19,40375.84,40014.61,40195.22,40556.45,39833.99,40737.07,39653.38,-89.61,-35.93,-53.68,13.73,37.6,18.72,16.49,2521.438214285715,356.27,533.2200000000012,244.58,-11.93,40135.16,39882.06,894.4499999999971,171.98999999999796,220.05999999999767,473.1600000000035,-39.81,0.19000000000000128,-23.87,-53.68,PositionState,lower,39662.0,39433.5,0.0,228.5,862.0,-123.5,410.5833333333333,0
2537,2669,1650574800000.0,40590.0,40845.0,40550.0,40727.5,3770.543,153555706.084,2022-04-21 21:00:00,-0.00014831,23793.812,33.81,42135.21,41044.84,41590.03,42680.4,40499.66,43225.58,39954.47,-118.17,70.01,-188.19,17.15,35.91,24.69,21.04,6185.708285714286,8.07,862.5299999999988,251.28,-2.15,41622.44,40868.14,1952.9000000000015,-227.8399999999965,140.63999999999942,894.9400000000023,-36.19,3.8100000000000023,-18.759999999999998,-188.18,PositionState,lower,40727.5,39683.0,0.0,1044.5,1403.5,0.0,787.829268292683,0
2588,2720,1650758400000.0,39421.5,39649.0,39403.0,39550.0,1885.537,74563166.0955,2022-04-24 00:00:00,-5.571e-05,24982.742,42.49,39806.87,39571.29,39689.08,39924.66,39453.5,40042.45,39335.71,-58.91,-71.46,12.55,15.64,26.47,29.52,41.14,1651.4428571428577,95.67,139.08000000000175,-33.22,-2.36,39712.66,39580.11,374.6600000000035,-96.5,30.110000000000582,162.6600000000035,-27.509999999999998,12.490000000000002,-10.829999999999998,12.549999999999997,PositionState,lower,39550.0,39740.0,0.0,-190.0,99.0,-190.0,-14.0,0
2613,2745,1650848400000.0,38837.0,39139.5,38729.0,39066.5,4390.764,170926883.4345,2022-04-25 01:00:00,0.0001,24614.718,37.77,39694.2,39250.13,39472.16,39916.23,39028.09,40138.26,38806.06,-124.69,-66.96,-57.72,12.8,37.51,25.08,21.31,3815.0592142857145,208.51,405.6600000000035,226.41,-1.05,39405.94,39117.05,849.7300000000032,-38.41000000000349,50.55000000000291,339.4400000000023,-32.23,7.770000000000003,-24.709999999999997,-57.730000000000004,PositionState,lower,39066.5,39056.0,0.0,10.5,670.0,-169.0,261.92857142857144,0
2651,2783,1650985200000.0,39258.5,39354.0,38521.0,38545.0,17286.242,674206482.6905,2022-04-26 15:00:00,0.0001,27035.854,24.46,40435.79,39445.78,39940.78,40930.8,38950.77,41425.8,38455.76,-37.57,185.87,-223.44,15.09,35.86,33.65,34.23,4803.794071428571,1104.08,1395.7799999999988,852.35,-13.29,40016.38,39106.11,2385.800000000003,405.7699999999968,561.1100000000006,1471.3799999999974,-45.54,-5.539999999999999,-20.77,-223.44,PositionState,lower,38545.0,39103.5,0.0,-558.5,453.5,-558.5,157.58823529411765,0
2719,2851,1651230000000.0,38791.0,38939.0,38596.5,38734.0,5594.182,216878495.5565,2022-04-29 11:00:00,0.0001,25684.363,31.51,39777.57,39022.68,39400.13,40155.02,38645.24,40532.46,38267.8,-124.97,-1.2,-123.76,11.04,31.87,23.42,22.05,3163.4258571428577,262.63,666.1299999999974,245.55,-0.57,39291.5,38889.48,1421.0199999999968,-88.76000000000204,155.4800000000032,557.5,-38.489999999999995,1.5100000000000016,-20.830000000000002,-123.77,PositionState,lower,38734.0,38467.0,0.0,267.0,1122.5,-515.5,366.4433962264151,0
2819,2951,1651590000000.0,38288.0,38410.5,38223.5,38329.5,3110.282,119225939.5925,2022-05-03 15:00:00,0.0001,26776.06,44.47,38544.19,38365.79,38454.99,38633.39,38276.59,38722.58,38187.39,-41.01,-20.1,-20.9,13.02,21.75,13.72,14.25,2386.644285714286,134.84,125.48999999999796,-24.5,-0.76,38434.27,38340.84,303.8899999999994,-52.91000000000349,11.339999999996508,104.7699999999968,-25.53,14.469999999999999,-8.73,-20.909999999999997,PositionState,lower,38329.5,38070.5,0.0,259.0,616.5,0.0,407.43333333333334,0
2867,2999,1651762800000.0,38207.5,38207.5,36190.0,36884.5,49416.83,1833468885.5895,2022-05-05 15:00:00,0.0001,28008.948,15.31,39730.39,38391.47,39060.93,40399.84,37722.02,41069.3,37052.56,-184.38,98.42,-282.81,8.92,59.77,39.74,42.01,6966.419928571429,3449.84,2176.4300000000003,1508.37,-27.93,39015.05,37807.31,3515.3399999999965,837.5199999999968,922.8099999999977,2130.550000000003,-54.69,-14.69,-50.85,-282.8,PositionState,lower,36884.5,36067.0,0.0,817.5,1157.0,-134.0,725.5,0
2922,3054,1651960800000.0,34986.5,35319.0,34744.0,35032.5,10603.425,371648160.241,2022-05-07 22:00:00,8.675e-05,27611.504,22.83,36055.41,35490.07,35772.74,36338.08,35207.39,36620.76,34924.72,-207.14,-138.4,-68.74,8.3,41.64,36.2,40.4,2623.2387142857147,612.25,740.239999999998,427.58,-3.71,35696.88,35220.59,1305.5800000000017,174.88999999999942,188.0899999999965,664.3799999999974,-47.17,-7.170000000000002,-33.34,-68.73999999999998,PositionState,lower,35032.5,31819.0,0.0,3213.5,4969.0,-429.5,1711.4017857142858,0
2994,3126,1652220000000.0,30223.0,30941.0,30136.5,30775.0,14340.403,438547695.261,2022-05-10 22:00:00,0.0001,23879.286,42.7,31778.96,30844.84,31311.9,32246.02,30377.78,32713.09,29910.72,-297.59,-260.86,-36.72,13.95,24.85,20.94,28.9,9810.304857142857,411.96,536.9000000000015,67.26,-1.53,31132.16,30746.94,1471.0200000000004,-397.22000000000116,-28.06000000000131,357.15999999999985,-27.299999999999997,12.700000000000003,-10.900000000000002,-36.72999999999996,PositionState,lower,30775.0,31463.0,0.0,-688.0,12.0,-688.0,-235.5,0
3009,3141,1652274000000.0,29294.0,31908.0,29138.0,31211.5,52363.909,1577639726.109,2022-05-11 13:00:00,0.0001,25655.172,50.1,31681.06,30534.48,31107.77,32254.35,29961.19,32827.64,29387.9,-150.07,-141.88,-8.18,17.2,27.62,16.46,18.36,15067.518785714285,3181.98,-103.72999999999956,81.77,-2.38,31055.72,30819.99,1042.8499999999985,-1250.3100000000013,-391.5099999999984,-155.77999999999884,-19.9,20.1,-10.420000000000002,-8.189999999999998,PositionState,lower,31211.5,31808.0,0.0,-596.5,0.0,-596.5,-298.25,0
3017,3149,1652302800000.0,28455.5,29327.0,27600.0,29087.0,24893.628,710681346.258,2022-05-11 21:00:00,0.0001,24893.093,40.11,31356.21,29384.87,30370.54,32341.88,28399.2,33327.55,27413.53,-547.02,-322.41,-224.61,9.37,34.13,26.76,20.55,21629.784714285717,670.95,1283.5400000000009,385.7,-1.8,30115.66,29092.09,3254.880000000001,-687.7999999999993,5.0900000000001455,1028.6599999999999,-29.89,10.11,-24.760000000000005,-224.60999999999996,PositionState,lower,29087.0,29564.5,0.0,-477.5,2029.5,-697.5,615.1666666666666,0
3228,3360,1653062400000.0,29130.0,29130.0,28709.0,28888.5,14672.007,424463363.4815,2022-05-20 16:00:00,0.0001,28197.51,30.96,30317.19,29488.29,29902.74,30731.63,29073.85,31146.08,28659.4,-89.02,81.73,-170.75,14.12,34.3,28.76,30.76,6953.561928571428,791.34,1014.2400000000016,531.5,-6.73,29932.33,29204.06,1843.130000000001,185.34999999999854,315.5600000000013,1043.8300000000017,-39.04,0.9600000000000009,-20.18,-170.75,PositionState,lower,28888.5,29407.5,0.0,-519.0,0.0,-519.0,-287.6875,0
3303,3435,1653332400000.0,29850.0,29861.0,29046.0,29059.5,20596.495,605677658.349,2022-05-23 19:00:00,7.361e-05,29465.091,24.11,30390.6,29782.85,30086.73,30694.48,29478.98,30998.35,29175.1,-46.38,85.05,-131.43,12.13,37.85,22.9,23.15,7526.0028571428575,1299.19,1027.2299999999996,651.02,-16.53,30101.44,29539.77,1634.9799999999996,419.47999999999956,480.27000000000044,1041.9399999999987,-45.89,-5.890000000000001,-25.72,-131.43,PositionState,lower,29059.5,29373.0,0.0,-313.5,112.0,-332.5,-177.1904761904762,0
3365,3497,1653555600000.0,29000.0,29245.5,28861.5,29179.5,9233.375,268483367.6215,2022-05-26 09:00:00,0.0001,27810.308,39.06,29809.23,29389.78,29599.5,30018.96,29180.05,30228.68,28970.33,-71.52,-3.72,-67.79,10.8,29.55,15.53,15.06,4460.030571428571,326.62,420.0,220.77,-1.94,29591.0,29266.05,839.4599999999991,0.5499999999992724,86.54999999999927,411.5,-30.939999999999998,9.060000000000002,-18.75,-67.8,PositionState,lower,29179.5,29567.5,0.0,-388.0,385.0,-388.0,27.5625,0
3398,3530,1653674400000.0,28374.0,28470.0,28256.5,28445.0,15947.91,452548126.8545,2022-05-27 18:00:00,0.0001,28681.795,36.25,29139.79,28695.51,28917.65,29361.93,28473.37,29584.08,28251.23,-181.98,-137.25,-44.73,10.7,30.34,35.17,33.87,12416.291714285715,622.02,472.65000000000146,-80.84,-1.73,28826.33,28521.15,916.9300000000003,28.36999999999898,76.15000000000146,381.33000000000175,-33.75,6.25,-19.64,-44.72999999999999,PositionState,lower,28445.0,28811.0,0.0,-366.0,0.0,-418.0,-268.1363636363636,0
3515,3647,1654095600000.0,31166.0,31215.0,30706.5,30747.5,15557.295,481046455.832,2022-06-01 15:00:00,0.0001,29197.822,30.76,31785.12,31266.3,31525.71,32044.53,31006.89,32303.94,30747.48,-72.57,23.42,-95.99,13.7,33.85,25.33,32.69,5337.039857142858,949.36,778.2099999999991,419.79,-6.71,31472.11,31086.9,1297.0299999999988,259.3899999999994,339.40000000000146,724.6100000000006,-39.239999999999995,0.7600000000000016,-20.150000000000002,-95.99,PositionState,lower,30747.5,30151.5,0.0,596.0,1181.5,0.0,806.7619047619048,0
3559,3691,1654254000000.0,29814.5,29949.0,29666.0,29750.0,8083.282,240663324.796,2022-06-03 11:00:00,1.431e-05,29733.346,33.55,30459.86,30026.96,30243.41,30676.31,29810.5,30892.76,29594.05,-55.5,8.04,-63.55,13.12,33.65,20.2,24.26,4197.9730714285715,459.48,493.40999999999985,166.34,-2.88,30270.5,29910.93,926.3100000000013,60.5,160.9300000000003,520.5,-36.45,3.549999999999997,-20.53,-63.54,PositionState,lower,29750.0,29725.5,0.0,24.5,280.0,-36.5,128.1590909090909,0
3646,3778,1654567200000.0,29565.0,29565.5,29119.5,29385.0,15512.995,455418464.033,2022-06-07 02:00:00,1.18e-05,29772.286,20.56,31457.74,30210.77,30834.25,32081.22,29587.29,32704.71,28963.8,-125.67,149.36,-275.03,12.65,45.8,46.31,50.59,10275.166,890.5,1449.25,848.73,-4.82,30847.5,29783.05,2696.220000000001,202.29000000000087,398.0499999999993,1462.5,-49.44,-9.440000000000001,-33.15,-275.03000000000003,PositionState,lower,29385.0,30170.0,0.0,-785.0,0.0,-785.0,-265.0882352941176,0
3717,3849,1654822800000.0,29735.0,30042.0,29723.0,29861.5,5075.596,151694337.565,2022-06-10 01:00:00,0.0001,29263.077,39.96,30337.05,29934.74,30135.9,30538.21,29733.59,30739.36,29532.44,-106.89,-68.27,-38.62,11.87,29.84,18.63,17.37,6138.2125,68.74,274.40000000000146,90.34,-1.06,30056.27,29889.28,676.7099999999991,-127.90999999999985,27.779999999998836,194.77000000000044,-30.04,9.96,-17.97,-38.620000000000005,PositionState,lower,29861.5,28071.5,0.0,1790.0,2607.0,-241.5,1053.1666666666667,0
3787,3919,1655074800000.0,26989.0,27173.5,26550.0,26567.5,16412.092,440419571.662,2022-06-12 23:00:00,5.064e-05,32528.998,28.39,27912.19,27216.13,27564.16,28260.22,26868.1,28608.26,26520.07,-304.71,-253.24,-51.46,12.79,35.06,37.56,46.43,9364.270214285714,983.74,996.6599999999999,275.76,-6.25,27521.38,26892.08,1692.7200000000012,300.59999999999854,324.58000000000175,953.880000000001,-41.61,-1.6099999999999994,-22.270000000000003,-51.46999999999997,PositionState,lower,26567.5,22675.5,0.0,3892.0,5739.0,0.0,3156.1341463414633,0
3834,3966,1655244000000.0,21466.0,21660.5,21450.0,21577.0,6458.033,139200072.913,2022-06-14 22:00:00,-0.00014081,29313.678,35.42,22656.14,21940.62,22298.38,23013.9,21582.86,23371.66,21225.09,-414.77,-429.02,14.25,11.31,27.42,30.99,34.09,12659.01507142857,-300.83,721.380000000001,-291.64,-0.75,22164.16,21684.83,1436.9000000000015,5.860000000000582,107.83000000000175,587.1599999999999,-34.58,5.420000000000002,-16.11,14.25,PositionState,lower,21577.0,21541.5,0.0,35.5,1347.5,-569.5,304.90625,0
3915,4047,1655535600000.0,19422.5,19608.0,18988.0,19241.5,32736.458,631657400.2715,2022-06-18 07:00:00,0.0001,31843.302,22.76,20720.03,19970.93,20345.48,21094.58,19596.38,21469.13,19221.83,-271.35,-167.51,-103.84,10.25,36.42,16.26,14.96,8740.48207142857,1919.26,1103.9799999999996,469.95,-1.43,20210.05,19587.29,1853.0800000000017,354.880000000001,345.7900000000009,968.5499999999993,-47.239999999999995,-7.239999999999998,-26.17,-103.84000000000003,PositionState,lower,19241.5,19184.5,0.0,57.0,1436.0,-140.0,391.75,0
4025,4157,1655931600000.0,19866.0,20064.0,19811.0,19992.5,6188.407,123344381.6255,2022-06-22 21:00:00,9.57e-05,34056.79,40.41,20535.11,20110.48,20322.79,20747.42,19898.17,20959.73,19685.86,-167.52,-132.74,-34.78,12.15,30.52,25.09,24.51,13499.221214285715,-384.75,330.2900000000009,29.33,-0.5,20245.27,20006.53,754.9199999999983,-94.33000000000175,14.029999999998836,252.77000000000044,-29.590000000000003,10.409999999999997,-18.369999999999997,-34.78,PositionState,lower,19992.5,20405.0,0.0,-412.5,12.5,-412.5,-124.5,0
4124,4256,1656288000000.0,21032.0,21113.5,20962.0,21043.5,5056.794,106391418.71,2022-06-27 00:00:00,6.795e-05,35260.621,38.85,21431.88,21128.35,21280.11,21583.64,20976.59,21735.4,20824.82,-51.43,-7.4,-44.03,15.45,23.97,16.9,18.05,7841.018857142857,146.95,236.61000000000058,79.0,-1.64,21225.05,21090.55,540.1399999999994,-66.90999999999985,47.04999999999927,181.54999999999927,-31.15,8.850000000000001,-8.52,-44.03,PositionState,lower,21043.5,21248.5,0.0,-205.0,0.0,-205.0,-106.5,0
4138,4270,1656338400000.0,20726.5,20832.5,20581.5,20805.5,22638.584,468520594.5675,2022-06-27 14:00:00,8.947e-05,37548.417,34.83,21391.27,21001.61,21196.44,21586.11,20806.78,21780.94,20611.94,-67.48,-23.47,-44.0,15.75,36.02,17.78,17.62,8383.793642857143,1255.84,390.9399999999987,120.1,-7.66,21224.0,20908.41,780.6100000000006,1.2799999999988358,102.90999999999985,418.5,-35.17,4.829999999999998,-20.270000000000003,-44.010000000000005,PositionState,lower,20805.5,20856.0,0.0,-50.5,190.5,-96.0,43.61764705882353,0
4167,4299,1656442800000.0,20344.0,20359.0,20190.0,20253.5,7789.818,158006630.3705,2022-06-28 19:00:00,-9.09e-05,39493.46499999,30.29,20967.69,20525.15,20746.42,21188.96,20303.88,21410.23,20082.61,-124.05,-67.03,-57.01,10.55,32.49,27.27,30.16,10655.772142857142,264.2,492.91999999999825,151.9,-2.09,20705.88,20382.55,935.4599999999991,50.38000000000102,129.04999999999927,452.380000000001,-39.71,0.28999999999999915,-21.94,-57.019999999999996,PositionState,lower,20253.5,20219.0,0.0,34.5,312.0,-140.5,90.88,0
4203,4335,1656572400000.0,19409.5,19460.0,19292.0,19425.5,11486.018,222777116.5155,2022-06-30 07:00:00,9.593e-05,39399.651,23.61,20202.45,19769.76,19986.1,20418.79,19553.42,20635.14,19337.07,-156.34,-103.26,-53.08,9.31,38.77,33.5,38.67,7593.273571428572,376.98,560.5999999999985,306.36,-2.68,19904.27,19570.72,993.2900000000009,127.91999999999825,145.22000000000116,478.77000000000044,-46.39,-6.390000000000001,-29.46,-53.08,PositionState,lower,19425.5,19925.5,0.0,-500.0,677.0,-500.0,324.1764705882353,0
4274,4406,1656828000000.0,19036.0,19177.5,19031.0,19135.0,6219.657,118852171.6505,2022-07-03 06:00:00,-7.07e-06,35335.732,43.69,19295.88,19157.89,19226.88,19364.87,19088.9,19433.87,19019.9,-31.79,-18.73,-13.06,15.27,26.22,13.88,12.88,5845.368,79.84,91.88000000000102,32.52,1.34,19213.11,19138.63,229.86999999999898,-46.099999999998545,3.6300000000010186,78.11000000000058,-26.310000000000002,13.689999999999998,-10.95,-13.059999999999999,PositionState,lower,19135.0,19154.5,0.0,-19.5,163.0,-19.5,68.54545454545455,0
4437,4569,1657414800000.0,21366.0,21496.0,21335.0,21414.0,5386.385,115409384.205,2022-07-10 01:00:00,0.0001,40976.68,43.03,21711.86,21472.57,21592.21,21831.5,21352.93,21951.14,21233.29,-18.77,11.91,-30.68,18.58,23.19,17.8,21.45,5305.080785714286,-390.97,178.20999999999913,27.97,-2.34,21622.33,21453.94,417.5,-61.06999999999971,39.93999999999869,208.33000000000175,-26.97,13.030000000000001,-4.610000000000003,-30.68,PositionState,lower,21414.0,20600.5,0.0,813.5,1046.5,0.0,561.9146341463414,0
4481,4613,1657573200000.0,20419.5,20424.0,20164.5,20233.5,7195.527,146082726.211,2022-07-11 21:00:00,4.144e-05,39946.684,32.37,20613.63,20439.97,20526.8,20700.45,20353.14,20787.28,20266.32,-132.47,-146.62,14.15,16.23,27.0,27.79,36.02,7257.417142857143,180.44,293.2999999999993,3.34,-9.25,20432.61,20350.45,466.9500000000007,119.63999999999942,116.95000000000073,199.11000000000058,-37.63,2.3699999999999974,-10.77,14.150000000000006,PositionState,lower,20233.5,19699.0,0.0,534.5,910.0,0.0,524.9571428571429,0
4521,4653,1657717200000.0,19159.5,19349.0,18927.0,19279.0,29430.029,563745048.592,2022-07-13 13:00:00,-4.334e-05,41403.834,37.97,19780.2,19393.71,19586.96,19973.45,19200.47,20166.69,19007.23,-86.54,-90.15,3.6,13.1,32.7,31.72,36.19,12563.458499999999,1651.3,307.9599999999991,-62.9,-6.15,19602.66,19379.41,694.4500000000007,-78.52999999999884,100.40999999999985,323.65999999999985,-32.03,7.969999999999999,-19.6,3.6099999999999994,PositionState,lower,19279.0,19622.5,0.0,-343.5,0.0,-343.5,-197.875,0
4703,4835,1658372400000.0,22687.5,22856.0,22666.0,22776.0,7312.844,166595265.31,2022-07-21 03:00:00,0.0001,40400.263,39.6,23692.63,22945.84,23319.23,24066.02,22572.45,24439.42,22199.05,-65.71,75.64,-141.35,14.01,26.49,29.37,36.75,13148.823928571428,-876.01,543.2299999999996,197.18,-1.76,23220.38,22874.25,1290.0200000000004,-203.54999999999927,98.25,444.380000000001,-30.4,9.600000000000001,-12.479999999999999,-141.35,PositionState,lower,22776.0,23028.0,0.0,-252.0,225.5,-252.0,-34.892857142857146,0
4744,4876,1658520000000.0,22575.5,22719.0,22487.0,22598.5,8421.292,190349137.5405,2022-07-22 20:00:00,8.25e-05,41365.074,36.5,23395.93,22809.22,23102.57,23689.28,22515.87,23982.64,22222.51,-61.16,32.16,-93.33,12.39,27.85,19.52,16.62,10983.778357142857,304.64,504.0699999999997,143.47,-2.51,23140.27,22712.75,1090.7799999999988,-82.63000000000102,114.25,541.7700000000004,-33.5,6.5,-15.46,-93.32,PositionState,lower,22598.5,22453.0,0.0,145.5,565.0,-295.5,89.12962962962963,0
4797,4929,1658710800000.0,22320.5,22328.0,22048.0,22201.5,7964.834,176910361.3695,2022-07-25 01:00:00,0.0001,40835.23599999,36.34,22721.22,22419.72,22570.47,22871.98,22268.96,23022.73,22118.21,-24.55,24.73,-49.29,12.62,22.37,19.45,21.61,6557.231142857143,-11.77,368.97000000000116,126.72,-8.2,22601.33,22339.92,670.4799999999996,67.45999999999913,138.41999999999825,399.83000000000175,-33.66,6.340000000000003,-9.750000000000002,-49.28,PositionState,lower,22201.5,22157.5,0.0,44.0,390.0,0.0,256.3,0
4819,4951,1658790000000.0,21649.5,21742.0,21233.0,21301.0,14345.072,307821809.278,2022-07-25 23:00:00,2.443e-05,41960.007,28.54,22094.71,21758.09,21926.4,22263.02,21589.78,22431.33,21421.47,-163.55,-141.26,-22.29,13.33,34.7,29.34,27.58,9362.635357142857,775.43,625.4000000000015,279.0,-8.05,21833.05,21566.84,962.0200000000004,288.77999999999884,265.84000000000015,532.0499999999993,-41.46,-1.4600000000000009,-21.370000000000005,-22.29000000000002,PositionState,lower,21301.0,21098.5,0.0,202.5,567.5,0.0,278.9583333333333,0
4962,5094,1659304800000.0,23581.0,23581.5,23224.0,23377.5,10971.382,256306803.7995,2022-07-31 22:00:00,9.467e-05,40194.224,33.24,23830.8,23629.21,23730.01,23931.59,23528.42,24032.39,23427.63,-71.28,-51.63,-19.65,15.85,26.45,21.39,22.59,5619.229285714285,504.98,352.5099999999984,150.22,-10.53,23696.44,23530.38,554.0900000000001,150.91999999999825,152.88000000000102,318.9399999999987,-36.76,3.240000000000002,-10.6,-19.65,PositionState,lower,23377.5,23417.5,0.0,-40.0,352.0,-40.0,81.61764705882354,0
4982,5114,1659376800000.0,22957.5,22990.0,22825.0,22950.0,5992.654,137298394.1845,2022-08-01 18:00:00,5.215e-05,41959.623,35.37,23411.5,23132.48,23271.99,23551.01,22992.97,23690.52,22853.46,-142.09,-130.68,-11.41,9.59,33.54,36.42,29.36,7560.322428571429,336.22,321.9900000000016,39.49,-1.23,23158.05,23026.81,601.0099999999984,42.970000000001164,76.81000000000131,208.04999999999927,-34.63,5.369999999999997,-23.95,-11.409999999999997,PositionState,lower,22950.0,23250.0,0.0,-300.0,2.0,-300.0,-121.16666666666667,0
5053,5185,1659632400000.0,22575.0,22647.0,22542.0,22620.0,7441.111,168141925.4525,2022-08-04 17:00:00,0.0001,41835.528,35.24,23064.97,22772.61,22918.79,23211.16,22626.42,23357.34,22480.24,-104.01,-72.09,-31.91,13.56,26.73,20.95,20.57,7694.934142857143,296.13,298.7900000000009,-28.32,-2.4,22834.33,22684.18,591.1599999999999,6.419999999998254,64.18000000000029,214.33000000000175,-34.76,5.240000000000002,-13.17,-31.92,PositionState,lower,22620.0,22869.0,0.0,-249.0,180.0,-249.0,33.72222222222222,0
5108,5240,1659830400000.0,22950.0,23042.0,22846.0,22885.5,5630.154,129147079.83,2022-08-07 00:00:00,0.0001,40483.932,32.95,23192.69,23035.66,23114.17,23271.21,22957.14,23349.73,22878.62,-20.2,12.53,-32.73,9.49,31.59,24.76,22.93,2732.122928571429,316.72,228.66999999999825,147.37,-2.27,23105.61,22971.17,385.7099999999991,71.63999999999942,85.66999999999825,220.11000000000058,-37.05,2.950000000000003,-22.1,-32.73,PositionState,lower,22885.5,23024.5,0.0,-139.0,0.0,-139.0,-76.16666666666667,0
5166,5298,1660039200000.0,23470.0,23528.0,23350.0,23356.5,12905.785,302327964.5845,2022-08-09 10:00:00,0.0001,44306.13,31.44,23902.65,23589.45,23746.05,24059.25,23432.85,24215.84,23276.25,-21.11,48.6,-69.71,16.58,37.02,18.76,25.03,4859.590071428572,574.45,389.5499999999993,106.24,-7.69,23737.38,23498.37,702.75,76.34999999999854,141.86999999999898,380.880000000001,-38.56,1.4400000000000013,-20.440000000000005,-69.71000000000001,PositionState,lower,23356.5,23090.5,0.0,266.0,590.5,0.0,308.9782608695652,0
5337,5469,1660654800000.0,23913.0,24000.5,23850.0,23890.0,6381.158,152620335.799,2022-08-16 13:00:00,0.0001,44172.38,40.37,24090.54,23966.86,24028.7,24152.38,23905.02,24214.22,23843.17,-71.62,-73.24,1.61,12.22,24.06,27.03,22.83,4547.538857142857,-540.63,138.70000000000073,-21.02,-1.38,23978.38,23925.81,262.380000000001,15.020000000000437,35.81000000000131,88.38000000000102,-29.630000000000003,10.369999999999997,-11.839999999999998,1.6199999999999903,PositionState,lower,23890.0,23964.5,0.0,-74.5,183.0,-74.5,37.125,0
5362,5494,1660744800000.0,23412.5,23465.0,23310.0,23334.0,6730.088,157381667.635,2022-08-17 14:00:00,0.0001,47923.1,31.41,24023.8,23570.98,23797.39,24250.21,23344.57,24476.62,23118.16,-119.68,-58.13,-61.55,14.39,30.98,20.89,22.65,8979.280785714285,47.93,463.3899999999994,158.34,-1.19,23742.5,23448.84,916.2099999999991,10.569999999999709,114.84000000000015,408.5,-38.59,1.4100000000000001,-16.59,-61.550000000000004,PositionState,lower,23334.0,23520.0,0.0,-186.0,69.0,-186.0,-60.025,0
5390,5522,1660845600000.0,23263.5,23354.0,23229.0,23304.5,4665.816,108637626.885,2022-08-18 18:00:00,2.591e-05,51326.135,40.2,23495.02,23348.92,23421.97,23568.07,23275.87,23641.12,23202.82,-61.48,-59.46,-2.02,11.89,20.45,16.66,18.93,4496.633642857143,108.56,117.47000000000116,0.63,-1.9,23412.61,23313.89,263.5699999999997,-28.63000000000102,9.389999999999418,108.11000000000058,-29.799999999999997,10.200000000000003,-8.559999999999999,-2.019999999999996,PositionState,lower,23304.5,21306.0,0.0,1998.5,2485.5,-98.5,1508.0,0
5440,5572,1661025600000.0,20980.5,21145.5,20780.5,20811.5,11348.024,237773122.8655,2022-08-20 20:00:00,-8.407e-05,46769.833,27.64,21322.22,21076.14,21199.18,21445.26,20953.1,21568.3,20830.06,-154.2,-162.78,8.58,9.57,29.37,42.97,51.27,6036.877857142857,332.9,387.6800000000003,14.75,-4.09,21158.27,20943.84,633.7599999999984,141.59999999999854,132.34000000000015,346.77000000000044,-42.36,-2.3599999999999994,-19.8,8.580000000000013,PositionState,lower,20811.5,21244.5,0.0,-433.0,0.0,-433.0,-282.5,0
5476,5608,1661155200000.0,21094.5,21180.0,20858.0,21175.0,21138.663,443903825.913,2022-08-22 08:00:00,-2.536e-05,45780.338,38.94,21468.17,21257.72,21362.94,21573.39,21152.5,21678.61,21047.28,-20.02,21.49,-41.52,10.97,35.2,20.27,18.95,7756.168142857142,1247.08,187.9399999999987,109.84,-7.08,21358.55,21207.17,398.3899999999994,-22.5,32.169999999998254,183.54999999999927,-31.060000000000002,8.939999999999998,-24.230000000000004,-41.51,PositionState,lower,21175.0,21387.5,0.0,-212.5,8.0,-212.5,-63.375,0
