,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction
2270,2402,1649613600000.0,43077.0,43239.0,43049.5,43075.5,1603.273,69174100.8865,2022-04-10 18:00:00,-1.954e-05,-0.000802,23924.374,65.57,42861.09,42568.01,42714.55,43007.63,42421.47,43154.17,42274.93,72.6,21.2,51.4,33.13,10.13,22.18,21.79,1875.499571428572,69.38,-360.9499999999971,198.69,13.25,42736.55,42986.22,-67.87000000000262,-654.0299999999988,-89.27999999999884,-338.9499999999971,-4.430000000000007,35.56999999999999,23.0,51.39999999999999,PositionState,upper,43075.5,42700.0,0.0,-375.5,125.0,-375.5,-64.75,0
2340,2472,1649865600000.0,41140.0,41306.0,40927.5,40995.5,5134.707,211082936.931,2022-04-13 16:00:00,-0.00012295,-6.9e-05,24677.264,64.63,40633.41,39842.39,40237.9,41028.92,39446.88,41424.44,39051.37,153.02,11.41,141.61,29.03,13.52,21.78,23.59,4931.463714285715,166.45,-757.5999999999985,363.69,2.93,40293.16,40876.02,33.419999999998254,-1548.6200000000026,-119.4800000000032,-702.3399999999965,-5.3700000000000045,34.629999999999995,15.510000000000002,141.61,PositionState,upper,40995.5,40935.5,0.0,-60.0,454.5,-60.0,205.47368421052633,0
2463,2595,1650308400000.0,40633.0,40740.0,40405.0,40664.5,3998.118,162133204.9935,2022-04-18 19:00:00,-0.00017139,-0.000328,22266.701,70.47,40240.01,39117.59,39678.8,40801.21,38556.39,41362.42,37995.18,71.56,-142.31,213.87,40.48,15.18,32.65,32.53,5122.476285714286,-157.64,-985.6999999999971,542.68,6.88,39681.94,40432.69,136.70999999999913,-2108.1100000000006,-231.80999999999767,-982.5599999999977,0.46999999999999886,40.47,25.299999999999997,213.87,PositionState,upper,40664.5,41245.5,0.0,581.0,1417.0,-77.0,501.6666666666667,0
2527,2659,1650538800000.0,42223.0,42679.0,42215.0,42422.0,6013.426,255270167.1685,2022-04-21 11:00:00,0.0001,-0.000345,24535.757,69.52,42029.15,41376.68,41702.91,42355.38,41050.44,42681.62,40724.21,195.23,117.59,77.64,34.81,11.71,21.89,24.16,2972.3007857142866,262.84,-719.0899999999965,393.35,10.68,41814.72,42212.74,-66.62000000000262,-1371.5599999999977,-209.26000000000204,-607.2799999999988,-0.480000000000004,39.519999999999996,23.1,77.63999999999999,PositionState,upper,42422.0,41814.5,0.0,-607.5,216.0,-607.5,-70.25,0
2632,2764,1650916800000.0,40211.0,40299.0,40036.0,40166.5,2391.749,96052255.5735,2022-04-25 20:00:00,7.912e-05,-0.000351,24139.353,67.57,39832.34,38790.59,39311.47,40353.22,38269.72,40874.09,37748.84,144.67,-48.65,193.33,25.13,13.03,29.8,31.09,7205.2194285714295,-293.18,-855.0299999999988,515.62,-3.13,39400.16,40028.94,186.72000000000116,-1896.7799999999988,-137.55999999999767,-766.3399999999965,-2.430000000000007,37.56999999999999,12.1,193.32,PositionState,upper,40166.5,39796.5,0.0,-370.0,403.5,-370.0,229.66666666666666,0
2701,2833,1651165200000.0,39884.5,40277.0,39850.0,40249.5,7274.75,291332326.0745,2022-04-28 17:00:00,-0.0001296,-0.000759,24982.531,66.59,39754.46,39192.58,39473.52,40035.39,38911.64,40316.33,38630.7,183.68,137.13,46.54,25.42,14.11,22.51,20.82,6786.610214285714,376.08,-775.9800000000032,335.66,-2.18,39620.16,39938.1,-214.11000000000058,-1337.8600000000006,-311.40000000000146,-629.3399999999965,-3.4099999999999966,36.59,11.310000000000002,46.55000000000001,PositionState,upper,40249.5,39509.5,0.0,-740.0,0.0,-740.0,-383.15,0
2837,2969,1651654800000.0,38950.0,39084.0,38780.0,38860.5,5382.195,209417344.8635,2022-05-04 09:00:00,0.0001,-0.000653,28950.465,69.01,38633.58,37907.81,38270.69,38996.46,37544.92,39359.35,37182.03,86.98,-49.07,136.05,34.28,13.13,24.65,24.24,3382.971071428572,88.38,-589.8099999999977,338.76,4.29,38300.66,38774.56,135.95999999999913,-1315.5800000000017,-85.94000000000233,-559.8399999999965,-0.9899999999999949,39.010000000000005,21.15,136.05,PositionState,upper,38860.5,39005.5,0.0,145.0,979.5,-168.5,534.3448275862069,0
3048,3180,1652414400000.0,30547.0,30590.0,30238.0,30446.5,3664.099,111441492.9815,2022-05-13 04:00:00,-0.00049125,-0.000524,23401.575,61.47,30013.72,28559.76,29286.74,30740.7,27832.78,31467.68,27105.8,248.14,-18.01,266.15,26.35,14.38,18.21,22.21,7555.001071428572,-1002.11,-1159.7599999999984,520.4,3.1,29439.11,30290.57,294.2000000000007,-2613.720000000001,-155.9300000000003,-1007.3899999999994,-8.530000000000001,31.47,11.97,266.15,PositionState,upper,30446.5,29916.0,0.0,-530.5,284.5,-530.5,-9.461538461538462,0
3091,3223,1652569200000.0,30221.5,30298.0,29882.0,30071.0,4309.301,129643264.681,2022-05-14 23:00:00,3.175e-05,-0.000344,23453.201,59.56,29884.39,29187.28,29535.84,30232.94,28838.73,30581.5,28490.17,50.58,-70.97,121.55,23.46,14.85,21.44,22.02,5325.788214285713,128.73,-535.1599999999999,345.31,4.28,29543.33,29971.79,161.9399999999987,-1232.2700000000004,-99.20999999999913,-527.6699999999983,-10.439999999999998,29.560000000000002,8.610000000000001,121.55,PositionState,upper,30071.0,29598.5,0.0,-472.5,0.0,-472.5,-221.75,0
3113,3245,1652648400000.0,31049.5,31222.0,30833.5,31061.5,4094.719,126995972.948,2022-05-15 21:00:00,5.566e-05,-0.000149,24484.43,69.19,30584.01,29783.59,30183.8,30984.22,29383.38,31384.44,28983.16,277.72,177.13,100.58,28.99,11.14,19.99,17.99,5018.123999999999,77.37,-877.7000000000007,572.2,7.54,30349.5,30869.88,-77.27999999999884,-1678.119999999999,-191.61999999999898,-712.0,-0.8100000000000023,39.19,17.849999999999998,100.59000000000003,PositionState,upper,31061.5,30313.0,0.0,-748.5,254.0,-748.5,-188.21428571428572,0
