start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_volume
2020-08-29 07:00:00,11518.0,11575.0,11506.0,11559.0,272.963,3155179.317,2020-08-29 07:00:00,0.0001,0.000351,4996.01599999,64.91,11515.75,11457.38,11486.56,11544.93,11428.2,11574.11,11399.02,30.24,29.03,1.2,31.96,9.1,32.02,27.51,94.60007142857144,11.78,-72.44000000000051,17.32,8.25,11507.27,11528.72,-14.069999999999709,-130.79999999999927,-30.280000000000655,-51.72999999999956,-5.090000000000003,34.91,22.86,1.2099999999999973,116.72999999999956,EntryPreparationState,upper,11537.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.372
2020-08-29 08:00:00,11559.0,11564.5,11532.0,11537.0,143.972,1661004.964,2020-08-29 08:00:00,0.0001,0.000266,4942.682,60.32,11519.62,11463.11,11491.37,11547.88,11434.86,11576.13,11406.6,30.58,29.34,1.23,30.15,8.59,33.71,28.65,99.85085714285715,5.25,-45.6299999999992,12.09,4.8,11508.94,11532.03,10.8799999999992,-102.13999999999942,-4.969999999999345,-28.05999999999949,-9.68,30.32,21.56,1.2399999999999984,113.01999999999862,PositionState,upper,11537.0,11460.0,0.0,-77.0,3.5,-77.0,-24.5,0,-26.780000000000655,105.372
2020-08-29 19:00:00,11529.0,11543.0,11520.0,11520.5,59.089,680734.8245,2020-08-29 19:00:00,0.0001,-8.9e-05,5049.27,56.29,11525.37,11466.11,11495.74,11555.01,11436.48,11584.64,11406.85,13.77,14.14,-0.36,26.05,15.14,24.14,27.17,140.70835714285712,-3.38,-24.76000000000022,4.18,0.5,11491.22,11515.74,34.51000000000022,-84.02000000000044,-4.760000000000218,-29.280000000000655,-13.71,26.29,10.91,-0.370000000000001,118.53000000000065,None,None,11625.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.706
2020-08-29 20:00:00,11520.5,11527.0,11501.5,11514.0,129.058,1485973.812,2020-08-29 20:00:00,0.0001,0.000275,5028.786,54.91,11527.19,11467.77,11497.48,11556.9,11438.06,11586.61,11408.35,13.63,14.03,-0.4,24.81,17.89,23.57,27.8,140.70371428571428,0.0,-16.520000000000437,2.8,-4.37,11497.66,11515.04,42.899999999999636,-75.94000000000051,1.0400000000008731,-16.340000000000146,-15.090000000000003,24.909999999999997,6.919999999999998,-0.3999999999999986,118.84000000000015,None,None,11625.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.706
2020-08-29 21:00:00,11514.0,11521.0,11499.5,11510.0,60.626,697805.26,2020-08-29 21:00:00,0.0001,0.00043,5109.55199999,54.03,11527.84,11469.51,11498.67,11557.0,11440.34,11586.17,11411.18,13.05,13.84,-0.78,23.77,17.53,22.97,28.34,125.5367857142857,-15.16,-11.329999999999927,-0.29,-1.92,11502.61,11513.02,47.0,-69.65999999999985,3.0200000000004366,-7.389999999999418,-15.969999999999999,24.03,6.239999999999998,-0.7899999999999991,116.65999999999985,None,None,11625.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.706
2020-08-29 22:00:00,11510.0,11514.0,11490.5,11491.0,48.078,552464.298,2020-08-29 22:00:00,0.0001,0.000791,5095.31,49.94,11526.97,11468.92,11497.94,11555.99,11439.89,11585.01,11410.87,10.93,13.26,-2.32,22.66,18.5,22.05,28.45,118.68721428571428,-6.84,6.940000000000509,-0.45,-3.11,11508.0,11504.21,64.98999999999978,-51.11000000000058,13.209999999999127,17.0,-20.060000000000002,19.939999999999998,4.16,-2.33,116.10000000000036,None,None,11625.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.706
2020-08-29 23:00:00,11491.0,11505.5,11463.5,11472.0,118.376,1358009.472,2020-08-29 23:00:00,0.0001,0.000345,5101.278,46.17,11525.28,11465.66,11495.47,11555.09,11435.85,11584.9,11406.04,7.63,12.13,-4.5,20.79,22.28,20.72,26.67,119.61607142857142,0.92,23.469999999999345,2.12,-6.76,11506.0,11491.33,83.09000000000015,-36.149999999999636,19.329999999999927,34.0,-23.83,16.17,-1.490000000000002,-4.500000000000001,119.23999999999978,None,None,11625.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.706
2020-08-30 00:00:00,11472.0,11514.0,11467.0,11507.5,77.07,886883.025,2020-08-30 00:00:00,0.0001,0.000169,5119.654,53.26,11526.45,11466.78,11496.62,11556.28,11436.95,11586.12,11407.11,7.79,11.26,-3.47,20.54,20.26,19.29,24.8,105.70685714285716,-13.9,-10.8799999999992,-0.8,-0.1,11507.55,11497.79,48.780000000000655,-70.54999999999927,-9.709999999999127,0.049999999999272404,-16.740000000000002,23.259999999999998,0.2799999999999976,-3.4699999999999998,119.32999999999993,None,None,11625.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.706
2020-08-30 01:00:00,11507.5,11630.0,11507.0,11617.0,653.427,7590861.459,2020-08-30 01:00:00,0.0001,-0.000334,5108.406,67.49,11547.06,11469.1,11508.08,11586.03,11430.13,11625.01,11391.15,16.56,12.32,4.23,35.53,16.15,20.59,24.49,128.74457142857142,23.03,-108.92000000000007,37.76,18.85,11519.55,11545.47,-30.969999999999345,-186.8700000000008,-71.53000000000065,-97.45000000000073,-2.510000000000005,37.489999999999995,19.380000000000003,4.239999999999998,155.90000000000146,EntryPreparationState,upper,11625.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.706
2020-08-30 02:00:00,11617.0,11627.0,11607.0,11625.0,118.031,1372110.375,2020-08-30 02:00:00,0.0001,-0.000196,4947.624,68.25,11565.87,11472.56,11519.21,11612.53,11425.9,11659.19,11379.24,23.88,14.63,9.24,34.31,15.59,21.8,24.1,128.6687142857143,-0.07,-105.79000000000087,60.47,14.33,11531.77,11577.28,-12.469999999999345,-199.10000000000036,-47.719999999999345,-93.22999999999956,-1.75,38.25,18.720000000000002,9.249999999999998,186.63000000000102,PositionState,upper,11625.0,11628.0,0.0,3.0,85.0,-60.0,9.366666666666667,0,80.06999999999971,105.706
