start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason
2024-02-13 12:00:00,2683.35,2688.66,2590.24,2634.03,445215.51,1173918409.1969,2024-02-13 12:00:00,66.23,2630.43,2496.97,2563.7,2697.16,2430.25,2763.89,2363.52,10.41,54.21,44.12,10.09,34.77,14.92,52.24,51.43,129914.77214285715,26137.61,-70.33000000000038,37.32,-12.32,2603.11,2644.37,63.129999999999654,-203.7800000000002,10.33999999999969,-30.920000000000073,-3.769999999999996,36.230000000000004,19.85,10.090000000000003,266.90999999999985,23.219000000000687,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,85.96567520883055,-27.11873403371128,None
2024-02-13 16:00:00,2634.03,2643.42,2593.42,2613.06,178403.11,467335372.1442,2024-02-13 16:00:00,61.75,2634.58,2502.23,2568.4,2700.75,2436.06,2766.92,2369.88,10.3,51.44,45.59,5.85,31.91,13.69,51.36,51.0,137823.34285714285,7908.57,-44.659999999999854,8.86,-8.43,2615.58,2631.84,87.69000000000005,-177.0,18.7800000000002,2.519999999999982,-8.25,31.75,18.22,5.849999999999994,264.69000000000005,-0.896499999999651,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,33.98499369965994,-23.46491955097081,None
2024-02-13 20:00:00,2613.06,2651.87,2612.35,2641.42,111317.37,293096870.7495,2024-02-13 20:00:00,65.18,2642.12,2508.59,2575.36,2708.89,2441.82,2775.66,2375.05,10.37,50.95,46.66,4.28,31.22,12.79,50.68,50.36,141516.88142857142,3693.53,-66.05999999999995,5.96,-2.65,2632.72,2635.67,67.4699999999998,-199.5999999999999,-5.75,-8.700000000000273,-4.819999999999993,35.18000000000001,18.43,4.290000000000006,267.0699999999997,31.71750000000038,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,43.69402903901637,-1.7143823942822567,None
2024-02-14 00:00:00,2641.42,2646.55,2618.94,2639.46,56664.69,149193386.9023,2024-02-14 00:00:00,64.75,2648.28,2514.65,2581.46,2715.09,2447.83,2781.9,2381.02,10.35,49.82,47.29,2.52,29.75,12.19,50.05,49.65,141400.5242857143,-116.35,-58.0,8.33,-1.55,2641.75,2637.19,75.63000000000011,-191.6300000000001,-2.269999999999982,2.2899999999999636,-5.25,34.75,17.560000000000002,2.530000000000001,267.2600000000002,29.463500000000476,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,37.58135826914959,5.85751617215119,None
2024-02-14 04:00:00,2639.46,2656.92,2622.21,2653.96,61851.0,163472190.2311,2024-02-14 04:00:00,66.51,2655.36,2521.37,2588.37,2722.35,2454.38,2789.34,2387.39,10.35,49.53,47.74,1.78,29.76,11.47,49.64,49.26,143362.45928571429,1961.93,-65.59000000000015,6.9,-0.74,2646.53,2643.89,68.38999999999987,-199.57999999999993,-10.070000000000164,-7.429999999999836,-3.489999999999995,36.510000000000005,18.29,1.7899999999999991,267.9699999999998,46.13850000000021,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,49.496470277330175,9.614740498742503,None
2024-02-14 08:00:00,2653.96,2763.93,2649.15,2758.51,307190.09,837521478.6773,2024-02-14 08:00:00,75.9,2681.01,2528.13,2604.57,2757.45,2451.69,2833.89,2375.25,11.73,57.07,49.61,7.46,40.89,9.45,50.56,49.08,160735.58357142858,17373.12,-153.94000000000005,45.04,13.16,2657.44,2689.74,-1.0600000000004002,-306.82000000000016,-68.77000000000044,-101.07000000000016,5.900000000000006,45.900000000000006,31.44,7.460000000000001,305.75999999999976,166.37100000000072,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,172.45077461633053,40.56875375818227,None
2024-02-14 12:00:00,2758.51,2774.95,2732.01,2751.86,170310.0,469081187.4823,2024-02-14 12:00:00,74.47,2701.16,2536.04,2618.6,2783.72,2453.48,2866.28,2370.92,12.61,61.81,52.05,9.75,39.89,8.83,51.5,48.69,168479.39142857143,7743.8,-133.26000000000022,59.57,10.75,2669.55,2714.58,31.859999999999673,-298.3800000000001,-37.2800000000002,-82.30999999999995,4.469999999999999,44.47,31.060000000000002,9.760000000000005,330.2399999999998,158.72350000000068,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,185.11273549676952,135.77474999712803,None
2024-02-14 16:00:00,2751.86,2768.62,2728.01,2763.92,106520.38,292632349.1221,2024-02-14 16:00:00,75.37,2720.4,2544.47,2632.44,2808.37,2456.5,2896.33,2368.54,13.36,65.77,54.79,10.97,37.37,8.89,52.22,49.11,171197.0814285714,2717.68,-131.48000000000002,47.9,-3.58,2682.17,2734.32,44.44999999999982,-307.4200000000001,-29.59999999999991,-81.75,5.3700000000000045,45.370000000000005,28.479999999999997,10.979999999999997,351.8699999999999,172.59250000000037,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,177.8395764792396,131.17875693707782,None
2024-02-14 20:00:00,2763.92,2789.73,2757.21,2776.71,95038.16,263463596.5509,2024-02-14 20:00:00,76.33,2737.44,2554.91,2646.18,2828.7,2463.65,2919.96,2372.39,13.79,69.15,57.66,11.48,38.79,8.43,53.08,50.16,165620.58357142858,-5576.49,-130.5300000000002,37.82,-0.64,2692.54,2751.27,51.98999999999978,-313.05999999999995,-25.440000000000055,-84.17000000000007,6.329999999999998,46.33,30.36,11.490000000000009,365.0499999999997,187.30100000000056,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,202.0949298536563,164.72950627544577,None
2024-02-15 00:00:00,2776.71,2829.0,2773.02,2803.46,191732.4,536617415.8753,2024-02-15 00:00:00,78.24,2755.72,2566.59,2661.16,2850.28,2472.03,2944.84,2377.47,14.21,73.14,60.76,12.38,41.53,7.7,54.19,51.44,157546.54785714284,-8074.03,-142.30000000000018,33.53,4.89,2711.37,2772.15,46.820000000000164,-331.42999999999984,-31.309999999999945,-92.09000000000015,8.239999999999995,48.239999999999995,33.83,12.380000000000003,378.25,218.06350000000037,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,247.21609172070174,182.89516884529547,None
