,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,current_profit,exit_price,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1864,1700679600.0,37209.6,37456.6,37127.7,37299.9,9408.936,350964978.3804,2023-11-22 19:00:00,0.0001,8.297e-05,54433.369,64.49,36979.03,36412.5,36695.77,37262.3,36129.23,37545.56,35845.97,27.9,-77.66,105.57,27.88,15.31,23.81,26.88,6267.677785714286,511.8,-604.1300000000047,200.13,15.02,36682.46,37002.4,-37.599999999998545,-1170.6699999999983,-297.5,-617.4400000000023,-5.510000000000005,34.489999999999995,12.569999999999999,105.56,1133.0699999999997,upper,PositionState,37299.9,,37249.4,-50.5,362.09999999999854,-50.5,119.31111111110901,337.11999999999534
1905,1700827200.0,37760.5,38004.8,37703.5,37735.3,9461.329,358180388.9157,2023-11-24 12:00:00,0.0001,0.000491,56876.049,65.26,37620.49,37297.18,37458.83,37782.14,37135.52,37943.79,36973.87,119.52,83.59,35.93,33.17,6.94,26.53,20.44,5450.534142857143,536.5,-276.47000000000116,49.63,-0.83,37543.91,37678.73,46.83999999999651,-599.7800000000061,-56.56999999999971,-191.38999999999942,-4.739999999999995,35.260000000000005,26.23,35.92999999999999,646.6200000000026,upper,PositionState,37735.3,,37752.1,16.799999999995634,500.1999999999971,-48.400000000001455,72.290476190473,98.94999999999709
2006,1701190800.0,37893.3,38274.6,37792.4,38235.2,20173.932,768577078.2849,2023-11-28 17:00:00,0.0001,0.00064739,61268.689,75.88,37667.01,37052.14,37359.57,37974.44,36744.71,38281.87,36437.28,162.55,44.46,118.09,37.93,9.2,27.07,28.21,6159.509428571429,1342.57,-875.6299999999974,525.76,14.94,37458.53,37851.13,-260.75999999999476,-1490.489999999998,-384.0699999999997,-776.6699999999983,5.8799999999999955,45.879999999999995,28.73,118.09,1229.7300000000032,upper,PositionState,38235.2,,37824.7,-410.5,114.90000000000146,-415.1999999999971,-196.23809523809246,158.04000000000087
2063,1701396000.0,37945.1,38093.5,37864.0,37991.4,4355.983,165438984.7579,2023-12-01 02:00:00,0.0001,3.554e-05,60014.095,60.5,37884.47,37691.75,37788.11,37980.83,37595.39,38077.19,37499.03,5.71,-21.99,27.71,23.8,16.02,16.19,14.36,3905.6002142857146,66.71,-203.29000000000087,76.24,11.24,37778.56,37877.37,-10.569999999999709,-396.01000000000204,-114.02999999999884,-212.84000000000378,-9.5,30.5,7.780000000000001,27.7,385.4400000000023,upper,PositionState,37991.4,,41542.1,3550.699999999997,4072.7999999999956,56.69999999999709,1838.7198019801965,3831.8499999999985
2172,1701788400.0,42206.0,42573.1,42107.6,42284.8,14644.856,619699900.8095,2023-12-05 15:00:00,0.0001,0.00022536,63176.976,65.79,41990.65,41626.47,41808.56,42172.74,41444.38,42354.83,41262.29,191.9,192.67,-0.77,33.41,11.45,36.71,43.17,5520.783285714287,664.17,-476.24000000000524,183.11,6.11,41833.73,42093.71,-112.06000000000495,-840.4200000000055,-191.09000000000378,-451.0699999999997,-4.209999999999994,35.790000000000006,21.959999999999997,-0.7699999999999818,728.3600000000006,upper,PositionState,42284.8,,43768.3,1483.5,2032.5,451.8999999999942,1574.7724137931007,1803.4000000000015
2242,1702040400.0,43785.9,43808.1,43500.0,43603.9,8357.007,364694984.9182,2023-12-08 13:00:00,0.00044041,0.00074461,63998.383,53.57,43640.54,43308.94,43474.74,43806.34,43143.13,43972.14,42977.33,5.69,-40.86,46.55,20.87,18.42,19.85,22.58,3973.0480714285723,392.8,-129.1600000000035,72.79,-2.72,43442.47,43598.61,202.43999999999505,-460.7700000000041,-5.290000000000873,-161.4300000000003,-16.43,23.57,2.4499999999999993,46.55,663.2099999999991,upper,PositionState,43603.9,,43874.5,270.59999999999854,968.5999999999985,155.1999999999971,522.2157894736825,499.83000000000175
2365,1702483200.0,41974.9,42273.6,41753.3,41902.3,14790.106,621768319.7295,2023-12-13 16:00:00,0.00016232,0.00071273,60238.06,60.77,41680.33,41088.85,41384.59,41976.07,40793.11,42271.81,40497.38,49.15,-68.13,117.29,28.06,16.76,28.35,31.48,5846.185285714287,249.95,-517.7100000000064,357.27,13.25,41424.54,41725.74,73.7699999999968,-1109.1900000000023,-176.56000000000495,-477.76000000000204,-9.229999999999997,30.770000000000003,11.299999999999997,117.28,1182.9599999999991,upper,PositionState,41902.3,,42590.2,687.8999999999942,1395.699999999997,259.59999999999854,922.799999999997,1168.5900000000038
2391,1702576800.0,43245.3,43251.6,42828.0,42882.3,7866.825,338833987.1261,2023-12-14 18:00:00,0.00011106,0.00050467,58660.262,54.55,42943.67,42538.65,42741.16,43146.19,42336.14,43348.7,42133.63,187.38,239.79,-52.41,25.68,26.49,34.27,36.33,10297.376285714286,390.0,-141.13999999999942,75.2,9.52,42877.14,42884.25,263.8899999999994,-546.1600000000035,1.9499999999970896,-5.1600000000034925,-15.450000000000003,24.549999999999997,-0.8099999999999987,-52.41,810.0500000000029,upper,PositionState,42882.3,,42827.5,-54.80000000000291,242.89999999999418,-54.80000000000291,107.16666666666343,23.459999999999127
2471,1703250000.0,43596.0,43847.4,43563.4,43724.6,4783.917,209082543.6603,2023-12-22 13:00:00,0.00030643,0.00060422,55915.347,48.15,43073.58,41761.6,42417.59,43729.56,41105.62,44385.55,40449.63,257.44,49.23,208.2,38.47,22.55,27.27,27.71,4968.910000000002,232.94,-1307.010000000002,763.16,-2.82,42523.9,43270.38,4.959999999999127,-2618.979999999996,-454.22000000000116,-1200.699999999997,-21.85,18.15,15.919999999999998,208.21,2623.939999999995,upper,PositionState,43724.6,,43535.0,-189.59999999999854,285.40000000000146,-207.0,-1.3999999999987267,446.51000000000204
2589,1703674800.0,43244.8,43285.0,42939.0,43072.7,5778.428,249120737.0331,2023-12-27 11:00:00,0.00042225,0.00097235,58684.776,60.84,42950.5,42366.14,42658.32,43242.69,42073.95,43534.87,41781.77,29.44,-90.13,119.58,27.78,17.31,35.31,42.17,3239.268357142858,274.09,-414.3799999999974,343.63,9.56,42659.6,42965.18,169.99000000000524,-998.75,-107.5199999999968,-413.09999999999854,-9.159999999999997,30.840000000000003,10.470000000000002,119.57,1168.7400000000052,upper,PositionState,43072.7,,43071.3,-1.3999999999941792,540.1000000000058,-127.69999999999709,178.6789473684242,273.4800000000032
