,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
30,345,477,1642683600000.0,42041.0,42450.0,41965.0,42360.0,4960.974,209827873.1435,2022-01-20 13:00:00,0.0001,20564.82,60.74,42170.38,41843.12,42006.75,42334.01,41679.49,42497.64,41515.86,66.96,27.99,38.97,27.73,16.83,12.0,12.92,1523.8697142857145,277.66,-353.25,99.88,7.41,42064.27,42212.37,-25.989999999997963,-680.510000000002,-147.62999999999738,-295.7300000000032,-9.259999999999998,30.74,10.900000000000002,38.97,EnterPreparationState,upper,42940.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8235.851
31,346,478,1642687200000.0,42360.0,43030.0,42359.5,42940.0,8692.827,371023311.1895,2022-01-20 14:00:00,0.0001,20994.677,70.58,42367.6,41823.66,42095.63,42639.57,41551.69,42911.53,41279.73,132.49,48.89,83.6,37.56,14.01,14.4,13.7,2046.3523571428573,522.48,-844.3700000000026,514.62,18.68,42181.33,42576.18,-300.4300000000003,-1388.3099999999977,-363.8199999999997,-758.6699999999983,0.5799999999999983,40.58,23.550000000000004,83.60000000000001,PositionState,upper,42940.0,41322.5,0.0,-1617.5,313.5,-1617.5,-161.0,0,8235.851
32,421,553,1642957200000.0,35212.5,35413.5,35198.0,35318.5,1186.819,41922344.169,2022-01-23 17:00:00,6.928e-05,17397.733,45.72,35796.97,35146.66,35471.82,36122.13,34821.51,36447.28,34496.35,-93.99,-123.72,29.73,17.36,22.33,26.64,40.78,3184.9357142857148,-48.78,153.3199999999997,-24.0,0.78,35586.0,35320.51,803.6299999999974,-496.989999999998,2.0100000000020373,267.5,-24.28,15.72,-4.969999999999999,29.730000000000004,,,35824.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2401.586
33,422,554,1642960800000.0,35318.5,35375.0,34873.0,34947.0,3296.897,115722157.1805,2022-01-23 18:00:00,6.928e-05,17404.317,40.49,35740.38,35103.28,35421.83,36058.93,34784.73,36377.48,34466.18,-127.34,-124.44,-2.89,16.06,25.51,26.36,39.31,3291.5525000000007,106.61,474.83000000000175,-41.81,-5.05,35484.66,35133.75,1111.9300000000003,-162.2699999999968,186.75,537.6600000000035,-29.51,10.490000000000002,-9.450000000000005,-2.9000000000000057,,,35824.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2401.586
34,423,555,1642964400000.0,34947.0,35175.0,34601.0,34779.5,4184.989,145892807.147,2022-01-23 19:00:00,6.928e-05,17263.49199999,38.36,35699.78,35021.53,35360.66,36038.91,34682.41,36378.03,34343.28,-165.39,-132.63,-32.75,14.7,27.35,26.62,38.2,3349.4137142857144,57.86,581.1600000000035,19.1,-4.5,35362.05,34956.62,1259.4100000000035,-97.08999999999652,177.12000000000262,582.5500000000029,-31.64,8.36,-12.650000000000002,-32.75999999999999,,,35824.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2401.586
35,424,556,1642968000000.0,34779.5,35350.0,34708.0,35264.5,3349.743,117601536.333,2022-01-23 20:00:00,6.928e-05,17075.96,47.05,35691.77,35011.22,35351.5,36032.05,34670.95,36372.33,34330.67,-154.62,-137.03,-17.58,15.86,24.83,26.3,36.59,3422.518428571429,73.1,87.0,-15.41,2.32,35316.22,35110.56,767.5500000000029,-593.5500000000029,-153.94000000000233,51.72000000000117,-22.950000000000003,17.049999999999997,-8.969999999999999,-17.590000000000003,,,35824.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2401.586
36,425,557,1642971600000.0,35264.5,35541.0,35090.0,35331.5,2377.201,83979979.88799998,2022-01-23 21:00:00,6.928e-05,16831.664,48.14,35689.26,35009.93,35349.59,36028.93,34670.26,36368.6,34330.59,-139.08,-137.44,-1.63,17.59,23.21,25.4,34.47,3342.9348571428573,-79.58,18.089999999996508,-9.29,4.5,35265.55,35221.03,697.4300000000003,-661.239999999998,-110.47000000000116,-65.94999999999709,-21.86,18.14,-5.620000000000001,-1.6400000000000148,,,35824.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2401.586
37,426,558,1642975200000.0,35331.5,35513.0,35264.0,35485.5,1140.853,40359105.515,2022-01-23 22:00:00,6.928e-05,16819.201,50.64,35680.59,35044.48,35362.54,35998.65,34726.43,36316.7,34408.37,-113.03,-132.56,19.52,16.93,22.34,24.57,32.65,2997.937714285715,-344.99,-122.95999999999913,-89.56,1.94,35214.61,35353.26,513.1500000000015,-759.0699999999997,-132.23999999999796,-270.8899999999994,-19.36,20.64,-5.41,19.53,,,35824.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2401.586
38,427,559,1642978800000.0,35485.5,36613.0,35339.5,36234.5,8917.692,322109213.8745,2022-01-23 23:00:00,6.928e-05,16949.291,60.62,35797.67,35093.49,35445.58,36149.76,34741.4,36501.85,34389.32,-31.59,-112.36,80.77,28.77,18.53,24.36,31.16,3347.0330714285715,349.09,-788.9199999999983,105.86,14.98,35317.38,35793.88,-84.73999999999796,-1493.0999999999983,-440.6200000000026,-917.1200000000026,-9.380000000000004,30.62,10.239999999999998,80.77,EnterPreparationState,upper,35824.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2401.586
39,428,560,1642982400000.0,36234.5,36235.0,35740.0,35824.0,3111.965,111783055.971,2022-01-24 00:00:00,6.391e-05,17402.20599999,54.16,35835.42,35127.82,35481.62,36189.23,34774.01,36543.03,34420.21,-0.16,-89.92,89.76,26.85,17.3,24.17,29.71,3342.8560000000007,-4.17,-342.3799999999974,157.97,11.15,35377.5,35808.94,365.2300000000032,-1049.989999999998,-15.059999999997672,-446.5,-15.840000000000003,24.16,9.55,89.76,PositionState,upper,35824.0,35180.0,0.0,-644.0,0.0,-644.0,-276.3333333333333,0,2401.586
