,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
31,134,266,1672979400000.0,16800.5,16817.5,16798.5,16817.0,420.647,7070636.6,2023-01-06 04:30:00,-3.394e-05,-0.00027,71504.444,47.04,16839.11,16812.63,16825.87,16852.34,16799.4,16865.58,16786.16,-2.17,0.85,-3.03,14.74,30.35,16.76,13.43,597.5742142857143,-15.27,-0.93,3.41,-0.88,16826.16,16815.19,PositionState,lower,16817.0,16768.5,0.0,48.5,137.0,0.0,46.1578947368421,78.66999999999825
32,390,522,1673440200000.0,17399.5,17416.0,17396.0,17408.0,1020.538,17766443.6575,2023-01-11 12:30:00,-0.00016625,-0.000541,73016.397,48.95,17434.43,17402.21,17418.32,17450.54,17386.09,17466.66,17369.98,8.5,14.15,-5.64,19.92,23.22,17.27,22.27,873.6292142857144,-4.54,-1.09,-11.42,-1.93,17427.55,17411.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,391,523,1673442000000.0,17408.0,17424.0,17407.5,17416.0,920.286,16027099.6695,2023-01-11 13:00:00,-0.00016625,-0.000568,73242.937,51.16,17433.77,17402.42,17418.1,17449.45,17386.74,17465.13,17371.07,7.45,12.81,-5.35,21.11,22.26,16.22,21.28,868.7430714285714,-4.88,-0.22,-7.7,1.12,17425.11,17413.63,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,392,524,1673443800000.0,17416.0,17416.5,17376.0,17409.0,2191.478,38115077.4195,2023-01-11 13:30:00,-0.00016625,-0.000229,73307.138,49.15,17432.91,17401.55,17417.23,17448.58,17385.88,17464.26,17370.2,5.98,11.44,-5.46,19.01,27.76,16.4,21.18,958.359,89.61,-0.86,-1.09,-6.41,17421.44,17411.31,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,393,525,1673445600000.0,17409.0,17409.5,17371.0,17391.5,1692.516,29423119.235,2023-01-11 14:00:00,-0.00016625,-0.000385,73100.873,44.46,17430.98,17398.58,17414.78,17447.18,17382.38,17463.37,17366.19,3.36,9.82,-6.46,17.26,26.4,16.72,21.24,1037.258,78.89,-2.45,1.22,-2.48,17416.61,17401.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,394,526,1673447400000.0,17391.5,17431.0,17372.0,17404.0,2154.722,37500528.0935,2023-01-11 14:30:00,-0.00016625,-0.000418,73009.156,48.26,17429.81,17397.69,17413.75,17445.88,17381.63,17461.94,17365.56,2.27,8.31,-6.04,19.79,22.91,16.05,20.18,1122.8700714285717,85.61,-1.02,-1.95,4.26,17412.72,17402.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,395,527,1673449200000.0,17404.0,17429.5,17388.0,17388.0,954.148,16610391.2345,2023-01-11 15:00:00,-0.00016625,-0.000414,72695.352,44.1,17428.57,17394.02,17411.3,17445.85,17376.75,17463.12,17359.48,0.12,6.67,-6.55,17.99,20.83,15.42,19.2,1117.3638571428571,-5.5,-2.45,3.54,2.8,17408.33,17395.35,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,396,528,1673451000000.0,17388.0,17391.0,17309.5,17328.5,6181.057,107188517.408,2023-01-11 15:30:00,-0.00016625,-0.000293,72747.34699999,32.79,17429.31,17377.51,17403.41,17455.21,17351.62,17481.11,17325.72,-6.31,4.08,-10.39,15.09,33.0,16.98,19.73,1520.1130714285714,402.74,-7.88,34.45,-16.87,17396.83,17361.92,EnterPreparationState,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,397,529,1673452800000.0,17328.5,17353.0,17316.5,17353.0,2052.166,35572740.903,2023-01-11 16:00:00,1.701e-05,-0.00045,71019.769,39.65,17427.93,17369.29,17398.61,17457.25,17339.97,17486.57,17310.66,-9.33,1.39,-10.73,14.0,30.62,18.43,20.15,1558.1466428571428,38.03,-4.79,23.04,-1.6,17388.61,17357.46,PositionState,lower,17353.0,17475.5,0.0,-122.5,13.0,-122.5,-30.3,-63.88000000000102
40,727,859,1674046800000.0,21251.5,21295.0,21241.0,21250.0,1906.57,40549422.194,2023-01-18 13:00:00,0.0001,-0.000301,54849.431,52.03,21269.06,21198.94,21234.0,21304.11,21163.89,21339.17,21128.83,-5.01,-4.31,-0.7,16.9,20.48,18.24,15.56,1820.1031428571423,88.82,1.68,-14.18,4.68,21217.66,21239.84,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,728,860,1674048600000.0,21250.0,21493.5,21165.0,21398.5,21466.82,458116706.024,2023-01-18 13:30:00,0.0001,-0.000172,54676.486,65.75,21298.22,21201.11,21249.67,21346.78,21152.55,21395.34,21103.99,8.8,-1.68,10.49,27.6,15.44,18.96,15.82,3284.6994285714286,1464.59,15.66,48.43,15.39,21235.05,21319.17,EnterPreparationState,upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,729,861,1674050400000.0,21398.5,21673.0,21323.5,21395.0,18967.895,407767820.5535,2023-01-18 14:00:00,0.0001,0.0,53781.48,65.27,21320.95,21206.06,21263.51,21378.39,21148.62,21435.84,21091.18,19.25,2.49,16.75,32.82,12.05,20.91,16.85,4590.975285714286,1306.27,13.84,78.2,19.31,21254.72,21357.08,PositionState,upper,21395.0,21025.0,0.0,-370.0,23.0,-370.0,-82.375,-144.57000000000335
43,730,862,1674052200000.0,21395.0,21460.0,21305.0,21418.0,7717.773,165022545.8405,2023-01-18 14:30:00,0.0001,-0.000146,53195.885,66.96,21345.52,21210.92,21278.22,21412.82,21143.62,21480.12,21076.33,29.05,7.81,21.24,29.7,12.04,22.44,17.18,5077.408857142857,486.43,14.71,71.04,2.1,21276.11,21387.54,PositionState,upper,21395.0,21025.0,23.0,0.0,0.0,0.0,0.0,0.0
44,731,863,1674054000000.0,21418.0,21560.0,21388.5,21412.5,7782.514,167004099.265,2023-01-18 15:00:00,0.0001,-0.000825,53984.553,66.13,21365.58,21216.43,21291.01,21440.16,21141.86,21514.74,21067.28,35.96,13.44,22.52,32.61,10.81,24.42,17.77,5505.329214285714,427.92,12.78,63.52,1.01,21303.94,21400.02,PositionState,upper,21395.0,21025.0,17.5,0.0,0.0,0.0,0.0,0.0
45,732,864,1674055800000.0,21412.5,21414.5,20800.0,21025.0,30912.785,651729062.8645,2023-01-18 15:30:00,0.0001,-0.000985,54238.642,34.15,21357.02,21174.33,21265.67,21448.36,21082.99,21539.71,20991.64,10.05,12.76,-2.71,23.42,34.75,24.07,18.28,7645.136214285713,2139.8,-25.34,94.4,-30.22,21284.94,21212.51,IdleState,upper,21395.0,21025.0,-370.0,0.0,0.0,0.0,0.0,0.0
