,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
12518,12650,1686506400000.0,25933.3,26039.9,25917.7,25964.7,2908.805,75563475.7733,2023-06-11 18:00:00,0.0001,-0.000388,57049.854,59.48,25872.12,25730.21,25801.17,25943.08,25659.25,26014.04,25588.29,3.78,-31.11,34.9,28.25,13.54,16.31,19.43,2429.9104285714297,-139.2,17.21,84.53,2.13,25803.1,25914.84,PositionState,upper,25964.7,25766.0,0.0,-198.70000000000073,150.20000000000073,-198.70000000000073,-12.355555555556041,-63.68000000000029
12635,12767,1686927600000.0,25610.0,25885.0,25550.0,25834.0,20237.224,519855154.1509,2023-06-16 15:00:00,0.0001,-0.000327,62289.969,67.28,25594.16,25444.79,25519.48,25668.84,25370.11,25743.52,25295.43,79.07,64.15,14.92,19.11,23.97,16.97,23.22,5445.374000000002,1291.94,33.11,110.67,3.99,25570.77,25696.24,PositionState,upper,25834.0,26442.5,0.0,608.5,849.2000000000007,0.0,577.8382352941177,784.7999999999993
12685,12817,1687107600000.0,26604.3,26643.0,26552.9,26618.1,1913.499,50900637.1306,2023-06-18 17:00:00,4.409e-05,-0.00053,62873.373,61.73,26563.42,26475.95,26519.69,26607.16,26432.21,26650.89,26388.48,44.93,45.65,-0.71,24.38,15.82,10.97,12.0,2197.1146428571437,43.11,10.35,46.08,4.41,26533.1,26592.62,PositionState,upper,26618.1,26464.1,0.0,-154.0,23.100000000002183,-154.0,-34.19999999999891,-49.669999999998254
12712,12844,1687204800000.0,26667.9,26848.5,26659.9,26709.4,9179.544,245652997.8095,2023-06-19 20:00:00,9.362e-05,-0.000423,62287.787,62.35,26605.6,26416.01,26510.8,26700.39,26321.21,26795.19,26226.42,42.2,12.99,29.21,35.72,13.8,22.55,21.08,7385.782285714287,558.82,20.89,96.69,0.39,26544.65,26652.88,PositionState,upper,26709.4,26763.6,0.0,54.19999999999709,263.2999999999993,0.0,111.45789473684061,137.77999999999884
12732,12864,1687276800000.0,27054.6,27381.3,26987.0,27363.8,28553.2,776623507.4134998,2023-06-20 16:00:00,4.621e-05,-0.000763,67584.65399999,73.21,26989.36,26708.08,26848.72,27130.01,26567.44,27270.65,26426.8,111.29,82.64,28.65,37.83,12.89,35.24,34.75,6504.532714285715,1830.98,54.21,261.68,15.66,26888.17,27143.21,PositionState,upper,27363.8,29917.0,0.0,2553.2000000000007,3101.7000000000007,0.0,1942.0795454545462,2884.920000000002
12803,12935,1687532400000.0,30270.8,31444.0,30230.6,31228.8,68096.638,2101997601.6877,2023-06-23 15:00:00,0.0001,0.000127,65056.364,78.73,30443.23,29891.5,30167.36,30719.09,29615.63,30994.96,29339.77,149.9,75.03,74.86,43.51,10.44,17.69,21.31,9099.94542857143,4744.33,111.72,761.5,29.44,30214.16,30702.81,PositionState,upper,31228.8,30472.5,0.0,-756.2999999999993,4.400000000001455,-756.2999999999993,-360.3899999999994,-120.94000000000233
12895,13027,1687863600000.0,30645.0,30782.8,30532.4,30720.4,8082.004,247844475.4533,2023-06-27 11:00:00,0.0001,-0.000304,66382.46799999,65.99,30558.51,30235.51,30397.01,30720.01,30074.01,30881.52,29912.5,52.16,6.14,46.02,33.45,13.79,15.01,13.62,3497.874642857144,427.34,34.03,181.77,11.7,30426.21,30613.86,PositionState,upper,30720.4,30483.4,0.0,-237.0,73.39999999999782,-237.0,-73.80666666666802,-57.830000000001746
12960,13092,1688097600000.0,30733.0,31291.9,30675.0,30869.2,24443.944,758536908.0205998,2023-06-30 04:00:00,0.0001,-0.000168,64980.016,69.62,30638.49,30375.61,30507.05,30769.93,30244.16,30901.38,30112.72,83.39,53.73,29.65,36.36,11.33,20.54,21.3,6028.006,1084.38,38.11,123.84,12.93,30518.12,30747.95,PositionState,upper,30869.2,30118.1,0.0,-751.1000000000022,119.29999999999927,-751.1000000000022,-132.61000000000095,-234.65000000000146
13044,13176,1688400000000.0,31055.7,31124.9,30813.9,31023.2,11540.077,357290180.663,2023-07-03 16:00:00,9.481e-05,-0.000603,62709.821,73.82,30829.13,30575.63,30702.38,30955.88,30448.88,31082.63,30322.13,79.76,43.71,36.04,35.99,12.28,17.32,17.32,4257.481500000001,565.55,33.77,239.15,13.15,30727.32,30944.51,PositionState,upper,31023.2,30962.5,0.0,-60.70000000000073,251.29999999999927,-60.70000000000073,99.62857142857085,97.90000000000146
13108,13240,1688630400000.0,30788.5,31359.9,30773.4,31321.1,19208.935,597430290.993,2023-07-06 08:00:00,6.954e-05,-0.000165,61558.811,78.65,30830.75,30410.79,30620.77,31040.73,30200.81,31250.71,29990.83,52.19,-36.79,88.99,41.48,11.75,34.48,38.89,3969.535642857144,1082.16,73.72,490.09,23.77,30623.57,31006.62,PositionState,upper,31321.1,30586.4,0.0,-734.6999999999971,0.0,-734.6999999999971,-320.67999999999813,-225.13999999999942
