,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
3895,4027,1667419200000.0,20240.0,20271.0,20051.5,20143.5,24138.22,486068936.78,2022-11-02 20:00:00,5.665e-05,57155.945,35.84,20565.22,20311.58,20438.4,20692.04,20184.76,20818.86,20057.94,-53.91,-9.31,-44.59,21.37,11.4,20.6,24.71,21093.412714285714,-2027.01,-31.03,40.96,5.02,20387.55,20236.52,PositionState,lower,20143.5,20596.5,0.0,-453.0,24.0,-453.0,-128.72222222222223,-193.72999999999956
3926,4058,1667865600000.0,20582.5,20669.0,20103.0,20144.0,36157.568,737832525.922,2022-11-08 00:00:00,8.265e-05,60013.738,30.58,21147.28,20485.02,20816.15,21478.41,20153.89,21809.54,19822.76,-56.28,57.62,-113.91,13.7,28.86,29.44,34.29,19318.886285714285,2091.16,-70.75,290.4,-8.48,20740.61,20417.19,PositionState,lower,20144.0,16798.0,0.0,3346.0,4252.5,0.0,2900.639534883721,3758.0099999999984
4004,4136,1668988800000.0,16273.5,16282.5,15888.0,16073.5,38694.801,622191463.3555,2022-11-21 00:00:00,0.0001,49730.956,30.08,16724.35,16392.77,16558.56,16890.14,16226.98,17055.93,16061.19,-101.48,-57.59,-43.89,10.71,34.47,17.88,17.4,13330.247642857143,1517.79,-51.05,253.76,-9.5,16523.05,16251.22,PositionState,lower,16073.5,16219.5,0.0,-146.0,358.5,-146.0,138.1,256.1399999999994
4046,4178,1669593600000.0,16426.0,16477.0,16052.0,16173.0,46834.204,759306126.093,2022-11-28 00:00:00,-9.912e-05,56009.811,33.08,16563.42,16385.23,16474.33,16652.52,16296.14,16741.61,16207.04,-12.05,19.7,-31.75,13.91,30.94,14.64,15.79,11968.5495,2726.05,-31.71,168.38,-15.3,16472.16,16329.44,PositionState,lower,16173.0,16455.0,0.0,-282.0,37.0,-282.0,-63.5625,-18.209999999999127
4130,4262,1670803200000.0,17078.0,17078.0,16870.0,16910.0,27965.208,474007258.9405,2022-12-12 00:00:00,1.826e-05,61274.493,36.34,17162.56,17033.32,17097.94,17227.19,16968.7,17291.81,16904.07,12.77,37.97,-25.19,21.78,32.0,11.1,13.92,7591.453714285714,1493.04,-19.79,44.4,-15.28,17116.33,17013.83,PositionState,lower,16910.0,17194.0,0.0,-284.0,0.0,-284.0,-95.75,-88.18999999999869
4176,4308,1671465600000.0,16662.5,16694.5,16513.0,16553.0,29142.986,483474707.906,2022-12-19 16:00:00,3.085e-05,63882.168,31.18,16880.71,16719.23,16799.97,16961.45,16638.49,17042.19,16557.75,-150.63,-159.43,8.8,16.0,29.95,25.61,27.77,10910.137857142856,1391.33,-26.0,-263.13,-7.16,16685.44,16620.59,PositionState,lower,16553.0,16794.0,0.0,-241.0,120.5,-241.0,-71.875,-88.04000000000087
4224,4356,1672156800000.0,16792.0,16795.0,16587.0,16689.5,24815.462,413974040.18,2022-12-27 16:00:00,0.0001,67413.836,36.89,16863.24,16776.22,16819.73,16906.75,16732.72,16950.25,16689.21,-7.85,3.65,-11.5,14.6,31.1,13.67,13.05,9680.003285714285,1648.13,-13.7,52.29,-11.2,16826.72,16753.99,PositionState,lower,16689.5,16620.5,0.0,69.0,203.5,-19.5,90.65,174.75
4464,4596,1675612800000.0,23104.0,23160.0,22760.0,22901.0,35930.976,824408493.7015,2023-02-05 16:00:00,0.0001,48965.888,34.17,23532.28,23127.19,23329.73,23734.82,22924.65,23937.36,22722.1,-53.3,6.81,-60.12,17.19,30.08,12.91,15.27,15480.286214285716,1446.86,-45.13,60.24,-7.72,23291.72,23068.04,PositionState,lower,22901.0,23088.5,0.0,-187.5,137.5,-187.5,-28.076923076923077,64.72000000000116
4489,4621,1675972800000.0,22034.5,22082.0,21698.0,21802.0,48767.507,1066731959.1675,2023-02-09 20:00:00,5.169e-05,48132.605,23.82,23098.26,22365.41,22731.84,23464.68,21998.99,23831.1,21632.57,-243.69,-138.62,-105.07,9.64,39.82,26.34,21.69,27775.53192857143,2512.21,-97.86,399.08,-3.45,22557.16,22070.73,PositionState,lower,21802.0,21983.2,0.0,-181.20000000000073,177.79999999999927,-181.20000000000073,27.861111111110908,138.73999999999796
4511,4643,1676289600000.0,21596.6,21694.0,21553.8,21559.1,17646.34,381593621.6767,2023-02-13 12:00:00,0.0001,52073.087,34.46,21976.69,21756.74,21866.72,22086.67,21646.77,22196.65,21536.79,-182.76,-209.9,27.14,11.78,32.24,41.17,43.77,13910.90292857143,846.8,-32.37,-1.85,-1.01,21797.77,21639.79,PositionState,lower,21559.1,22030.4,0.0,-471.3000000000029,0.0,-471.3000000000029,-187.0285714285736,-258.1899999999987
