,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma,entry_volume
33,1698300000.0,34537.5,34659.7,34402.9,34626.8,5018.219,173243745.724,2023-10-26 06:00:00,0.0001,0.00018443,58581.074,55.01,34714.16,34406.1,34560.13,34868.19,34252.07,35022.22,34098.04,154.77,194.14,-39.37,18.9,19.09,25.99,31.32,4160.260357142859,-1071.3,-66.67000000000553,-138.37,-3.9,34660.22,34642.17,241.38999999999945,-374.7300000000032,15.369999999995343,33.419999999998254,-14.990000000000002,25.01,-0.1900000000000012,-39.369999999999976,616.1200000000026,,,34270.7,,,,,,,,5867.406
34,1698303600.0,34626.8,34800.0,34556.3,34660.9,6443.302,223663314.5705,2023-10-26 07:00:00,0.0001,0.00023281,58862.371,55.93,34691.28,34448.17,34569.73,34812.84,34326.62,34934.39,34205.06,145.39,184.39,-38.99,21.17,17.97,24.71,30.54,4126.657642857145,-33.6,-91.16999999999824,-161.59,2.16,34664.43,34649.66,151.93999999999505,-334.27999999999884,-11.239999999997965,3.529999999998836,-14.07,25.93,3.200000000000003,-39.0,486.2199999999939,,,34270.7,,,,,,,,5867.406
35,1698307200.0,34660.9,34769.4,34515.4,34540.0,5144.442,178072897.6804,2023-10-26 08:00:00,0.0001,0.0002403,58657.995,51.85,34672.09,34461.7,34566.9,34777.29,34356.5,34882.48,34251.31,126.74,172.86,-46.11,19.86,17.86,23.33,29.79,4151.7097142857165,25.05,26.90000000000145,-120.77,1.07,34668.32,34605.79,237.29000000000087,-183.5,65.79000000000087,128.3199999999997,-18.15,21.85,2.0,-46.12000000000002,420.7900000000009,,,34270.7,,,,,,,,5867.406
36,1698310800.0,34540.0,34604.9,34420.0,34442.6,4170.072,143795444.4534,2023-10-26 09:00:00,0.0001,0.00035084,58835.084,48.76,34664.96,34445.16,34555.06,34774.86,34335.25,34884.76,34225.35,102.91,158.87,-55.95,18.95,19.42,21.75,29.01,4227.714714285716,76.0,112.45999999999913,-16.72,-3.78,34642.61,34540.51,332.26000000000204,-107.34999999999854,97.91000000000348,200.01000000000204,-21.24,18.76,-0.4700000000000024,-55.96000000000001,439.6100000000006,,,34270.7,,,,,,,,5867.406
37,1698314400.0,34442.6,34480.0,34105.0,34291.3,11276.602,386891269.9319,2023-10-26 10:00:00,0.0001,0.0004181,59240.086,44.34,34660.74,34399.13,34529.94,34791.55,34268.32,34922.36,34137.52,71.0,141.3,-70.29,17.21,25.34,21.56,28.73,4552.2812142857165,324.56,238.63999999999945,81.19,-8.56,34597.62,34440.83,500.25,-22.9800000000032,149.52999999999884,306.3199999999997,-25.66,14.340000000000003,-8.129999999999999,-70.30000000000001,523.2300000000032,,,34270.7,,,,,,,,5867.406
38,1698318000.0,34291.3,34338.9,33965.0,34111.6,9979.292,340569339.3028,2023-10-26 11:00:00,0.0001,0.00027309,59407.873,39.73,34652.56,34327.63,34490.09,34815.02,34165.17,34977.48,34002.71,30.86,119.21,-88.34,15.66,26.43,21.85,28.62,4959.911500000002,407.63,378.489999999998,143.3,-4.37,34525.67,34309.13,703.4199999999983,53.56999999999971,197.52999999999884,414.0699999999997,-30.270000000000003,9.729999999999997,-10.77,-88.35,649.8499999999985,lower,EntryPreparationState,34270.7,,,,,,,,5867.406
39,1698321600.0,34111.6,34353.7,34089.3,34270.7,7007.45,239943266.9987,2023-10-26 12:00:00,0.0001,0.00013902,59233.711,45.16,34644.87,34293.53,34469.2,34820.55,34117.85,34996.22,33942.18,11.75,97.72,-85.96,15.02,24.74,22.03,27.89,5253.583357142858,293.67,198.5,76.31,-0.5,34466.35,34293.76,549.8500000000058,-152.84999999999854,23.060000000004948,195.65000000000143,-24.840000000000003,15.159999999999997,-9.72,-85.97,702.7000000000044,lower,PositionState,34270.7,34251.7,,19.0,484.5,19.0,187.54999999999785,127.66000000000348,5867.406
40,1698404400.0,34088.0,34116.2,33973.7,34067.0,4076.42,138765042.1084,2023-10-27 11:00:00,0.0001,0.0005497,59161.622,47.06,34248.96,34012.91,34130.93,34366.99,33894.88,34485.02,33776.85,-47.11,-58.43,11.31,14.28,23.15,21.39,22.76,3159.730285714288,176.88,63.93000000000029,-12.22,-3.9,34110.71,34092.13,299.989999999998,-172.12000000000262,25.12999999999738,43.70999999999913,-22.94,17.060000000000002,-8.87,11.32,472.1100000000006,,,33612.7,,,,,,,,2714.146
41,1698408000.0,34067.0,34240.8,33888.0,34152.4,8308.097,283132894.0718,2023-10-27 12:00:00,0.0001,0.00044122,58766.739,49.97,34231.35,34034.61,34132.98,34329.71,33936.24,34428.08,33837.88,-39.73,-54.69,14.95,16.63,20.57,20.62,21.95,3607.894642857144,448.16,-19.419999999998254,-85.55,4.21,34113.0,34116.24,177.30999999999767,-216.1600000000035,-36.16000000000349,-39.400000000001455,-20.03,19.97,-3.940000000000001,14.96,393.4700000000012,,,33612.7,,,,,,,,2714.146
42,1698411600.0,34152.4,34220.0,34112.2,34177.8,3325.111,113639631.4738,2023-10-27 13:00:00,0.0001,0.00060547,58854.577,50.84,34232.48,34042.02,34137.25,34327.7,33946.79,34422.93,33851.56,-31.47,-50.04,18.57,16.04,19.84,19.9,21.61,3681.899928571431,74.0,-40.55000000000291,-49.84,2.49,34120.57,34140.86,149.89999999999418,-231.01000000000204,-36.94000000000233,-57.2300000000032,-19.16,20.840000000000003,-3.8000000000000007,18.57,380.9099999999962,,,33612.7,,,,,,,,2714.146
