,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
2611,2743,1627081200000.0,33099.0,33600.0,33058.0,33600.0,5433.544,182567078.4,2021-07-23 23:00:00,-0.00052079,-0.000734,16826.34999999,77.51,32861.12,32197.15,32529.14,33193.11,31865.16,33525.1,31533.17,181.83,87.97,93.85,46.2,12.52,27.99,32.33,2680.7816428571427,216.79,-1070.8600000000006,665.54,18.44,32528.05,33187.96,-406.8899999999994,-1734.8400000000001,-412.0400000000009,-1071.9500000000007,7.510000000000005,47.510000000000005,33.68000000000001,93.86000000000001,1327.9500000000007,PositionState,upper,33600.0,34180.5,0.0,580.5,1060.5,-53.5,402.79487179487177,0,1071.8400000000038
2659,2791,1627254000000.0,34625.0,35366.0,34547.0,35348.5,9032.456,319283770.916,2021-07-25 23:00:00,-0.00104019,-0.001555,18682.658,76.26,34667.75,34149.0,34408.38,34927.12,33889.63,35186.49,33630.26,208.44,157.16,51.27,38.47,12.68,30.57,37.37,2704.9775,476.04,-940.1200000000026,460.05,18.23,34485.83,34941.03,-421.3799999999974,-1458.8700000000026,-407.47000000000116,-862.6699999999983,6.260000000000005,46.260000000000005,25.79,51.28,1037.4900000000052,PositionState,upper,35348.5,37763.5,0.0,2415.0,4344.0,0.0,2975.4772727272725,0,3617.6500000000015
2708,2840,1627430400000.0,39440.5,39528.0,38901.5,39051.0,4544.859,177481288.809,2021-07-28 00:00:00,0.0001,-0.000919,12956.436,63.12,38855.31,37510.77,38183.04,39527.59,36838.5,40199.86,36166.23,375.9,237.28,138.62,28.52,12.95,22.01,22.37,4887.835,129.11,-867.9599999999991,305.19,-2.46,38333.0,39042.69,476.5899999999965,-2212.5,-8.309999999997672,-718.0,-6.880000000000003,33.12,15.57,138.61999999999998,2689.0899999999965,PositionState,upper,39051.0,38933.5,0.0,-117.5,1679.0,-117.5,699.8611111111111,0,360.16999999999825
2727,2859,1627498800000.0,40438.5,40653.0,39904.0,40341.0,4272.179,172343973.039,2021-07-28 19:00:00,0.0001,-0.000786,13680.732,57.85,40046.72,39203.54,39625.13,40468.31,38781.95,40889.91,38360.36,389.06,431.01,-41.95,17.78,14.85,21.62,25.09,4864.279,58.2,-715.8700000000026,153.46,0.54,39883.77,40130.84,127.30999999999767,-1559.050000000003,-210.1600000000035,-457.2300000000032,-12.149999999999999,27.85,2.9300000000000015,-41.94999999999999,1686.3600000000006,PositionState,upper,40341.0,39414.0,0.0,-927.0,0.0,-927.0,-427.8333333333333,0,-451.09999999999854
2777,2909,1627678800000.0,40689.5,41557.0,40657.5,41197.0,6391.511,263311078.667,2021-07-30 21:00:00,0.0001,0.000718,11494.065,73.76,40270.02,38873.37,39571.69,40968.34,38175.04,41666.67,37476.72,133.3,-100.18,233.48,43.91,10.69,23.09,17.76,3788.240357142857,364.18,-1625.3099999999977,707.53,15.36,39501.72,40628.98,-228.6600000000035,-3021.959999999999,-568.0199999999968,-1695.2799999999988,3.760000000000005,43.760000000000005,33.22,233.48000000000002,2793.2999999999956,PositionState,upper,41197.0,41161.5,0.0,-35.5,1012.5,-35.5,418.35714285714283,0,646.0099999999948
2802,2934,1627768800000.0,41972.5,41973.0,41588.0,41867.0,1597.027,66862729.409,2021-07-31 22:00:00,0.0001,0.00037,11985.594,61.97,41626.52,41204.98,41415.75,41837.28,40994.22,42048.05,40783.45,263.98,301.79,-37.8,24.88,13.42,30.28,36.14,2070.852857142857,-9.25,-451.25,47.97,-2.9,41488.77,41779.67,-29.720000000001164,-872.7799999999988,-87.33000000000175,-378.2300000000032,-8.030000000000001,31.97,11.459999999999999,-37.81,843.0599999999977,PositionState,upper,41867.0,41505.0,0.0,-362.0,556.0,-421.5,-67.61538461538461,0,-110.81999999999971
2889,3021,1628082000000.0,38820.0,39200.0,38655.5,38980.0,7205.212,280859163.76,2021-08-04 13:00:00,0.0001,-0.000799,14460.137,64.64,38576.73,37970.99,38273.86,38879.6,37668.12,39182.47,37365.25,-44.29,-177.46,133.16,28.11,22.51,38.8,41.91,2792.4911428571427,339.84,-706.1399999999994,411.18,15.31,38148.27,38707.18,-100.40000000000146,-1311.8799999999974,-272.8199999999997,-831.7300000000032,-5.359999999999999,34.64,5.599999999999998,133.17000000000002,1211.479999999996,PositionState,upper,38980.0,39103.5,0.0,123.5,833.5,0.0,468.25,0,537.1100000000006
2918,3050,1628186400000.0,40703.0,40949.0,40354.0,40819.5,5256.583,214571089.7685,2021-08-05 18:00:00,0.0001,-0.000282,12623.491,72.55,39991.74,38369.21,39180.48,40803.01,37557.94,41614.28,36746.67,239.2,17.57,221.62,33.49,18.1,28.03,25.6,5196.260499999999,281.27,-1639.0199999999968,683.93,9.96,39018.88,40381.92,-16.489999999997963,-3261.5599999999977,-437.58000000000175,-1800.6200000000026,2.549999999999997,42.55,15.39,221.63,3245.0699999999997,PositionState,upper,40819.5,43920.5,0.0,3101.0,4187.5,-793.5,1938.4130434782608,0,3949.6600000000035
3006,3138,1628503200000.0,44852.0,45700.0,44747.0,45628.0,6584.908,300456182.224,2021-08-09 10:00:00,0.0001,-0.000263,13476.57,70.08,44576.81,43467.86,44022.33,45131.28,42913.39,45685.76,42358.91,140.91,-30.0,170.92,34.88,14.49,17.33,19.51,2978.5924999999997,246.64,-1605.6699999999983,856.43,17.13,43954.61,44947.73,-496.72000000000116,-2714.6100000000006,-680.2699999999968,-1673.3899999999994,0.0799999999999983,40.08,20.39,170.91,2217.8899999999994,PositionState,upper,45628.0,45461.0,0.0,-167.0,630.0,-223.0,200.0,0,721.4300000000003
3113,3245,1628888400000.0,47607.5,47830.0,47520.0,47550.0,1840.828,87531371.4,2021-08-13 21:00:00,0.0001,-1e-05,13056.096,77.89,46922.65,45632.28,46277.47,47567.84,44987.09,48213.02,44341.91,514.24,392.81,121.43,36.65,12.1,26.7,28.28,2388.181642857143,-163.09,-1272.5299999999988,220.38,16.72,46696.05,47287.75,17.839999999996508,-2562.9100000000035,-262.25,-853.9499999999971,7.890000000000001,47.89,24.549999999999997,121.43,2580.75,PositionState,upper,47550.0,47010.0,0.0,-540.0,240.0,-540.0,-2.769230769230769,0,25.62999999999738
