Serial,Date,Message,serial,date,message
,,,16514.0,2024-01-09 16:00:00,"Current profit: 326.3000000000029,current price: 46904.0,entry price: 46577.7"
,,,16515.0,2024-01-09 17:00:00,"Current profit: 148.20000000000437,current price: 46725.9,entry price: 46577.7"
,,,16516.0,2024-01-09 18:00:00,"Current profit: 72.10000000000582,current price: 46649.8,entry price: 46577.7"
,,,16517.0,2024-01-09 19:00:00,"Current profit: 304.40000000000146,current price: 46882.1,entry price: 46577.7"
,,,16518.0,2024-01-09 20:00:00,"Current profit: 70.10000000000582,current price: 46647.8,entry price: 46577.7"
,,,16519.0,2024-01-09 21:00:00,"Current profit: -1122.0999999999985,current price: 45455.6,entry price: 46577.7"
,,,16520.0,2024-01-09 21:00:00,go to IdleState
,,,16521.0,2024-01-09 21:00:00,アイドル状態に遷移します。
,,,16522.0,2024-01-10 12:00:00,go to EntryPreparationState
,,,16523.0,2024-01-10 12:00:00,エントリー準備状態に遷移します。
,,,16524.0,2024-01-10 13:00:00,go to PositionState
,,,16525.0,2024-01-10 13:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,16526.0,2024-01-10 14:00:00,"Current profit: -231.90000000000146,current price: 44904.0,entry price: 45135.9"
,,,16527.0,2024-01-10 15:00:00,"Current profit: 442.5,current price: 45578.4,entry price: 45135.9"
,,,16528.0,2024-01-10 16:00:00,"Current profit: 193.29999999999563,current price: 45329.2,entry price: 45135.9"
,,,16529.0,2024-01-10 17:00:00,"Current profit: 1290.0999999999985,current price: 46426.0,entry price: 45135.9"
,,,16530.0,2024-01-10 17:00:00,go to IdleState
,,,16531.0,2024-01-10 17:00:00,アイドル状態に遷移します。
,,,16532.0,2024-01-11 12:00:00,go to EntryPreparationState
,,,16533.0,2024-01-11 12:00:00,エントリー準備状態に遷移します。
,,,16534.0,2024-01-11 13:00:00,go to PositionState
,,,16535.0,2024-01-11 13:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,16536.0,2024-01-11 14:00:00,"Current profit: 1245.2999999999956,current price: 48578.2,entry price: 47332.9"
,,,16537.0,2024-01-11 15:00:00,"Current profit: -510.59999999999854,current price: 46822.3,entry price: 47332.9"
,,,16538.0,2024-01-11 16:00:00,"Current profit: -1292.7000000000044,current price: 46040.2,entry price: 47332.9"
