2024-05-04 15:49:07,142 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 15:52:06,506 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 15:52:07,450 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 15:54:35,558 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 15:54:36,655 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 16:03:46,785 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 16:03:47,709 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 16:15:17,775 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 16:15:18,520 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 16:20:21,228 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 16:20:21,924 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 16:22:51,786 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 16:22:52,422 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 16:24:21,130 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 16:24:21,864 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 16:25:44,605 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 16:25:45,976 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 16:31:25,657 INFO: Sequence 'trading_log_serial_seq' already exists. No action taken.
2024-05-04 16:31:25,707 INFO: Table 'trading_log' and  created.
