,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
5062,5194,1681849800000.0,30259.0,30475.8,30216.6,30422.9,5467.307,165975091.1217,2023-04-18 20:30:00,0.0001,57896.076,66.59,30263.9,30042.69,30153.29,30374.51,29932.08,30485.11,29821.48,114.05,121.28,-7.22,26.31,13.8,29.39,37.4,4148.363285714286,99.65,28.37,-64.8,8.98,30204.81,30323.88,PositionState,upper,30422.9,30229.3,0.0,-193.60000000000218,0.0,-193.60000000000218,-81.99090909091055,-47.580000000001746
5245,5377,1682179200000.0,27479.9,27677.0,27479.5,27603.8,7539.376,208058947.3786,2023-04-22 16:00:00,0.0001,57522.525,69.37,27466.15,27258.51,27362.33,27569.97,27154.69,27673.79,27050.87,25.58,-20.08,45.67,34.87,14.33,33.26,37.46,2565.4043571428565,471.37,25.41,127.13,8.92,27384.41,27526.11,PositionState,upper,27603.8,27534.8,0.0,-69.0,238.10000000000218,-69.0,55.35000000000077,116.22999999999956
5310,5442,1682296200000.0,27443.1,27864.7,27420.1,27795.2,8106.386,224433750.2613,2023-04-24 00:30:00,0.0001,55129.304,64.38,27636.23,27464.01,27550.12,27722.35,27377.89,27808.46,27291.78,14.29,-9.38,23.68,28.94,21.25,15.61,14.62,2000.6883571428566,469.68,25.79,96.47,16.55,27558.18,27652.74,PositionState,upper,27795.2,27641.2,0.0,-154.0,9.899999999997817,-154.0,-60.045454545455534,28.849999999998545
5393,5525,1682445600000.0,27609.6,27740.0,27546.8,27684.4,7756.573,214440225.0985,2023-04-25 18:00:00,7.472e-05,56258.154,70.52,27502.48,27305.5,27403.99,27600.97,27207.01,27699.46,27108.52,37.08,2.17,34.91,34.55,14.7,12.63,12.2,3536.7075714285706,327.26,29.52,195.25,15.38,27404.27,27583.22,PositionState,upper,27684.4,29062.8,0.0,1378.3999999999978,2263.5999999999985,-188.0,1052.5999999999988,1819.8199999999997
5490,5622,1682620200000.0,29614.4,29883.5,29614.4,29752.0,11072.979,329538278.1876,2023-04-27 18:30:00,5.14e-05,49567.91,71.48,29404.05,28930.67,29167.36,29640.74,28693.97,29877.43,28457.28,148.85,76.11,72.73,35.57,13.22,18.84,14.94,7793.674857142857,489.77,61.54,374.95,6.1,29276.3,29588.57,PositionState,upper,29752.0,29370.0,0.0,-382.0,0.0,-382.0,-145.6555555555553,-103.20000000000073
5627,5759,1682866800000.0,29373.4,29875.0,29373.4,29809.4,20784.356,616693103.5927,2023-04-30 15:00:00,1.77e-06,53709.527,84.3,29424.54,29166.25,29295.4,29553.69,29037.1,29682.83,28907.96,62.23,19.15,43.07,55.84,9.62,20.36,19.9,2793.959571428571,1380.47,54.11,396.69,35.17,29307.35,29561.14,PositionState,upper,29809.4,29344.1,0.0,-465.3000000000029,0.0,-465.3000000000029,-177.68888888889057,-86.89999999999782
5784,5916,1683149400000.0,28838.3,29049.0,28838.3,28911.6,5989.948,173430595.2137,2023-05-03 21:30:00,0.0001,48722.291,68.37,28700.95,28326.5,28513.73,28888.18,28139.27,29075.41,27952.04,49.3,-4.72,54.02,30.95,12.1,21.28,23.31,7267.666428571428,5.59,41.88,221.31,10.28,28535.12,28776.41,PositionState,upper,28911.6,29045.1,0.0,133.5,318.3000000000029,0.0,170.22258064516274,329.6899999999987
5841,5973,1683252000000.0,29312.6,29534.7,29191.2,29236.1,10853.964,318721014.4944,2023-05-05 02:00:00,4.261e-05,52178.663,65.92,29078.7,28791.05,28934.88,29222.53,28647.23,29366.35,28503.4,44.64,-8.71,53.35,40.66,10.97,21.27,21.12,2822.2984999999994,616.46,31.71,265.46,22.7,28933.57,29169.34,PositionState,upper,29236.1,29054.9,0.0,-181.1999999999971,0.0,-181.1999999999971,-53.24166666666497,-74.52000000000044
5867,5999,1683298800000.0,29250.4,29347.1,29124.0,29284.4,5203.135,152095615.2456,2023-05-05 15:00:00,0.0001,52663.9,62.07,29199.69,29042.89,29121.29,29278.09,28964.49,29356.48,28886.09,37.96,25.56,12.39,24.68,19.11,18.16,21.17,4580.01,240.53,17.17,51.15,5.36,29126.44,29234.93,PositionState,upper,29284.4,29469.4,0.0,185.0,376.1999999999971,0.0,210.18260869565063,276.2900000000009
6053,6185,1683633600000.0,27660.0,27810.6,27635.0,27757.0,5500.593,152578531.2201,2023-05-09 12:00:00,8.542e-05,54877.994,60.04,27667.53,27552.76,27610.15,27724.91,27495.38,27782.3,27438.0,-1.0,-23.73,22.73,26.9,16.99,26.29,31.69,1710.5763571428565,319.84,15.46,58.98,14.52,27606.93,27687.79,PositionState,upper,27757.0,27613.9,0.0,-143.09999999999854,0.0,-143.09999999999854,-54.600000000000364,-28.150000000001455
6103,6235,1683723600000.0,28156.9,28293.0,28012.6,28082.3,14553.803,409991163.4736,2023-05-10 13:00:00,5.003e-05,55536.807,73.26,27865.01,27536.33,27700.67,28029.35,27371.98,28193.69,27207.64,70.01,13.28,56.73,45.34,8.65,21.12,17.49,4284.712357142857,911.24,40.16,333.43,22.26,27712.35,27994.96,PositionState,upper,28082.3,27138.3,0.0,-944.0,190.60000000000218,-944.0,-50.38888888888849,-335.7099999999991
6262,6394,1684009800000.0,26862.3,26917.8,26846.3,26895.1,862.894,23194753.304,2023-05-13 20:30:00,3.553e-05,52715.685,60.11,26850.55,26779.83,26815.19,26885.91,26744.48,26921.26,26709.12,29.33,25.36,3.96,24.43,7.64,21.96,18.04,1408.313428571428,8.61,8.4,30.86,1.36,26831.68,26871.1,PositionState,upper,26895.1,26767.1,0.0,-128.0,6.700000000000728,-128.0,-37.01428571428499,-52.349999999998545
6299,6431,1684076400000.0,26946.9,27198.6,26946.8,27045.9,10171.109,275486955.2375,2023-05-14 15:00:00,4.795e-05,51958.028,68.42,26919.89,26797.84,26858.87,26980.92,26736.82,27041.94,26675.8,31.98,12.51,19.46,38.83,10.93,14.3,13.65,1667.2024999999994,691.38,19.68,109.49,19.57,26864.5,26974.02,PositionState,upper,27045.9,26837.5,0.0,-208.40000000000146,18.5,-208.40000000000146,-88.96666666666796,-95.86999999999898
6320,6452,1684114200000.0,26974.0,27279.0,26967.3,27195.7,8440.194,229214792.3174,2023-05-15 01:30:00,7.979e-05,51680.847,69.65,26999.6,26831.41,26915.5,27083.69,26747.31,27167.78,26663.22,24.72,8.81,15.9,35.69,18.35,15.87,16.63,1927.2354999999993,572.44,29.49,75.75,25.69,26912.72,27045.63,PositionState,upper,27195.7,27287.5,0.0,91.79999999999927,301.2000000000007,-47.900000000001455,130.87307692307652,278.4699999999975
6350,6482,1684168200000.0,27473.6,27577.1,27354.4,27472.0,5253.599,144217054.5563,2023-05-15 16:30:00,5.153e-05,55402.296,62.71,27406.9,27318.37,27362.63,27451.16,27274.1,27495.43,27229.84,64.38,69.48,-5.1,29.53,10.51,38.16,39.31,2497.7504999999996,264.63,11.51,10.37,4.48,27392.07,27450.67,PositionState,upper,27472.0,27369.9,0.0,-102.09999999999854,17.900000000001455,-102.09999999999854,-18.024999999999636,-26.399999999997817
6449,6581,1684346400000.0,27067.8,27150.0,27045.6,27133.4,2984.347,80874225.31669998,2023-05-17 18:00:00,7.675e-05,57615.072,68.09,26993.42,26727.8,26860.61,27126.23,26594.99,27259.04,26462.18,15.67,-37.8,53.47,27.92,13.07,29.35,27.33,4210.057999999999,-246.71,28.7,165.2,10.29,26859.41,27048.86,PositionState,upper,27133.4,27250.1,0.0,116.69999999999709,279.7999999999993,-46.30000000000291,185.6695652173898,228.34999999999854
6574,6706,1684571400000.0,26873.3,26900.9,26864.4,26894.9,584.595,15715998.6852,2023-05-20 08:30:00,0.0001,55835.322,58.42,26872.65,26840.05,26856.35,26888.96,26823.74,26905.26,26807.44,2.37,-1.75,4.13,25.95,18.24,7.46,7.96,319.7759285714281,27.47,4.05,15.48,8.09,26857.86,26876.93,PositionState,upper,26894.9,27095.0,0.0,200.09999999999854,338.6999999999971,-29.600000000002183,114.48139534883553,231.61000000000058
6703,6835,1684803600000.0,26816.9,26998.0,26793.1,26964.8,2174.739,58486718.6453,2023-05-23 01:00:00,6.784e-05,56532.845,59.49,26899.73,26823.2,26861.46,26938.0,26784.93,26976.26,26746.67,13.58,11.33,2.24,24.88,12.84,15.91,17.55,977.6706428571423,33.28,10.86,19.59,6.83,26871.63,26901.34,PositionState,upper,26964.8,27252.3,0.0,287.5,411.2000000000007,0.0,301.2640000000005,376.4900000000016
6873,7005,1685109600000.0,26529.9,26830.0,26529.9,26765.7,13531.304,361083142.0854,2023-05-26 14:00:00,-1.91e-05,60156.198,78.62,26558.56,26390.93,26474.75,26642.38,26307.11,26726.2,26223.3,42.28,20.64,21.64,39.56,15.58,15.38,15.67,2634.2391428571427,863.28,30.63,179.47,25.25,26490.51,26627.01,PositionState,upper,26765.7,26666.2,0.0,-99.5,40.70000000000073,-99.5,-29.366666666667193,66.7300000000032
6943,7075,1685235600000.0,27065.7,27156.0,27054.5,27109.7,6108.07,165576051.0047,2023-05-28 01:00:00,6.006e-05,58170.47,78.43,26926.61,26691.33,26808.97,27044.26,26573.68,27161.9,26456.04,72.59,36.0,36.58,46.68,9.32,34.47,26.48,1924.8450714285707,369.68,31.65,204.85,14.8,26852.31,27023.25,PositionState,upper,27109.7,27879.6,0.0,769.8999999999978,1187.5,-31.0,393.1803278688519,914.8300000000017
7060,7192,1685446200000.0,27937.2,28036.7,27933.4,28014.5,2077.385,58141415.4498,2023-05-30 11:30:00,0.0001,62369.053,68.93,27899.41,27751.24,27825.32,27973.49,27677.15,28047.58,27603.07,50.21,27.08,23.12,31.86,15.53,16.33,15.55,1774.699571428571,93.17,19.9,95.42,-0.04,27853.35,27959.78,PositionState,upper,28014.5,27788.4,0.0,-226.09999999999854,0.0,-226.09999999999854,-109.64000000000014,-103.37999999999738
7260,7392,1685806200000.0,27228.0,27324.9,27184.6,27286.9,2793.34,76163525.9837,2023-06-03 15:30:00,0.0001,60056.179,69.69,27207.63,27135.18,27171.41,27243.86,27098.96,27280.08,27062.73,19.58,8.07,11.51,33.08,9.14,15.81,13.1,699.2584285714281,153.64,12.15,75.45,13.43,27177.64,27241.49,PositionState,upper,27286.9,27164.6,0.0,-122.30000000000291,13.799999999999272,-122.30000000000291,-38.85000000000127,-31.42000000000189
7402,7534,1686061800000.0,25906.9,26047.1,25876.1,26014.3,6361.81,165248876.3323,2023-06-06 14:30:00,4.867e-05,64649.464,66.19,25846.21,25626.13,25736.17,25956.25,25516.09,26066.28,25406.05,-6.99,-46.29,39.3,29.31,23.55,34.65,37.16,5267.661214285713,339.21,29.27,130.72,13.12,25703.51,25893.28,PositionState,upper,26014.3,26813.1,0.0,798.7999999999993,1270.6000000000022,-91.09999999999854,800.2884615384622,1006.8600000000006
7498,7630,1686234600000.0,26471.1,26679.8,26468.0,26631.3,9037.022,240408641.666,2023-06-08 14:30:00,2.319e-05,57599.514,62.94,26491.23,26367.73,26429.48,26552.98,26305.98,26614.73,26244.22,18.9,0.57,18.32,30.58,14.29,13.07,13.35,2590.657571428571,540.56,21.25,98.9,10.64,26441.75,26531.34,PositionState,upper,26631.3,26472.3,0.0,-159.0,71.79999999999927,-159.0,-60.77142857142826,-34.72999999999956
7534,7666,1686299400000.0,26583.6,26636.3,26550.8,26628.8,2248.772,59798714.3559,2023-06-09 08:30:00,4.68e-06,58540.738,62.13,26556.15,26449.96,26503.05,26609.25,26396.86,26662.34,26343.77,14.42,-0.33,14.75,29.91,18.61,13.34,14.89,1688.210357142856,61.83,13.22,55.02,10.13,26510.18,26579.1,PositionState,upper,26628.8,26575.0,0.0,-53.79999999999927,43.10000000000218,-53.79999999999927,-8.423076923076643,35.51000000000204
7646,7778,1686501000000.0,25824.1,25948.8,25820.0,25855.5,2762.792,71520040.7926,2023-06-11 16:30:00,0.0001,57907.839,61.67,25800.66,25724.22,25762.44,25838.88,25686.0,25877.1,25647.77,11.16,0.89,10.26,32.75,16.02,10.88,10.56,1172.0164285714275,138.23,9.79,45.0,14.16,25758.5,25819.6,PositionState,upper,25855.5,25882.3,0.0,26.799999999999272,259.40000000000146,0.0,137.53076923076935,129.54000000000087
7714,7846,1686623400000.0,25979.4,26150.0,25979.3,26117.9,6368.831,166100478.5294,2023-06-13 02:30:00,0.0001,56545.677,65.62,26006.28,25837.53,25921.9,26090.65,25753.16,26175.02,25668.79,41.02,19.71,21.3,30.49,12.33,17.71,14.56,1720.5472857142845,417.42,20.63,84.5,8.34,25953.51,26041.93,PositionState,upper,26117.9,26070.6,0.0,-47.30000000000291,102.09999999999854,-133.3000000000029,-15.261904761906148,88.06999999999971
7843,7975,1686855600000.0,25383.2,25522.3,25337.1,25435.9,10440.383,265495369.6619,2023-06-15 19:00:00,0.0001,63332.477,74.28,25237.51,24959.79,25098.65,25376.36,24820.94,25515.22,24682.08,44.42,-15.21,59.64,38.94,14.6,38.13,47.78,2926.778571428571,561.78,35.5,247.85,18.33,25113.52,25340.94,PositionState,upper,25435.9,25491.2,0.0,55.29999999999927,234.5,-211.3000000000029,97.62727272727132,186.34000000000015
7883,8015,1686927600000.0,25610.0,25744.7,25550.0,25649.7,9820.863,251744740.9294,2023-06-16 15:00:00,0.0001,62289.969,59.86,25589.75,25496.84,25543.29,25636.2,25450.38,25682.65,25403.93,29.62,30.02,-0.39,12.92,30.5,22.81,26.69,3676.8679999999995,598.46,11.2,25.55,-3.34,25539.74,25604.97,PositionState,upper,25649.7,26183.7,0.0,534.0,748.2000000000007,0.0,573.3727272727265,645.3899999999994
7910,8042,1686976200000.0,26286.3,26357.0,26286.2,26351.8,2343.182,61669456.054,2023-06-17 04:30:00,-3.008e-05,63111.42,64.38,26282.79,26180.95,26231.87,26333.71,26130.03,26384.63,26079.1,91.56,119.07,-27.51,28.36,16.81,23.35,26.75,1152.1692857142853,56.95,12.62,6.52,6.89,26269.64,26308.85,PositionState,upper,26351.8,26489.9,0.0,138.10000000000218,331.40000000000146,0.0,220.77333333333397,220.1800000000003
8022,8154,1687177800000.0,26514.8,26577.1,26485.0,26517.7,3242.532,86015018.9676,2023-06-19 12:30:00,0.0001,63536.342,61.58,26471.27,26392.77,26432.02,26510.53,26353.52,26549.78,26314.27,4.82,-9.5,14.32,27.93,18.03,28.9,30.75,1144.081285714285,170.65,9.02,53.98,14.0,26424.36,26490.59,PositionState,upper,26517.7,26440.6,0.0,-77.10000000000218,7.399999999997817,-77.10000000000218,-16.575000000001637,-13.06000000000131
8031,8163,1687194000000.0,26492.5,26631.3,26475.8,26589.1,7254.254,192828813.6969,2023-06-19 17:00:00,9.362e-05,64975.045,65.57,26515.5,26399.64,26457.57,26573.43,26341.71,26631.36,26283.78,16.25,5.93,10.31,23.87,26.86,22.16,26.78,2581.6482142857135,471.14,13.84,46.44,6.27,26471.65,26524.7,PositionState,upper,26589.1,26487.3,0.0,-101.79999999999927,285.0,-101.79999999999927,62.82500000000073,85.20999999999913
8077,8209,1687276800000.0,27054.6,27265.0,26987.0,27193.8,16011.423,434494213.8379,2023-06-20 16:00:00,4.621e-05,67584.65399999,68.71,26970.62,26740.51,26855.57,27085.68,26625.46,27200.73,26510.4,47.47,19.21,28.25,37.59,16.48,18.19,18.72,4170.249285714285,1084.78,35.61,225.39,21.38,26869.14,27051.92,PositionState,upper,27193.8,30117.1,0.0,2923.2999999999993,3442.7000000000007,0.0,1990.563636363637,3146.630000000001
8218,8350,1687530600000.0,30136.6,30339.8,30086.0,30270.8,7734.248,233829249.5595,2023-06-23 14:30:00,0.0001,65822.782,63.89,30151.26,30003.93,30077.59,30224.92,29930.27,30298.58,29856.6,39.34,20.88,18.45,26.14,19.49,11.37,12.77,3284.3943571428567,387.73,20.33,84.34,10.4,30110.62,30190.12,PositionState,upper,30270.8,30647.5,0.0,376.7000000000007,962.4000000000015,0.0,621.5466666666672,570.4900000000016
8360,8492,1687786200000.0,30408.5,30643.0,30381.7,30624.2,6511.933,198688912.6197,2023-06-26 13:30:00,0.0001,64134.941,66.79,30454.1,30252.81,30353.45,30554.74,30152.16,30655.39,30051.52,11.53,-20.36,31.9,29.75,18.66,20.83,26.27,2336.779785714285,194.61,28.5,120.06,14.77,30335.06,30492.4,PositionState,upper,30624.2,30356.1,0.0,-268.1000000000022,0.0,-268.1000000000022,-157.1250000000009,-93.58000000000175
8402,8534,1687861800000.0,30498.9,30678.2,30489.7,30645.0,3581.265,109580646.6964,2023-06-27 10:30:00,0.0001,65335.556,69.8,30464.9,30296.88,30380.89,30548.91,30212.88,30632.92,30128.87,51.49,28.41,23.07,32.28,12.46,16.96,16.62,1907.1913571428565,196.72,27.79,130.97,13.25,30410.73,30539.21,PositionState,upper,30645.0,30492.7,0.0,-152.29999999999927,189.20000000000073,-152.29999999999927,4.581818181818314,36.13999999999942
8491,8623,1688022000000.0,30225.0,30410.4,30209.5,30368.0,4949.098,150085616.4657,2023-06-29 07:00:00,9.221e-05,67112.465,62.81,30256.07,30123.98,30190.03,30322.12,30057.93,30388.16,29991.89,15.0,-9.76,24.77,30.47,17.84,19.61,25.62,1204.9027857142853,213.51,18.73,83.03,15.57,30206.17,30287.25,PositionState,upper,30368.0,30434.0,0.0,66.0,348.40000000000146,-43.0,163.9437499999999,227.34999999999854
8531,8663,1688094000000.0,30641.9,30773.0,30612.0,30751.0,3443.067,105643417.2928,2023-06-30 03:00:00,0.0001,65458.891,64.57,30599.98,30403.06,30501.52,30698.43,30304.6,30796.89,30206.15,33.34,8.08,25.26,28.57,16.25,18.63,21.25,1698.1119285714283,-295.59,26.26,90.56,7.96,30505.07,30655.53,PositionState,upper,30751.0,30118.1,0.0,-632.9000000000015,296.09999999999854,-632.9000000000015,19.09090909090909,-94.52000000000044
