,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
3559,3691,1654254000000.0,29814.5,29949.0,29666.0,29750.0,8083.282,240663324.796,2022-06-03 11:00:00,1.431e-05,-0.000214,29733.346,33.55,30459.86,30026.96,30243.41,30676.31,29810.5,30892.76,29594.05,-55.5,8.04,-63.55,13.12,33.65,20.2,24.26,4197.9730714285715,459.48,-51.93,166.34,-2.88,30270.5,29910.93,PositionState,lower,29750.0,29725.5,0.0,24.5,280.0,-36.5,128.1590909090909,209.6700000000019
3646,3778,1654567200000.0,29565.0,29565.5,29119.5,29385.0,15512.995,455418464.033,2022-06-07 02:00:00,1.18e-05,-0.000176,29772.286,20.56,31457.74,30210.77,30834.25,32081.22,29587.29,32704.71,28963.8,-125.67,149.36,-275.03,12.65,45.8,46.31,50.59,10275.166,890.5,-152.56,848.73,-4.82,30847.5,29783.05,PositionState,lower,29385.0,30170.0,0.0,-785.0,0.0,-785.0,-265.0882352941176,-246.15999999999985
3729,3861,1654866000000.0,29630.0,29696.0,29240.0,29386.0,20191.982,594613502.666,2022-06-10 13:00:00,0.0001,-0.000223,30289.814,29.66,30149.96,29770.93,29960.44,30339.48,29581.41,30529.0,29391.89,-134.12,-88.36,-45.75,12.58,35.6,20.72,18.74,7152.586142857143,1277.45,-60.47,151.31,-7.67,29902.27,29597.82,PositionState,lower,29386.0,28071.5,0.0,1314.5,2131.5,-156.5,853.9901960784314,1770.6399999999994
3787,3919,1655074800000.0,26989.0,27173.5,26550.0,26567.5,16412.092,440419571.662,2022-06-12 23:00:00,5.064e-05,-0.000577,32528.998,28.39,27912.19,27216.13,27564.16,28260.22,26868.1,28608.26,26520.07,-304.71,-253.24,-51.46,12.79,35.06,37.56,46.43,9364.270214285714,983.74,-104.92,275.76,-6.25,27521.38,26892.08,PositionState,lower,26567.5,22675.5,0.0,3892.0,5739.0,0.0,3156.1341463414633,4356.7800000000025
3834,3966,1655244000000.0,21466.0,21660.5,21450.0,21577.0,6458.033,139200072.913,2022-06-14 22:00:00,-0.00014081,-0.000772,29313.678,35.42,22656.14,21940.62,22298.38,23013.9,21582.86,23371.66,21225.09,-414.77,-429.02,14.25,11.31,27.42,30.99,34.09,12659.01507142857,-300.83,-75.93,-291.64,-0.75,22164.16,21684.83,PositionState,lower,21577.0,21541.5,0.0,35.5,1347.5,-569.5,304.90625,412.6700000000019
3915,4047,1655535600000.0,19422.5,19608.0,18988.0,19241.5,32736.458,631657400.2715,2022-06-18 07:00:00,0.0001,-0.000695,31843.302,22.76,20720.03,19970.93,20345.48,21094.58,19596.38,21469.13,19221.83,-271.35,-167.51,-103.84,10.25,36.42,16.26,14.96,8740.48207142857,1919.26,-116.2,469.95,-1.43,20210.05,19587.29,PositionState,lower,19241.5,19184.5,0.0,57.0,1436.0,-140.0,391.75,857.1599999999999
4138,4270,1656338400000.0,20726.5,20832.5,20581.5,20805.5,22638.584,468520594.5675,2022-06-27 14:00:00,8.947e-05,-0.000477,37548.417,34.83,21391.27,21001.61,21196.44,21586.11,20806.78,21780.94,20611.94,-67.48,-23.47,-44.0,15.75,36.02,17.78,17.62,8383.793642857143,1255.84,-41.15,120.1,-7.66,21224.0,20908.41,PositionState,lower,20805.5,20856.0,0.0,-50.5,190.5,-96.0,43.61764705882353,118.18999999999869
4167,4299,1656442800000.0,20344.0,20359.0,20190.0,20253.5,7789.818,158006630.3705,2022-06-28 19:00:00,-9.09e-05,3.3e-05,39493.46499999,30.29,20967.69,20525.15,20746.42,21188.96,20303.88,21410.23,20082.61,-124.05,-67.03,-57.01,10.55,32.49,27.27,30.16,10655.772142857142,264.2,-51.89,151.9,-2.09,20705.88,20382.55,PositionState,lower,20253.5,20219.0,0.0,34.5,312.0,-140.5,90.88,248.52000000000044
4203,4335,1656572400000.0,19409.5,19460.0,19292.0,19425.5,11486.018,222777116.5155,2022-06-30 07:00:00,9.593e-05,-0.00061,39399.651,23.61,20202.45,19769.76,19986.1,20418.79,19553.42,20635.14,19337.07,-156.34,-103.26,-53.08,9.31,38.77,33.5,38.67,7593.273571428572,376.98,-59.02,306.36,-2.68,19904.27,19570.72,PositionState,lower,19425.5,19925.5,0.0,-500.0,677.0,-500.0,324.1764705882353,177.78000000000247
4481,4613,1657573200000.0,20419.5,20424.0,20164.5,20233.5,7195.527,146082726.211,2022-07-11 21:00:00,4.144e-05,-0.00027,39946.684,32.37,20613.63,20439.97,20526.8,20700.45,20353.14,20787.28,20266.32,-132.47,-146.62,14.15,16.23,27.0,27.79,36.02,7257.417142857143,180.44,-30.86,3.34,-9.25,20432.61,20350.45,PositionState,lower,20233.5,19699.0,0.0,534.5,910.0,0.0,524.9571428571429,745.9599999999991
4760,4892,1658577600000.0,22225.0,22367.0,22101.0,22277.0,11028.789,245245736.168,2022-07-23 12:00:00,6.429e-05,-0.00031,42440.274,31.84,22915.01,22514.78,22714.9,23115.13,22314.66,23315.25,22114.54,-170.92,-120.97,-49.94,8.02,30.58,32.39,27.24,5788.247357142857,552.8,-46.09,-15.09,-2.28,22625.27,22343.03,PositionState,lower,22277.0,22453.0,0.0,-176.0,243.5,-176.0,46.63636363636363,-2.7400000000016007
4797,4929,1658710800000.0,22320.5,22328.0,22048.0,22201.5,7964.834,176910361.3695,2022-07-25 01:00:00,0.0001,-0.000298,40835.23599999,36.34,22721.22,22419.72,22570.47,22871.98,22268.96,23022.73,22118.21,-24.55,24.73,-49.29,12.62,22.37,19.45,21.61,6557.231142857143,-11.77,-38.84,126.72,-8.2,22601.33,22339.92,PositionState,lower,22201.5,22157.5,0.0,44.0,390.0,0.0,256.3,329.6499999999978
4819,4951,1658790000000.0,21649.5,21742.0,21233.0,21301.0,14345.072,307821809.278,2022-07-25 23:00:00,2.443e-05,-0.000247,41960.007,28.54,22094.71,21758.09,21926.4,22263.02,21589.78,22431.33,21421.47,-163.55,-141.26,-22.29,13.33,34.7,29.34,27.58,9362.635357142857,775.43,-65.82,279.0,-8.05,21833.05,21566.84,PositionState,lower,21301.0,21098.5,0.0,202.5,567.5,0.0,278.9583333333333,550.4300000000003
4962,5094,1659304800000.0,23581.0,23581.5,23224.0,23377.5,10971.382,256306803.7995,2022-07-31 22:00:00,9.467e-05,-0.000206,40194.224,33.24,23830.8,23629.21,23730.01,23931.59,23528.42,24032.39,23427.63,-71.28,-51.63,-19.65,15.85,26.45,21.39,22.59,5619.229285714285,504.98,-37.1,150.22,-10.53,23696.44,23530.38,PositionState,lower,23377.5,23417.5,0.0,-40.0,352.0,-40.0,81.61764705882354,225.40999999999985
4982,5114,1659376800000.0,22957.5,22990.0,22825.0,22950.0,5992.654,137298394.1845,2022-08-01 18:00:00,5.215e-05,-0.000169,41959.623,35.37,23411.5,23132.48,23271.99,23551.01,22992.97,23690.52,22853.46,-142.09,-130.68,-11.41,9.59,33.54,36.42,29.36,7560.322428571429,336.22,-33.88,39.49,-1.23,23158.05,23026.81,PositionState,lower,22950.0,23250.0,0.0,-300.0,2.0,-300.0,-121.16666666666667,-143.70999999999913
