,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
2804,1651694400.0,39840.0,39920.0,39600.0,39696.5,7535.38,299678371.218,2022-05-04 20:00:00,8.784e-05,-2.9e-05,27583.603,63.31,39252.64,38177.9,38715.27,39790.01,37640.53,40327.37,37103.16,152.38,-35.49,187.87,24.58,14.36,26.5,28.23,16161.566285714287,-1977.76,-981.2300000000032,575.77,6.14,38658.38,39378.78,93.51000000000204,-2055.970000000001,-317.72000000000116,-1038.1200000000026,-6.689999999999998,33.31,10.219999999999999,187.87,2149.480000000003,PositionState,upper,39696.5,36884.5,0.0,-2812.0,24.5,-2812.0,-619.5,0,-909.6999999999971
2956,1653883200.0,30335.5,31046.0,30215.0,30614.0,27407.186,837832773.4865,2022-05-30 04:00:00,0.0001,-0.000534,31343.801,74.1,29855.82,28891.33,29373.58,30338.07,28409.09,30820.31,27926.84,156.69,-35.04,191.74,35.6,13.68,25.93,29.15,12861.584071428571,904.94,-1240.4199999999983,964.57,16.17,29436.05,30057.77,-275.9300000000003,-2204.91,-556.2299999999996,-1177.9500000000007,4.099999999999994,44.099999999999994,21.92,191.73,1928.9799999999996,PositionState,upper,30614.0,30747.5,0.0,133.5,1418.5,0.0,732.3666666666667,0,1199.7299999999996
2998,1654488000.0,31237.0,31445.0,31120.5,31272.5,19813.424,619081106.2645,2022-06-06 04:00:00,5.579e-05,-0.000451,30483.69,68.05,30666.1,29661.34,30163.72,31168.47,29158.96,31670.85,28656.58,101.9,-76.12,178.03,35.49,13.68,20.93,23.07,12876.080357142857,751.62,-1108.7799999999988,683.54,15.05,30150.05,30769.66,-104.02999999999884,-2113.540000000001,-502.84000000000015,-1122.4500000000007,-1.9500000000000028,38.05,21.810000000000002,178.02,2009.510000000002,PositionState,upper,31272.5,29550.5,0.0,-1722.0,263.5,-1722.0,-176.5,0,-145.59000000000015
3168,1656936000.0,19791.5,20187.0,19500.0,19785.5,61556.11,1216511367.735,2022-07-04 12:00:00,0.0001,-0.000603,39330.94,56.54,19610.8,19204.23,19407.51,19814.08,19000.94,20017.36,18797.66,-94.98,-202.7,107.72,31.45,16.49,14.11,15.67,27151.378,3295.91,-377.9900000000016,159.35,13.2,19311.55,19563.82,28.580000000001746,-784.5600000000013,-221.6800000000003,-473.9500000000007,-13.46,26.54,14.96,107.71999999999998,813.140000000003,PositionState,upper,19785.5,19515.0,0.0,-270.5,516.5,-270.5,190.08333333333334,0,311.1399999999994
3187,1657209600.0,20875.0,21815.0,20833.0,21788.0,81449.03,1731561264.6635,2022-07-07 16:00:00,9.38e-05,-0.001112,45548.318,74.76,20807.04,19841.78,20324.41,21289.67,19359.14,21772.31,18876.51,354.08,222.92,131.16,38.77,12.45,24.52,21.36,44102.41307142858,1637.22,-1463.5900000000001,575.27,13.06,20576.55,21086.05,-498.33000000000175,-2428.8600000000006,-701.9500000000007,-1211.4500000000007,4.760000000000005,44.760000000000005,26.320000000000004,131.16,1930.5299999999988,PositionState,upper,21788.0,20892.5,0.0,-895.5,331.5,-895.5,-206.47222222222223,0,91.65000000000146
3251,1658131200.0,22236.0,22522.0,21980.0,22132.5,45532.9,1013305063.805,2022-07-18 08:00:00,0.0001,-0.00011331,45247.173,67.61,21593.13,20712.36,21152.74,22033.51,20271.97,22473.9,19831.59,337.02,247.69,89.33,33.46,11.8,23.41,20.0,29948.333857142858,2199.54,-979.7599999999984,537.85,9.99,21426.44,21794.26,-98.9900000000016,-1860.5299999999988,-338.2400000000016,-706.0600000000013,-2.3900000000000006,37.61,21.66,89.32999999999998,1761.5399999999972,PositionState,upper,22132.5,22610.5,0.0,478.0,2019.0,-517.5,722.4473684210526,0,1110.2200000000012
3377,1659945600.0,23792.0,24178.0,23754.0,24154.0,34597.484,831298497.5664998,2022-08-08 08:00:00,-8.578e-05,-0.00011216,45633.591,71.42,23548.52,22972.32,23260.42,23836.62,22684.23,24124.72,22396.13,137.21,34.3,102.91,33.48,11.89,15.81,16.0,14260.554285714285,1609.92,-893.5800000000017,506.3,14.74,23284.94,23716.62,-317.380000000001,-1469.7700000000004,-437.380000000001,-869.0600000000013,1.4200000000000017,41.42,21.589999999999996,102.91000000000001,1152.3899999999994,PositionState,upper,24154.0,23266.0,0.0,-888.0,0.0,-888.0,-322.57142857142856,0,-103.62999999999738
3569,1662710400.0,20611.0,21178.0,20606.5,20928.0,64686.686,1349662380.044,2022-09-09 08:00:00,-0.00011025,-0.00065547,56840.928,75.14,20222.5,19010.33,19616.41,20828.59,18404.24,21434.68,17798.15,148.61,-66.77,215.39,40.64,12.65,23.28,23.43,35692.362642857144,1928.87,-1311.5900000000001,695.09,16.28,19669.16,20352.4,-99.40999999999985,-2523.7599999999984,-575.5999999999985,-1258.8400000000001,5.140000000000001,45.14,27.990000000000002,215.38,2424.3499999999985,PositionState,upper,20928.0,20823.0,0.0,-105.0,1594.5,-105.0,752.2115384615385,0,1395.8499999999985
3676,1664251200.0,20092.5,20360.5,19943.5,20172.5,39071.532,786999259.289,2022-09-27 04:00:00,-2.284e-05,-0.00040876,54885.081,72.31,19586.5,18881.2,19233.85,19939.15,18528.55,20291.8,18175.9,142.58,7.49,135.09,31.37,12.28,18.1,18.23,32427.94785714286,1268.15,-938.6500000000015,714.53,15.91,19244.38,19774.67,-233.34999999999854,-1643.9500000000007,-397.83000000000175,-928.119999999999,2.3100000000000023,42.31,19.090000000000003,135.09,1410.6000000000022,PositionState,upper,20172.5,19071.5,0.0,-1101.0,44.5,-1101.0,-337.5,0,-192.53999999999724
3717,1664841600.0,19617.5,19715.0,19482.5,19585.5,17676.42,346124086.311,2022-10-04 00:00:00,1.215e-05,-0.00052811,58804.683,59.18,19491.97,19208.77,19350.37,19633.56,19067.18,19775.16,18925.58,35.7,-7.3,43.01,20.57,15.3,11.35,10.25,23090.81307142857,202.58,-235.13000000000102,37.24,-0.21,19328.61,19513.28,48.06000000000131,-518.3199999999997,-72.22000000000116,-256.8899999999994,-10.82,29.18,5.27,43.0,566.380000000001,PositionState,upper,19585.5,19954.5,0.0,369.0,757.0,0.0,497.6666666666667,0,517.3300000000017
