,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
3099,3231,1678316400000.0,21800.1,21834.0,21559.0,21699.9,13907.428,301833541.0387,2023-03-08 23:00:00,0.0001,53154.622,28.59,22082.17,21880.86,21981.51,22182.83,21780.2,22283.49,21679.54,-50.06,-22.15,-27.9,11.89,37.48,26.65,30.61,4097.678571428572,699.03,-29.65,131.52,-4.15,21963.46,21802.91,PositionState,lower,21699.9,21712.0,0.0,-12.099999999998545,119.40000000000146,-82.09999999999854,3.2433333333348857,144.5699999999997
3135,3267,1678381200000.0,21472.7,21516.4,21381.7,21498.6,7200.768,154530865.5746,2023-03-09 17:00:00,0.0001,60781.08,33.74,21711.75,21578.96,21645.36,21778.14,21512.57,21844.54,21446.17,-53.48,-43.98,-9.49,11.76,33.56,42.0,44.7,5183.111357142858,413.64,-15.43,37.0,-1.35,21630.94,21526.34,PositionState,lower,21498.6,20168.6,0.0,1330.0,1883.5,0.0,1309.9714285714272,1497.0400000000009
3408,3540,1678872600000.0,24678.8,24751.3,24466.6,24523.0,7409.519,182215825.7994,2023-03-15 09:30:00,0.0001719,46827.828,40.43,24898.05,24648.31,24773.18,25022.93,24523.43,25147.8,24398.56,-48.12,-35.05,-13.07,16.17,30.29,24.66,29.76,2756.784571428572,425.28,-26.34,32.25,-7.03,24748.47,24630.43,PositionState,lower,24523.0,24778.1,0.0,-255.09999999999854,215.79999999999927,-255.09999999999854,-2.2400000000001454,26.830000000001746
3565,3697,1679155200000.0,27220.0,27341.5,27110.1,27118.7,4137.478,112655692.2774,2023-03-18 16:00:00,0.0001,53130.588,41.39,27456.39,27232.18,27344.28,27568.49,27120.07,27680.6,27007.96,28.35,76.88,-48.52,17.88,24.54,17.68,22.5,3758.9802857142854,124.99,-23.75,45.52,-1.82,27382.14,27213.37,PositionState,lower,27118.7,27374.6,0.0,-255.89999999999782,37.60000000000218,-255.89999999999782,-145.27142857142775,-121.88999999999942
3579,3711,1679180400000.0,26897.3,27060.5,26793.0,26848.0,5989.901,161266596.3014,2023-03-18 23:00:00,0.0001,50893.582,33.23,27382.45,27045.65,27214.05,27550.85,26877.25,27719.25,26708.85,-71.36,-18.91,-52.44,10.56,33.05,32.44,25.99,5346.154928571428,132.31,-38.53,106.75,-1.32,27187.01,26948.47,PositionState,lower,26848.0,27190.2,0.0,-342.2000000000007,0.0,-342.2000000000007,-200.83999999999978,-193.16999999999825
3692,3824,1679383800000.0,27500.1,27545.0,27440.1,27488.9,3332.958,91634522.8872,2023-03-21 07:30:00,0.0001,55550.34,35.68,27866.8,27627.15,27746.98,27986.63,27507.33,28106.45,27387.5,-69.45,-34.55,-34.9,13.4,31.37,16.2,15.27,3032.1555000000003,61.76,-27.15,28.71,-1.6,27723.61,27542.61,PositionState,lower,27488.9,27924.2,0.0,-435.2999999999993,0.0,-435.2999999999993,-148.87999999999883,-222.52000000000044
3764,3896,1679513400000.0,27528.5,27536.6,26617.9,26642.6,27306.12,737181263.7226,2023-03-22 19:30:00,6.755e-05,55354.252,18.88,28553.26,27661.23,28107.24,28999.28,27215.21,29445.29,26769.19,-134.75,31.03,-165.79,13.25,35.19,23.55,17.8,15951.995928571429,1820.62,-154.17,764.43,-10.32,28145.05,27263.74,PositionState,lower,26642.6,27606.8,0.0,-964.2000000000007,0.0,-964.2000000000007,-601.8285714285727,-210.34000000000015
3838,3970,1679646600000.0,28145.3,28167.1,27914.1,28023.0,7984.528,223731908.0888,2023-03-24 08:30:00,0.0001,52741.447,43.58,28258.47,28112.92,28185.7,28331.24,28040.15,28404.01,27967.38,23.14,53.29,-30.15,17.35,29.96,10.69,13.96,2122.5972142857145,489.75,-17.11,54.31,-10.32,28204.16,28110.38,PositionState,lower,28023.0,28078.4,0.0,-55.400000000001455,460.7000000000007,-150.5,49.0666666666663,106.4900000000016
3908,4040,1679772600000.0,27242.1,27285.7,27132.0,27175.6,5302.485,144295530.3399,2023-03-25 19:30:00,3.954e-05,51644.514,33.11,27572.29,27334.58,27453.43,27691.14,27215.73,27809.99,27096.88,-48.06,-16.19,-31.86,16.12,33.37,21.54,26.22,3290.620571428571,289.43,-29.25,88.0,-5.42,27466.46,27264.48,PositionState,lower,27175.6,27456.1,0.0,-280.5,0.0,-280.5,-168.26666666666702,-148.6700000000019
3993,4125,1679925600000.0,27679.5,27717.5,27224.0,27333.7,18117.577,497164647.7402,2023-03-27 14:00:00,9.65e-06,54685.23,25.54,27897.39,27646.93,27772.16,28022.63,27521.7,28147.86,27396.47,-53.21,-10.77,-42.43,10.28,37.08,17.74,17.16,3650.337642857143,1200.69,-46.15,215.81,-18.12,27764.53,27532.29,PositionState,lower,27333.7,27068.9,0.0,264.7999999999993,443.7999999999993,0.0,300.87878787878867,523.9000000000015
