,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
30,448,580,1621886400000.0,39557.0,39882.5,38749.0,38980.5,2879.608,112248559.644,2021-05-24 20:00:00,-0.00017184,0.000354,4550.984,67.06,38423.65,35818.05,37120.85,39726.44,34515.25,41029.24,33212.45,898.84,655.35,243.49,28.62,10.51,29.56,30.79,2797.907,72.51,-1859.6500000000012,672.33,5.71,38040.22,38812.72,745.9400000000023,-4465.25,-167.77999999999884,-940.2799999999988,-2.9399999999999977,37.06,18.11,243.49,PositionState,upper,38980.5,37965.0,0.0,-1015.5,449.0,-1015.5,-397.1785714285714,0,1777.653
31,476,608,1621987200000.0,38348.0,38603.0,37823.0,38105.0,1137.361,43339140.905,2021-05-26 00:00:00,0.0001,0.000286,4888.343,52.86,38491.02,37335.94,37913.48,39068.55,36758.4,39646.09,36180.86,123.98,110.72,13.26,22.43,17.14,15.72,20.37,1765.4209285714285,-165.47,-191.5199999999968,17.66,-3.16,37931.5,38163.39,963.5500000000028,-1346.5999999999983,58.38999999999942,-173.5,-17.14,22.86,5.289999999999999,13.260000000000003,,,40479.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2437.926
32,477,609,1621990800000.0,38105.0,38885.0,38096.0,38648.0,1093.992,42280602.816,2021-05-26 01:00:00,0.0001,2e-05,5014.46699999,57.7,38576.2,37390.66,37983.43,39168.98,36797.89,39761.75,36205.12,168.92,122.36,46.56,23.38,15.92,15.95,20.03,1679.6192857142855,-85.8,-664.5699999999997,65.85,0.47,38023.83,38405.69,520.9800000000032,-1850.1100000000008,-242.30999999999767,-624.1699999999983,-12.299999999999995,27.700000000000003,7.459999999999999,46.55999999999999,,,40479.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2437.926
33,478,610,1621994400000.0,38648.0,39593.5,38648.0,39222.5,2001.391,78499558.4975,2021-05-26 02:00:00,0.0001,0.0001,4937.841,62.12,38725.97,37476.91,38101.44,39350.5,36852.37,39975.03,36227.84,248.03,147.5,100.53,27.71,14.58,17.02,19.75,1635.266357142857,-44.35,-1121.0599999999977,227.46,6.62,38166.11,38814.09,128.0,-2370.1299999999974,-408.4100000000035,-1056.3899999999994,-7.880000000000003,32.12,13.13,100.53,,,40479.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2437.926
34,479,611,1621998000000.0,39222.5,39700.0,39135.0,39519.0,947.918,37460771.442,2021-05-26 03:00:00,0.0001,0.000309,4906.259,64.2,38916.1,37556.78,38236.44,39595.76,36877.13,40275.42,36197.47,330.84,184.17,146.67,27.25,13.83,18.14,19.72,1526.3485,-108.91,-1282.5599999999977,402.02,4.62,38346.5,39166.54,76.76000000000204,-2641.8700000000026,-352.4599999999991,-1172.5,-5.799999999999997,34.2,13.42,146.67,,,40479.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2437.926
35,480,612,1622001600000.0,39519.0,39600.0,39024.0,39413.5,1056.33,41633662.455,2021-05-26 04:00:00,0.0001,0.000532,4959.019,62.88,39098.55,37598.54,38348.54,39848.55,36848.54,40598.56,36098.53,383.54,224.04,159.49,25.8,14.12,18.93,19.78,1424.0184285714283,-102.33,-1064.9599999999991,526.63,-2.19,38581.77,39290.02,435.0500000000029,-2564.959999999999,-123.4800000000032,-831.7300000000032,-7.119999999999997,32.88,11.68,159.50000000000003,,,40479.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2437.926
36,481,613,1622005200000.0,39413.5,39543.5,39200.0,39250.0,954.625,37469031.25,2021-05-26 05:00:00,0.0001,0.000719,4965.35099999,60.78,39230.75,37638.04,38434.4,40027.1,36841.69,40823.46,36045.33,407.41,260.71,146.69,24.94,13.66,19.67,19.85,1113.8973571428571,-310.12,-815.5999999999985,438.18,-1.84,38763.22,39270.01,777.0999999999985,-2408.3099999999977,20.01000000000204,-486.7799999999989,-9.22,30.78,11.28,146.70000000000005,,,40479.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2437.926
37,482,614,1622008800000.0,39250.0,40769.0,39190.0,40549.0,3113.492,126248987.108,2021-05-26 06:00:00,0.0001,-6e-05,5029.317,69.47,39564.97,37706.61,38635.79,40494.15,36777.42,41423.33,35848.24,525.09,313.59,211.5,32.36,11.73,21.6,20.39,1205.8907857142856,91.99,-1913.2099999999991,709.87,8.48,39052.05,39909.5,-54.84999999999855,-3771.5800000000017,-639.5,-1496.949999999997,-0.5300000000000011,39.47,20.63,211.50000000000009,EnterPreparationState,upper,40479.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2437.926
38,483,615,1622012400000.0,40549.0,40594.0,40300.0,40479.5,864.528,34995661.176,2021-05-26 07:00:00,0.0001,0.000477,5061.655,68.6,39776.51,37846.25,38811.38,40741.63,36881.12,41706.76,35915.99,605.76,372.02,233.73,31.47,11.41,23.4,21.06,1195.181857142857,-10.7,-1668.1200000000026,610.82,6.84,39281.61,40194.5,262.1299999999974,-3598.3799999999974,-285.0,-1197.8899999999994,-1.4000000000000057,38.6,20.06,233.74,PositionState,upper,40479.5,38901.5,0.0,-1578.0,0.0,-1578.0,-566.9285714285714,0,2437.926
39,600,732,1622433600000.0,34506.0,34649.5,34176.5,34483.5,1839.635,63437053.5225,2021-05-31 04:00:00,-3.493e-05,0.000466,6232.916,36.18,35799.28,34767.11,35283.19,36315.36,34251.02,36831.45,33734.93,-150.44,22.43,-172.87,13.12,26.99,20.8,20.62,1429.122,-26.21,799.6900000000023,288.21,-1.41,35255.27,34609.66,1831.8600000000008,-232.4800000000032,126.16000000000348,771.7699999999968,-33.82,6.18,-13.87,-172.87,PositionState,lower,36782.0,35821.0,268.0,0.0,0.0,0.0,0.0,0,2033.651
